ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP
04,ARIZONA,AZ,04001,Apache,04001942600,"Census Tract 9426, Apache County, Arizona",588.770495027216,1591,189,654,24,405,32,630,139,37,26,10018,1298,244,46,153,30,451,106,160,37,34,19,1591,189,118,56,0,17,140,26,74,23,57,18,0,12,39.6,8.3,10.1,6.5,10018.0,1298.0,24.8,4.5,9.6,1.9,28.3,5.8,10.1,2.3,8.4,4.7,100.0,0.8,8.0,3.8,0.0,2.6,21.4,4.1,18.3,5.6,14.1,4.2,0.0,0.8,0.9326,0.817,0.9822,0.8136,3.5454,0.9339,0.3136,0.7174,0.3289,0.4802,1.8401,0.3514,0.998,0.7912,1.7892,0.9071,0.0,0.8275,0.9585,0.8619,0.0,2.6479,0.616,9.8226,0.8089,1,0,1,0,2,0,0,0,0,0,1,0,1,0,0,1,0,0,1,4,481,91,30.2,5.4,14
04,ARIZONA,AZ,04001,Apache,04001942700,"Census Tract 9427, Apache County, Arizona",1154.534576127406,4813,322,2325,64,1354,62,1904,228,276,67,12131,1212,835,87,709,71,1225,163,666,91,155,33,4784,322,465,78,3,12,380,52,194,35,167,33,12,21,39.6,4.0,19.9,3.7,12131.0,1212.0,27.9,2.5,14.7,1.7,25.5,2.9,13.8,1.9,11.4,2.4,99.4,0.8,10.1,1.6,0.1,0.5,16.3,2.1,14.3,2.5,12.3,2.4,0.2,0.4,0.9326,0.9815,0.9459,0.8465,3.7065,0.9736,0.5553,0.5995,0.5958,0.6489,2.3995,0.8058,0.9895,0.8393,1.8288,0.9348,0.28,0.7911,0.9065,0.8242,0.4565,3.2583,0.8196,11.1931,0.9458,1,1,1,0,3,0,0,0,0,0,1,0,1,0,0,1,0,0,1,5,1582,213,32.9,3.5,3048
04,ARIZONA,AZ,04001,Apache,04001944000,"Census Tract 9440, Apache County, Arizona",305.566706607124,6313,553,2323,91,1661,106,2652,441,180,90,14639,1644,693,134,821,135,1725,328,653,135,231,63,6129,557,154,87,0,24,625,87,191,51,221,63,4,9,42.0,5.9,9.5,4.4,14639.0,1644.0,17.8,3.2,13.0,2.1,27.3,4.6,10.4,2.1,13.9,3.7,97.1,2.4,2.6,1.5,0.0,1.0,26.9,3.5,11.5,3.0,13.3,3.6,0.1,0.1,0.9524,0.784,0.8774,0.722,3.3358,0.881,0.4875,0.6812,0.3534,0.7543,2.2764,0.7239,0.9704,0.5349,1.5053,0.7727,0.0,0.8579,0.8643,0.842,0.386,2.9502,0.7211,10.0677,0.836,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,2585,345,41.0,4.6,7134
04,ARIZONA,AZ,04001,Apache,04001944100,"Census Tract 9441, Apache County, Arizona",706.900425487798,5741,362,2506,62,1339,77,2618,283,370,63,9042,659,878,114,585,72,1642,188,700,86,246,46,5584,364,299,86,0,24,419,48,309,40,265,42,327,49,48.4,4.5,24.4,3.7,9042.0,659.0,29.0,3.0,10.2,1.2,28.6,2.7,12.2,1.3,18.4,3.3,97.3,1.7,5.7,1.6,0.0,1.0,16.7,1.9,23.1,2.7,19.8,3.0,5.7,0.8,0.9802,0.9901,0.9888,0.8584,3.8175,0.9901,0.361,0.7286,0.4934,0.8926,2.4756,0.8362,0.971,0.7246,1.6956,0.8544,0.0,0.7931,0.9855,0.9372,0.944,3.6598,0.9326,11.6485,0.9808,1,1,1,0,3,0,0,0,0,0,1,0,1,0,0,1,1,1,3,7,976,185,17.0,2.9,3488
04,ARIZONA,AZ,04001,Apache,04001944201,"Census Tract 9442.01, Apache County, Arizona",193.825639145314,4727,581,1552,66,1254,90,1952,483,85,48,11136,1596,582,139,593,147,1871,390,450,152,204,71,4518,588,425,130,7,17,285,81,192,73,143,59,73,94,41.9,9.7,8.5,4.7,11136.0,1596.0,24.0,5.6,12.5,3.4,39.6,6.7,9.6,3.2,16.3,5.6,95.6,4.1,9.8,2.8,0.5,1.1,18.4,5.1,15.3,5.8,11.4,4.7,1.5,2.0,0.9511,0.7351,0.9651,0.8011,3.4524,0.9108,0.4684,0.9901,0.2933,0.8386,2.5904,0.893,0.9598,0.8307,1.7905,0.9084,0.305,0.807,0.9242,0.8024,0.8366,3.6752,0.9359,11.5085,0.9696,1,0,1,0,2,0,1,0,0,1,1,0,1,0,0,1,0,0,1,5,1542,399,33.0,7.5,5964
04,ARIZONA,AZ,04001,Apache,04001944202,"Census Tract 9442.02, Apache County, Arizona",165.780006084942,4036,553,1482,74,1081,83,1934,486,253,121,11280,2215,431,145,240,59,1292,316,252,107,139,56,4013,553,280,92,19,37,459,88,176,62,146,57,0,12,47.9,10.1,20.9,8.4,11280.0,2215.0,19.6,6.0,5.9,1.6,32.0,6.5,6.2,2.7,12.9,5.1,99.4,1.6,7.6,2.3,1.3,2.5,31.0,5.6,16.3,5.6,13.5,5.0,0.0,0.3,0.9782,0.9835,0.9637,0.7503,3.6757,0.965,0.0982,0.8531,0.0588,0.7207,1.7308,0.2814,0.9895,0.7826,1.7721,0.9005,0.3953,0.8804,0.9374,0.85,0.0,3.0631,0.7521,10.2417,0.8604,1,1,1,0,3,0,0,0,0,0,1,0,1,0,0,1,0,0,1,5,1313,306,32.5,6.8,3073
04,ARIZONA,AZ,04001,Apache,04001944300,"Census Tract 9443, Apache County, Arizona",1019.605294364748,6384,394,2958,69,1957,79,2581,306,268,84,11378,794,981,111,780,87,1932,206,726,95,225,45,6308,394,762,120,0,24,534,61,303,54,320,46,10,13,40.5,3.7,15.8,4.2,11378.0,794.0,25.6,2.5,12.2,1.4,30.3,2.6,11.4,1.4,11.5,2.3,98.8,1.0,13.0,1.9,0.0,0.8,18.1,2.0,15.5,2.7,16.4,2.3,0.2,0.2,0.9419,0.9551,0.9618,0.8241,3.6829,0.967,0.4552,0.7971,0.4293,0.6542,2.3358,0.7688,0.9829,0.8913,1.8742,0.9631,0.0,0.805,0.9262,0.8942,0.4565,3.0819,0.7555,10.9748,0.9266,1,1,1,0,3,0,0,0,0,0,1,0,1,0,0,1,0,0,1,5,2018,234,31.6,3.3,4617
04,ARIZONA,AZ,04001,Apache,04001944901,"Census Tract 9449.01, Apache County, Arizona",576.466634716986,3950,340,1797,49,1019,61,1648,239,64,31,10951,1059,594,98,456,91,1294,209,385,79,142,35,3871,345,180,73,0,17,429,48,206,36,202,38,60,70,41.7,4.9,6.4,2.9,10951.0,1059.0,25.7,3.8,11.5,2.4,32.8,4.5,9.7,1.9,13.9,3.4,98.0,2.3,4.9,1.9,0.0,0.9,23.9,2.5,20.2,3.4,19.8,3.4,1.5,1.8,0.9491,0.57,0.9677,0.8261,3.3129,0.8738,0.417,0.8827,0.2992,0.7543,2.3532,0.7807,0.9769,0.693,1.6699,0.8419,0.0,0.8407,0.9697,0.9372,0.8366,3.5842,0.9141,10.9202,0.9233,1,0,1,0,2,0,0,0,0,0,1,0,1,0,0,1,1,0,2,5,847,144,21.4,3.1,2932
04,ARIZONA,AZ,04001,Apache,04001944902,"Census Tract 9449.02, Apache County, Arizona",1075.775100582128,4962,306,2161,56,1316,65,2394,253,184,44,10705,935,846,101,760,78,1293,173,750,67,133,33,4914,307,321,69,6,16,447,47,247,41,312,39,26,17,48.4,4.1,13.8,3.1,10705.0,935.0,27.0,2.7,15.3,1.7,26.1,3.1,15.1,1.4,10.1,2.5,99.0,1.1,6.9,1.4,0.3,0.8,20.7,2.0,18.8,3.0,23.7,2.9,0.5,0.3,0.9802,0.9287,0.973,0.8379,3.7198,0.9775,0.5731,0.6252,0.6678,0.5863,2.4524,0.8283,0.9855,0.7576,1.7431,0.8794,0.2859,0.8242,0.9657,0.9623,0.6436,3.6817,0.9379,11.597,0.9769,1,1,1,0,3,0,0,0,0,0,1,0,1,0,0,1,1,0,2,6,1209,176,24.4,3.1,3203
04,ARIZONA,AZ,04001,Apache,04001945001,"Census Tract 9450.01, Apache County, Arizona",42.321296979502,4646,499,1813,61,1285,98,1411,302,197,90,14186,1386,587,162,570,119,1127,243,728,165,185,62,4519,503,109,72,18,33,306,65,233,72,170,61,98,43,30.7,6.1,12.1,5.1,14186.0,1386.0,18.5,4.3,12.3,2.8,24.3,4.5,15.8,3.3,14.4,4.8,97.3,2.9,2.5,1.6,1.0,1.8,16.9,3.6,18.1,5.5,13.2,4.7,2.1,0.9,0.8527,0.8864,0.8919,0.7319,3.3629,0.885,0.4592,0.5461,0.7034,0.7721,2.4808,0.8382,0.971,0.5244,1.4954,0.7661,0.3729,0.7971,0.9552,0.8407,0.8794,3.8453,0.963,11.1844,0.9444,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,2,1110,283,24.0,5.1,10677
