ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP
05,ARKANSAS,AR,05119,Pulaski,05119003205,"Census Tract 32.05, Pulaski County, Arkansas",1.94667029921,0,12,0,12,0,12,0,12,0,12,-999,-999,0,12,0,12,0,12,0,12,0,17,0,17,0,48,0,17,0,12,0,17,0,12,0,12,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,12,-999.0,-999.0,30
05,ARKANSAS,AR,05091,Miller,05091980000,"Census Tract 9800, Miller County, Arkansas",1.702056149314,59,90,12,18,12,18,0,12,0,12,29936,3971,13,21,0,12,0,12,0,12,0,17,59,90,0,48,0,17,0,12,0,17,0,12,0,12,0.0,38.6,0.0,38.6,29936.0,3971.0,52.0,12.9,0.0,38.6,0.0,20.3,0.0,38.6,0.0,141.7,100.0,20.4,0.0,81.4,0.0,141.7,0.0,85.6,0.0,141.7,0.0,85.6,0.0,20.3,0.0,0.0,0.1944,0.9985,1.1929,0.2339,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.5716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1929,0.0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,12,0.0,38.6,487
05,ARKANSAS,AR,05007,Benton,05007020703,"Census Tract 207.03, Benton County, Arkansas",5.833300830972,4838,280,2167,77,1961,119,232,123,15,17,35280,2662,101,54,1256,138,962,117,638,137,135,76,498,411,0,48,0,17,16,18,6,15,26,30,0,12,4.8,2.5,0.6,0.7,35280.0,2662.0,2.8,1.5,26.0,3.1,19.9,2.1,13.2,3.0,6.9,3.9,10.3,8.5,0.0,1.0,0.0,0.8,0.7,0.9,0.3,0.8,1.3,1.5,0.0,0.2,0.0482,0.0175,0.1023,0.0336,0.2016,0.0161,0.924,0.2281,0.1944,0.3436,1.6901,0.2763,0.2792,0.0,0.2792,0.1667,0.0,0.1345,0.1447,0.0921,0.0,0.3713,0.0102,2.5422,0.0015,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,255,104,5.3,2.1,1670
05,ARKANSAS,AR,05007,Benton,05007020606,"Census Tract 206.06, Benton County, Arkansas",3.631462669798,4090,285,1503,59,1426,74,154,116,61,40,67159,15646,59,41,644,113,1011,135,280,102,7,16,318,390,7,47,10,19,8,13,0,17,18,21,0,12,3.8,2.9,3.1,2.0,67159.0,15646.0,2.1,1.5,15.7,2.5,24.7,2.8,6.8,2.5,0.5,1.1,7.8,9.5,0.2,1.2,0.7,1.3,0.5,0.8,0.0,1.2,1.3,1.5,0.0,0.3,0.0249,0.2178,0.0058,0.019,0.2675,0.0205,0.4357,0.617,0.0292,0.0117,1.0936,0.0599,0.1988,0.3933,0.5921,0.2895,0.3962,0.1096,0.0,0.0921,0.0,0.5979,0.0146,2.5511,0.0029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,64,1.4,1.6,2519
05,ARKANSAS,AR,05119,Pulaski,05119004213,"Census Tract 42.13, Pulaski County, Arkansas",8.01733274011,4554,263,1908,52,1708,99,94,63,46,43,91633,10366,13,22,764,81,1112,139,239,87,6,15,697,399,0,48,111,84,36,56,0,17,9,15,0,12,2.1,1.4,2.0,1.8,91633.0,10366.0,0.4,0.7,16.8,1.9,24.4,2.7,5.2,1.9,0.4,0.9,15.3,8.7,0.0,1.1,5.8,4.4,1.9,2.9,0.0,1.0,0.5,0.9,0.0,0.3,0.0088,0.1096,0.0,0.0,0.1184,0.0058,0.5,0.5892,0.0117,0.0102,1.1111,0.0643,0.383,0.0,0.383,0.1915,0.7149,0.231,0.0,0.0278,0.0,0.9737,0.0409,2.5862,0.0044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,62,1.8,1.4,4305
05,ARKANSAS,AR,05007,Benton,05007021308,"Census Tract 213.08, Benton County, Arkansas",3.429447925766,4988,358,1766,82,1684,111,10,14,32,26,55066,5690,144,98,212,67,1709,184,142,79,101,71,686,472,34,58,0,17,2,5,7,16,0,12,0,12,0.2,0.3,1.1,0.9,55066.0,5690.0,4.6,3.1,4.3,1.3,34.3,2.7,2.8,1.6,6.0,4.2,13.8,9.4,0.8,1.3,0.0,1.0,0.1,0.3,0.4,1.0,0.0,1.9,0.0,0.2,0.0029,0.0409,0.0161,0.0702,0.1301,0.0073,0.0146,0.981,0.0058,0.2544,1.2558,0.095,0.3596,0.6184,0.978,0.5336,0.0,0.0892,0.1594,0.0,0.0,0.2486,0.0058,2.6125,0.0058,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,87,74,1.7,1.5,1378
05,ARKANSAS,AR,05007,Benton,05007020801,"Census Tract 208.01, Benton County, Arkansas",11.037281270778,4508,304,2158,86,2028,109,73,52,52,44,41424,6043,117,60,2349,194,411,109,707,146,6,16,162,404,0,48,0,17,55,51,49,30,21,24,0,12,1.6,1.2,3.4,2.8,41424.0,6043.0,3.0,1.5,52.1,3.5,9.1,2.3,15.7,3.2,0.3,0.8,3.6,9.0,0.0,1.1,0.0,0.8,2.5,2.4,2.4,1.5,1.0,1.2,0.0,0.3,0.0058,0.2412,0.0468,0.0365,0.3303,0.0263,0.9985,0.0132,0.3143,0.0073,1.3333,0.1228,0.0453,0.0,0.0453,0.0322,0.0,0.2705,0.5643,0.0716,0.0,0.9064,0.0292,2.6153,0.0073,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,179,109,4.0,2.3,1106
05,ARKANSAS,AR,05119,Pulaski,05119003706,"Census Tract 37.06, Pulaski County, Arkansas",0.307609780012,1075,123,475,25,439,40,45,35,0,12,38643,4712,35,31,191,52,213,71,129,42,29,25,227,178,10,49,0,17,0,12,0,17,6,8,0,12,4.2,3.2,0.0,5.7,38643.0,4712.0,4.5,4.1,17.8,5.3,19.8,6.2,12.1,4.0,6.6,5.9,21.1,16.4,1.0,4.7,0.0,3.6,0.0,6.6,0.0,3.9,1.4,1.9,0.0,1.1,0.0322,0.0,0.0658,0.0658,0.1638,0.0146,0.5833,0.2222,0.155,0.3129,1.2734,0.1038,0.4708,0.6711,1.1419,0.6389,0.0,0.0,0.0,0.0965,0.0,0.0965,0.0015,2.6756,0.0088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,14,1.2,1.2,314
05,ARKANSAS,AR,05119,Pulaski,05119001502,"Census Tract 15.02, Pulaski County, Arkansas",1.367104942274,3908,385,2395,108,2063,180,348,170,47,50,49737,6766,101,96,468,130,516,108,173,92,0,17,969,529,22,58,926,221,17,34,0,17,0,12,0,12,8.9,4.2,1.8,1.9,49737.0,6766.0,3.3,3.1,12.0,3.1,13.2,2.4,4.4,2.4,0.0,0.8,24.8,13.3,0.6,1.6,38.7,9.1,0.7,1.4,0.0,0.8,0.0,1.6,0.0,0.3,0.1433,0.0848,0.0219,0.0453,0.2953,0.0219,0.1988,0.0468,0.0073,0.0,0.2529,0.0044,0.5175,0.5687,1.0862,0.6111,0.9839,0.1345,0.0,0.0,0.0,1.1184,0.0658,2.7528,0.0102,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,223,122,5.7,3.1,7702
05,ARKANSAS,AR,05045,Faulkner,05045030401,"Census Tract 304.01, Faulkner County, Arkansas",16.43751272396,2296,159,1019,39,912,67,161,114,37,22,41236,5376,90,51,462,53,418,65,335,73,25,20,354,232,4,46,0,17,47,32,0,17,0,12,0,12,7.0,4.9,3.3,2.0,41236.0,5376.0,5.2,2.9,20.1,2.5,18.2,2.5,14.6,3.3,2.7,2.2,15.4,10.0,0.2,2.2,0.0,1.7,4.6,3.2,0.0,1.9,0.0,3.5,0.0,0.5,0.0863,0.2368,0.0497,0.095,0.4678,0.0526,0.7251,0.1579,0.2383,0.0482,1.1695,0.0746,0.386,0.3933,0.7793,0.3962,0.0,0.3655,0.0,0.0,0.0,0.3655,0.0088,2.7821,0.0117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,47,4.0,2.0,1044
