ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP
09,CONNECTICUT,CT,09003,Hartford,09003980000,"Census Tract 9800, Hartford County, Connecticut",2.51587345067,0,12,0,12,0,12,0,12,0,12,-999,-999,0,12,0,12,0,12,0,12,0,17,0,17,0,48,0,17,0,12,0,17,0,12,0,12,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,12,-999.0,-999.0,2066
09,CONNECTICUT,CT,09011,New London,09011990100,"Census Tract 9901, New London County, Connecticut",0.0,0,12,0,12,0,12,0,12,0,12,-999,-999,0,12,0,12,0,12,0,12,0,17,0,17,0,48,0,17,0,12,0,17,0,12,0,12,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,12,-999.0,-999.0,-999
09,CONNECTICUT,CT,09013,Tolland,09013538100,"Census Tract 5381, Tolland County, Connecticut",0.621442365958,1841,146,0,12,0,12,0,12,0,12,6115,3413,446,107,118,67,0,12,0,12,0,17,1157,200,51,54,0,17,0,12,0,17,0,12,1841,146,-999.0,-999.0,-999.0,-999.0,6115.0,3413.0,26.2,6.0,6.4,3.5,0.0,0.7,-999.0,-999.0,0.0,-999.0,62.8,9.7,2.8,3.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,100.0,0.0,-999.0,-999.0,0.994,0.9202,-999.0,-999.0,0.0508,0.0,-999.0,0.0,-999.0,-999.0,0.8029,0.5937,1.3966,0.7122,0.0,-999.0,0.0,-999.0,1.0,-999.0,-999.0,-999.0,-999.0,-999,-999,1,1,-999,0,0,-999,0,-999,0,0,0,0,-999,0,-999,1,-999,-999,0,12,-999.0,-999.0,2428
09,CONNECTICUT,CT,09001,Fairfield,09001060400,"Census Tract 604, Fairfield County, Connecticut",8.643084776592,4416,216,1632,63,1520,90,54,45,38,27,111592,14558,14,20,799,110,1249,93,218,60,22,27,232,305,0,48,10,19,0,12,0,17,11,15,5,8,1.2,1.0,1.8,1.3,111592.0,14558.0,0.5,0.7,18.1,2.3,28.3,1.6,4.9,1.3,1.4,1.8,5.3,6.9,0.0,1.1,0.6,1.2,0.0,2.1,0.0,1.1,0.7,1.0,0.1,0.2,0.0291,0.0291,0.0218,0.0085,0.0885,0.0,0.6239,0.9008,0.0242,0.0387,1.5876,0.201,0.0411,0.0,0.0411,0.0145,0.1632,0.0,0.0,0.0484,0.208,0.4196,0.0303,2.1368,0.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,110,79,2.5,1.8,2227
09,CONNECTICUT,CT,09001,Fairfield,09001035200,"Census Tract 352, Fairfield County, Connecticut",6.718455882256,3134,172,1120,46,999,52,97,70,39,31,175219,30044,11,17,459,123,933,76,190,89,15,25,310,276,0,48,10,19,0,12,0,17,0,12,0,12,3.1,2.2,3.1,2.4,175219.0,30044.0,0.6,0.8,14.6,3.9,29.8,1.8,6.1,2.7,1.5,2.6,9.9,8.8,0.0,1.6,0.9,1.7,0.0,3.1,0.0,1.7,0.0,3.4,0.0,0.4,0.1755,0.1429,0.0,0.0097,0.3281,0.0133,0.3724,0.9371,0.0726,0.0447,1.4268,0.1223,0.1874,0.0,0.1874,0.0677,0.1971,0.0,0.0,0.0,0.0,0.1971,0.0133,2.1394,0.0012,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,30,38,1.0,1.2,1066
09,CONNECTICUT,CT,09001,Fairfield,09001055200,"Census Tract 552, Fairfield County, Connecticut",6.399590070638,4777,327,1740,101,1594,104,148,101,56,44,99889,12644,17,19,600,114,1576,248,240,84,32,30,492,490,41,67,0,17,0,12,0,17,17,20,0,12,3.1,2.1,2.3,1.9,99889.0,12644.0,0.6,0.6,12.6,2.5,33.0,4.7,5.0,1.7,2.0,1.9,10.3,10.3,0.9,1.5,0.0,1.0,0.0,2.0,0.0,1.1,1.1,1.2,0.0,0.3,0.1755,0.0557,0.0302,0.0097,0.2711,0.0036,0.2588,0.9746,0.0266,0.0738,1.3338,0.092,0.2031,0.318,0.5211,0.2406,0.0,0.0,0.0,0.1005,0.0,0.1005,0.0073,2.2265,0.0024,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,174,124,3.6,2.6,1378
09,CONNECTICUT,CT,09001,Fairfield,09001245400,"Census Tract 2454, Fairfield County, Connecticut",4.860622247818,3084,246,1196,47,1107,71,20,32,35,32,90718,12259,35,39,458,55,840,163,107,61,25,23,73,351,11,49,20,34,0,12,0,17,34,40,0,12,0.6,1.0,2.3,2.0,90718.0,12259.0,1.7,1.9,14.9,1.9,27.2,4.8,3.5,2.0,2.3,2.1,2.4,11.4,0.4,1.7,1.7,2.9,0.0,2.9,0.0,1.5,3.1,3.6,0.0,0.4,0.0073,0.0557,0.0351,0.052,0.1501,0.0024,0.399,0.8646,0.0073,0.0907,1.3616,0.0969,0.0048,0.1596,0.1644,0.058,0.26,0.0,0.0,0.299,0.0,0.559,0.0533,2.2351,0.0036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,85,2.7,2.7,1136
09,CONNECTICUT,CT,09001,Fairfield,09001045101,"Census Tract 451.01, Fairfield County, Connecticut",7.59887153149,4094,216,1371,46,1280,61,73,81,57,36,98100,14166,51,43,518,66,1268,141,204,67,45,31,481,352,16,48,0,17,0,12,0,17,23,21,0,12,1.8,2.0,2.9,1.8,98100.0,14166.0,2.0,1.7,12.7,1.7,31.0,3.0,5.0,1.5,3.5,2.4,11.7,8.6,0.4,1.3,0.0,1.2,0.0,2.5,0.0,1.3,1.8,1.6,0.0,0.3,0.0617,0.1114,0.0326,0.0713,0.277,0.0048,0.266,0.9528,0.0266,0.1898,1.4352,0.1295,0.2527,0.1596,0.4123,0.1826,0.0,0.0,0.0,0.1889,0.0,0.1889,0.0121,2.3134,0.0048,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,196,174,4.8,4.1,1250
09,CONNECTICUT,CT,09001,Fairfield,09001030300,"Census Tract 303, Fairfield County, Connecticut",3.189344219434,4254,248,1476,53,1379,83,46,33,90,47,158955,26905,12,19,563,126,1349,170,202,66,43,45,226,357,2,46,0,17,0,12,0,17,9,13,13,17,1.1,0.8,5.1,2.7,158955.0,26905.0,0.4,0.7,13.2,3.0,31.7,3.5,4.7,1.5,3.1,3.3,5.3,8.4,0.1,1.2,0.0,1.2,0.0,2.3,0.0,1.2,0.7,0.9,0.3,0.4,0.0254,0.4213,0.0036,0.006,0.4563,0.0315,0.295,0.9613,0.0169,0.1548,1.428,0.1247,0.0411,0.0907,0.1318,0.0411,0.0,0.0,0.0,0.0484,0.3942,0.4426,0.0327,2.4587,0.0061,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,77,69,1.8,1.6,3233
09,CONNECTICUT,CT,09013,Tolland,09013533102,"Census Tract 5331.02, Tolland County, Connecticut",13.997887468454,5345,270,2129,84,1896,137,114,103,73,64,51716,7161,87,71,848,144,1268,108,393,135,17,32,417,451,21,73,17,32,0,17,3,20,0,17,0,17,2.1,1.9,2.5,2.1,51716.0,7161.0,2.4,2.0,15.9,2.7,23.7,1.6,7.4,2.5,0.9,1.7,7.8,8.4,0.4,1.4,0.8,1.5,0.0,1.6,0.2,1.1,0.0,1.8,0.0,0.3,0.0872,0.0738,0.2382,0.104,0.5032,0.0424,0.4655,0.7279,0.155,0.0145,1.3629,0.0981,0.1245,0.1596,0.2841,0.1233,0.1886,0.0,0.2926,0.0,0.0,0.4812,0.0375,2.6314,0.0073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,18,0.2,0.3,2564
