ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP
10,DELAWARE,DE,10001,Kent,10001990000,"Census Tract 9900, Kent County, Delaware",0.0,0,11,0,11,0,11,0,11,0,11,-999,-999,0,11,0,11,0,11,0,11,0,15,0,15,0,44,0,15,0,11,0,15,0,11,0,11,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,11,-999.0,-999.0,0
10,DELAWARE,DE,10003,New Castle,10003980100,"Census Tract 9801, New Castle County, Delaware",2.086138449752,0,11,0,11,0,11,0,11,0,11,-999,-999,0,11,0,11,0,11,0,11,0,15,0,15,0,44,0,15,0,11,0,15,0,11,0,11,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,11,-999.0,-999.0,87
10,DELAWARE,DE,10003,New Castle,10003990100,"Census Tract 9901, New Castle County, Delaware",0.0,0,11,0,11,0,11,0,11,0,11,-999,-999,0,11,0,11,0,11,0,11,0,15,0,15,0,44,0,15,0,11,0,15,0,11,0,11,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,11,-999.0,-999.0,-999
10,DELAWARE,DE,10003,New Castle,10003010900,"Census Tract 109, New Castle County, Delaware",0.895356252226,2606,159,1102,26,1062,48,75,47,41,34,51208,4260,72,40,555,77,523,93,242,77,33,37,286,266,0,44,0,15,0,11,0,15,0,11,28,26,2.9,1.8,2.9,2.4,51208.0,4260.0,3.6,2.0,21.3,2.8,20.1,3.4,9.3,2.9,3.1,3.5,11.0,10.2,0.0,1.8,0.0,1.4,0.0,2.7,0.0,1.5,0.0,2.8,1.1,1.0,0.0798,0.1315,0.0986,0.1549,0.4648,0.0469,0.7324,0.4038,0.1878,0.1362,1.4602,0.1737,0.1174,0.0,0.1174,0.0563,0.0,0.0,0.0,0.0,0.7418,0.7418,0.0235,2.7842,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,48,2.5,1.9,733
10,DELAWARE,DE,10003,New Castle,10003013506,"Census Tract 135.06, New Castle County, Delaware",4.548579630744,4391,264,1623,30,1569,49,129,83,119,58,56587,3662,105,70,905,96,790,102,242,77,14,16,733,348,102,72,0,15,7,11,0,15,0,11,0,11,2.9,1.9,4.7,2.2,56587.0,3662.0,3.1,2.0,20.6,2.2,18.0,2.1,5.5,1.8,0.9,1.0,16.7,7.9,2.4,1.7,0.0,1.0,0.4,0.7,0.0,1.0,0.0,1.9,0.0,0.3,0.0798,0.4038,0.061,0.1127,0.6573,0.1033,0.7042,0.2582,0.0141,0.0282,1.0047,0.0423,0.216,0.6714,0.8874,0.4272,0.0,0.3709,0.0,0.0,0.0,0.3709,0.0047,2.9203,0.0047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,46,1.8,1.1,1174
10,DELAWARE,DE,10003,New Castle,10003001200,"Census Tract 12, New Castle County, Delaware",0.159913409748,1759,228,858,44,776,58,60,30,16,15,51643,6355,76,51,259,135,160,76,103,44,17,17,171,322,0,44,19,17,0,11,0,15,44,37,108,130,3.7,1.9,1.2,1.2,51643.0,6355.0,5.4,3.3,14.7,6.8,9.1,4.2,6.2,2.8,2.2,2.2,9.7,18.3,0.0,2.6,2.2,2.0,0.0,3.4,0.0,2.0,5.7,4.6,6.1,7.3,0.1408,0.0188,0.0892,0.2723,0.5211,0.0657,0.3897,0.0657,0.0423,0.0751,0.5728,0.0094,0.0986,0.0,0.0986,0.0423,0.3521,0.0,0.0,0.6432,0.9249,1.9202,0.2864,3.1127,0.0094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,97,56,5.9,3.4,2226
10,DELAWARE,DE,10003,New Castle,10003013505,"Census Tract 135.05, New Castle County, Delaware",2.253633358372,3050,240,1267,27,1183,80,5,10,0,11,59863,8375,28,34,770,160,611,103,349,155,18,21,605,387,0,44,90,51,17,21,0,15,37,43,0,11,0.2,0.3,0.0,2.0,59863.0,8375.0,1.2,1.5,25.2,4.7,20.0,3.0,11.4,4.7,1.5,1.8,19.8,12.6,0.0,1.5,7.1,4.0,1.3,1.7,0.0,1.3,3.1,3.6,0.0,0.4,0.0,0.0,0.0516,0.0282,0.0798,0.0,0.8451,0.3756,0.3709,0.0516,1.6432,0.2488,0.2723,0.0,0.2723,0.1127,0.5352,0.5352,0.0,0.3521,0.0,1.4225,0.1362,3.4178,0.0141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,75,2.5,2.4,1717
10,DELAWARE,DE,10003,New Castle,10003016602,"Census Tract 166.02, New Castle County, Delaware",19.805018305866,9039,582,3273,154,3064,160,226,234,235,112,44758,6267,282,195,929,197,2252,340,869,381,173,106,2314,771,1,62,0,22,32,36,0,22,11,19,21,36,2.5,2.5,4.6,2.1,44758.0,6267.0,4.6,3.0,10.3,2.2,24.9,3.4,9.6,4.2,5.6,3.5,25.6,8.4,0.0,0.7,0.0,0.7,1.0,1.1,0.0,0.7,0.4,0.6,0.2,0.4,0.0469,0.3662,0.169,0.216,0.7981,0.1315,0.108,0.7512,0.2113,0.2911,1.3616,0.1315,0.3568,0.0,0.3568,0.1362,0.0,0.5211,0.0,0.0235,0.4789,1.0235,0.061,3.54,0.0188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,37,0.4,0.4,5254
10,DELAWARE,DE,10003,New Castle,10003014404,"Census Tract 144.04, New Castle County, Delaware",1.700108264724,4159,298,1851,93,1781,114,370,184,65,45,43807,5261,45,50,731,77,636,79,320,81,65,46,954,405,66,85,212,92,0,11,0,15,35,34,0,11,8.9,4.3,2.7,1.9,43807.0,5261.0,1.4,1.6,17.6,1.7,15.3,1.6,7.7,2.0,3.6,2.6,22.9,9.6,1.7,2.2,11.5,5.0,0.0,1.6,0.0,0.9,2.0,1.9,0.0,0.3,0.4178,0.1127,0.1925,0.0423,0.7653,0.1221,0.5493,0.1831,0.0939,0.1784,1.0047,0.0423,0.3146,0.5587,0.8733,0.4131,0.7042,0.0,0.0,0.2113,0.0,0.9155,0.0469,3.5588,0.0235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,64,3.3,1.5,2519
10,DELAWARE,DE,10005,Sussex,10005051203,"Census Tract 512.03, Sussex County, Delaware",0.913595324604,736,73,2503,36,341,40,3,4,13,7,47814,5439,8,9,382,50,91,14,83,39,18,11,35,104,0,44,40,40,0,11,18,11,3,4,0,11,0.4,0.5,5.4,3.2,47814.0,5439.0,1.3,1.4,51.9,4.6,12.4,1.5,11.3,5.2,5.3,3.3,4.8,14.2,0.0,6.1,1.6,1.6,0.0,1.2,5.3,3.3,0.9,1.3,0.0,1.5,0.0047,0.493,0.1221,0.0376,0.6574,0.108,0.9859,0.1174,0.3568,0.2817,1.7418,0.3052,0.0329,0.0,0.0329,0.0188,0.3146,0.0,0.939,0.0892,0.0,1.3428,0.1221,3.7749,0.0282,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,2,28,14,3.8,1.9,612
10,DELAWARE,DE,10003,New Castle,10003014805,"Census Tract 148.05, New Castle County, Delaware",10.282970009662,10225,581,3498,86,3425,131,605,347,266,107,46102,4882,230,121,998,139,2597,364,945,249,102,70,3872,731,57,95,0,25,57,64,19,33,14,23,0,18,5.9,3.3,4.6,1.9,46102.0,4882.0,3.4,1.7,9.8,1.3,25.4,3.3,9.2,2.4,3.0,2.0,37.9,6.8,0.6,1.0,0.0,0.7,1.6,1.8,0.6,1.0,0.4,0.7,0.0,0.2,0.2676,0.3662,0.1455,0.1362,0.9155,0.1643,0.0986,0.7981,0.1784,0.1315,1.2066,0.0892,0.5681,0.2864,0.8545,0.3897,0.0,0.554,0.3286,0.0235,0.0,0.9061,0.0423,3.8827,0.0329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,100,1.6,1.0,6649
