ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP
16,IDAHO,ID,16001,Ada,16001010224,"Census Tract 102.24, Ada County, Idaho",1.83922390414,5011,402,1707,81,1707,81,134,148,31,30,42532,4961,58,54,791,79,1300,265,318,111,36,32,298,564,30,72,0,24,0,17,0,24,0,17,0,17,2.7,2.8,1.3,1.2,42532.0,4961.0,1.7,1.6,15.8,1.8,25.9,4.9,6.3,2.2,2.1,1.9,5.9,11.3,0.6,1.5,0.0,1.4,0.0,1.9,0.0,1.4,0.0,1.9,0.0,0.3,0.0101,0.0539,0.037,0.0236,0.1246,0.0,0.5421,0.5488,0.0236,0.0404,1.1549,0.0707,0.1145,0.3939,0.5084,0.2593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7879,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,83,1.9,1.6,2116
16,IDAHO,ID,16001,Ada,16001000805,"Census Tract 8.05, Ada County, Idaho",1.096596861748,3189,184,1318,33,1246,57,137,77,41,33,65646,8949,1,4,479,86,785,108,228,91,28,26,313,252,6,47,0,17,0,12,12,22,9,14,7,11,4.3,2.5,2.6,2.1,65646.0,8949.0,0.0,0.2,15.0,2.7,24.6,3.1,7.2,2.8,2.2,2.1,9.8,7.9,0.2,1.6,0.0,1.3,0.0,2.4,1.0,1.8,0.7,1.1,0.2,0.3,0.0337,0.1818,0.0034,0.0,0.2189,0.0067,0.4916,0.4848,0.0404,0.0471,1.0639,0.0539,0.2862,0.2155,0.5017,0.2492,0.0,0.0,0.2323,0.0976,0.3434,0.6733,0.0202,2.4578,0.0034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,22,0.7,0.7,2056
16,IDAHO,ID,16001,Ada,16001000702,"Census Tract 7.02, Ada County, Idaho",6.297305087104,3520,264,1333,49,1282,73,87,62,70,48,58618,7625,41,29,502,51,839,173,266,91,32,28,322,346,0,48,0,17,0,12,0,17,0,12,131,93,2.6,1.8,3.9,2.6,58618.0,7625.0,1.7,1.1,14.3,1.8,23.8,4.6,7.9,2.7,2.5,2.2,9.1,9.8,0.0,1.4,0.0,1.3,0.0,2.4,0.0,1.3,0.0,2.5,3.7,2.6,0.0067,0.3636,0.0101,0.0236,0.404,0.0202,0.4242,0.431,0.0539,0.0808,0.9899,0.0505,0.2626,0.0,0.2626,0.1279,0.0,0.0,0.0,0.0,0.899,0.899,0.0539,2.5555,0.0067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,58,2.2,1.7,3450
16,IDAHO,ID,16001,Ada,16001010100,"Census Tract 101, Ada County, Idaho",92.248799111882,8270,536,2906,128,2811,137,196,113,63,62,53315,5191,95,81,1131,110,2565,329,425,139,128,73,835,755,0,68,47,47,110,56,0,24,33,40,0,17,2.4,1.4,1.6,1.6,53315.0,5191.0,1.8,1.5,13.7,1.6,31.0,3.4,5.1,1.7,4.6,2.6,10.1,9.1,0.0,0.9,1.6,1.6,3.8,1.9,0.0,0.9,1.2,1.4,0.0,0.2,0.0034,0.0741,0.0168,0.037,0.1313,0.0034,0.367,0.8316,0.0067,0.2054,1.4107,0.1279,0.2963,0.0,0.2963,0.1481,0.4512,0.3266,0.0,0.1785,0.0,0.9563,0.0774,2.7946,0.0101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,351,253,4.2,2.9,3818
16,IDAHO,ID,16001,Ada,16001010201,"Census Tract 102.01, Ada County, Idaho",82.3147842288,13100,722,4793,305,4753,294,1286,502,114,75,33578,3627,291,188,1735,240,3579,453,1245,291,198,111,1344,1080,0,76,45,50,71,61,33,34,15,24,6,11,9.8,3.8,1.9,1.2,33578.0,3627.0,3.3,2.1,13.2,1.8,27.3,3.1,9.5,2.3,4.2,2.3,10.3,8.2,0.0,0.6,0.9,1.1,1.5,1.2,0.7,0.7,0.3,0.5,0.0,0.1,0.3098,0.101,0.1549,0.0909,0.6566,0.0505,0.33,0.6296,0.1414,0.1785,1.2795,0.0976,0.3064,0.0,0.3064,0.1515,0.3502,0.2088,0.165,0.0505,0.0,0.7745,0.0337,3.017,0.0135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1074,374,8.2,2.8,5684
16,IDAHO,ID,16055,Kootenai,16055002000,"Census Tract 20, Kootenai County, Idaho",95.250655675034,3485,347,1971,93,1379,122,150,138,103,77,39727,8524,105,54,807,96,650,85,334,83,11,20,236,487,0,48,0,17,84,61,21,25,25,28,0,12,4.4,4.0,6.3,4.5,39727.0,8524.0,4.0,2.1,23.2,3.1,18.7,1.6,9.6,2.4,0.8,1.5,6.8,14.0,0.0,1.4,0.0,0.9,4.3,3.1,1.5,1.9,1.8,2.0,0.0,0.3,0.037,0.734,0.0539,0.1313,0.9562,0.1313,0.8418,0.138,0.1481,0.0067,1.1346,0.0606,0.1515,0.0,0.1515,0.0741,0.0,0.3502,0.3199,0.2761,0.0,0.9462,0.0673,3.1885,0.0168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,122,5.0,3.4,1498
16,IDAHO,ID,16055,Kootenai,16055001100,"Census Tract 11, Kootenai County, Idaho",1.935030868318,2323,165,878,43,844,52,75,55,31,21,31846,2360,97,45,537,45,463,61,370,90,29,26,117,238,10,46,0,17,31,28,0,17,6,9,0,12,3.2,2.4,2.7,1.8,31846.0,2360.0,5.7,2.6,23.1,1.9,19.9,2.2,15.9,3.5,3.4,3.2,5.0,10.3,0.4,2.0,0.0,1.9,3.5,3.2,0.0,2.0,0.7,1.1,0.0,0.5,0.0168,0.1953,0.1987,0.2727,0.6835,0.0606,0.8384,0.1987,0.6869,0.1246,1.8486,0.3603,0.0741,0.3064,0.3805,0.1818,0.0,0.303,0.0,0.0976,0.0,0.4006,0.0101,3.3132,0.0202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,111,10.2,4.7,2226
16,IDAHO,ID,16001,Ada,16001010335,"Census Tract 103.35, Ada County, Idaho",19.112406916554,24086,1517,8745,332,8501,418,1817,1038,153,101,36208,5799,460,252,3064,764,6846,690,1632,442,477,247,2008,2266,226,208,36,61,104,168,36,67,0,22,40,31,7.6,4.4,1.4,0.9,36208.0,5799.0,2.9,1.7,12.7,3.2,28.4,2.2,6.8,1.9,5.6,2.9,8.3,9.4,1.0,0.9,0.4,0.7,1.2,1.9,0.4,0.8,0.0,0.4,0.2,0.1,0.165,0.0572,0.0976,0.0707,0.3905,0.0168,0.3064,0.6734,0.037,0.3131,1.3299,0.1044,0.2357,0.5084,0.7441,0.3838,0.2862,0.1785,0.1145,0.0,0.3434,0.9226,0.0606,3.3871,0.0236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1236,566,5.1,2.3,10734
16,IDAHO,ID,16001,Ada,16001000803,"Census Tract 8.03, Ada County, Idaho",0.874787054278,4386,258,1839,77,1799,81,519,202,45,34,34078,3061,130,94,690,80,852,162,399,110,71,38,548,380,28,52,0,17,0,12,15,19,22,25,13,15,11.8,4.5,1.9,1.4,34078.0,3061.0,4.1,3.0,15.7,1.8,19.4,3.5,9.1,2.5,3.9,2.1,12.5,8.6,0.7,1.3,0.0,0.9,0.0,1.7,0.8,1.1,1.2,1.4,0.3,0.3,0.4209,0.101,0.1313,0.138,0.7912,0.0774,0.532,0.1684,0.1044,0.1582,0.963,0.0438,0.4209,0.4242,0.8451,0.4175,0.0,0.0,0.1953,0.1785,0.4175,0.7913,0.037,3.3906,0.0269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247,112,5.6,2.5,1699
16,IDAHO,ID,16001,Ada,16001000202,"Census Tract 2.02, Ada County, Idaho",13.094175196744,5373,420,2394,56,2319,101,272,134,136,71,65138,11137,0,17,1135,127,1153,254,445,123,123,72,504,571,16,70,114,67,0,17,0,24,22,26,0,17,5.1,2.4,5.1,2.6,65138.0,11137.0,0.0,0.8,21.1,2.5,21.5,4.4,8.3,2.3,5.3,3.1,9.4,10.6,0.3,1.4,4.8,2.8,0.0,1.3,0.0,1.0,0.9,1.1,0.0,0.3,0.0539,0.5825,0.0067,0.0,0.6431,0.0438,0.7912,0.2997,0.0673,0.2862,1.4444,0.1448,0.2727,0.2626,0.5353,0.2862,0.6465,0.0,0.0,0.1279,0.0,0.7744,0.0303,3.3972,0.0303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,56,0.9,1.0,3709
