ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP
18,INDIANA,IN,18001,Adams,18001030100,"Census Tract 301, Adams County, Indiana",77.630361559192,4609,312,1845,132,1796,128,232,107,79,42,31233,2756,282,109,791,77,1090,128,443,119,73,39,272,442,0,44,11,22,98,54,5,14,7,11,0,11,5.0,2.3,3.3,1.7,31233.0,2756.0,8.8,3.2,17.2,1.5,23.6,2.3,9.6,2.5,4.1,2.2,5.9,9.6,0.0,1.0,0.6,1.2,5.3,2.9,0.3,0.8,0.4,0.6,0.0,0.2,0.1277,0.25,0.2532,0.3621,0.993,0.2016,0.6419,0.5269,0.1349,0.1336,1.4373,0.1648,0.2817,0.0,0.2817,0.1588,0.2983,0.6888,0.2252,0.0286,0.0,1.2409,0.1144,3.9529,0.0692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,81,3.4,1.7,1986
18,INDIANA,IN,18001,Adams,18001030200,"Census Tract 302, Adams County, Indiana",9.385469346928,5126,394,2508,96,2349,154,1196,515,152,93,20504,2795,563,235,1037,136,1279,310,1002,263,309,161,635,553,0,64,189,100,124,107,34,43,49,50,13,18,24.0,9.9,6.9,4.0,20504.0,2795.0,16.2,6.4,20.2,3.3,25.0,5.7,19.5,4.8,13.2,6.8,12.4,10.7,0.0,1.3,7.5,4.0,4.9,4.3,1.4,1.8,2.1,2.2,0.3,0.4,0.7746,0.6941,0.7641,0.7468,2.9796,0.7951,0.8412,0.6419,0.8193,0.7588,3.0612,0.9794,0.489,0.0,0.489,0.2538,0.6884,0.6722,0.5243,0.2161,0.509,2.61,0.619,9.1398,0.7778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,99,2.6,2.0,8417
18,INDIANA,IN,18001,Adams,18001030300,"Census Tract 303, Adams County, Indiana",9.50979457703,5695,315,2478,147,2303,186,476,243,40,39,23511,2668,302,100,816,133,1526,169,701,146,231,109,559,490,17,68,156,89,104,76,47,70,98,78,271,121,8.9,4.5,1.3,1.3,23511.0,2668.0,8.0,2.7,14.3,2.3,26.8,2.6,12.9,2.6,10.0,4.7,9.8,8.6,0.3,1.3,6.3,3.6,4.2,3.0,2.0,3.1,4.3,3.3,4.8,2.1,0.3225,0.0359,0.6246,0.309,1.292,0.2848,0.412,0.7654,0.3694,0.5774,2.1242,0.5827,0.4159,0.3834,0.7993,0.4146,0.6518,0.6456,0.6372,0.4388,0.887,3.2604,0.8697,7.4759,0.5549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,133,3.7,2.5,5830
18,INDIANA,IN,18001,Adams,18001030400,"Census Tract 304, Adams County, Indiana",72.309411518486,3212,285,1230,94,1209,94,287,181,33,32,31071,5940,100,65,577,87,889,168,331,90,31,32,127,403,0,44,0,15,29,40,18,21,83,46,0,11,9.1,5.8,2.1,2.0,31071.0,5940.0,4.7,2.9,18.0,3.1,27.7,4.6,10.3,2.9,2.6,2.7,4.0,12.5,0.0,1.5,0.0,1.3,2.4,3.2,1.5,1.8,6.9,3.7,0.0,0.3,0.3331,0.0991,0.2598,0.1262,0.8182,0.145,0.7023,0.8186,0.1774,0.0611,1.7594,0.3289,0.1754,0.0,0.1754,0.109,0.0,0.5658,0.5475,0.607,0.0,1.7203,0.2626,4.4733,0.1158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262,139,8.2,4.2,1471
18,INDIANA,IN,18001,Adams,18001030500,"Census Tract 305, Adams County, Indiana",83.92613073254,6419,419,1520,95,1442,103,1388,428,61,39,17067,2236,926,160,440,67,2828,288,462,113,47,25,126,595,158,93,0,22,46,39,235,80,460,79,0,16,21.7,6.9,2.3,1.5,17067.0,2236.0,32.9,5.9,6.9,1.2,44.1,3.4,7.2,1.8,3.3,1.8,2.0,9.3,2.7,1.6,0.0,1.5,3.0,2.6,16.3,5.5,31.9,5.7,0.0,0.2,0.7453,0.121,0.8764,0.9754,2.7181,0.7272,0.0432,1.0,0.0485,0.0917,1.1834,0.0764,0.0545,0.8326,0.8871,0.4751,0.0,0.5944,1.0,0.9834,0.0,2.5778,0.6064,7.3664,0.5316,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0,2,4,2992,525,46.6,7.3,5047
18,INDIANA,IN,18001,Adams,18001030600,"Census Tract 306, Adams County, Indiana",3.553884353244,3358,218,1485,114,1354,96,450,164,85,51,22632,2244,187,80,547,100,858,148,401,131,194,79,215,325,22,49,235,93,30,25,40,35,67,52,62,65,13.7,5.0,4.8,2.8,22632.0,2244.0,8.5,3.6,16.3,2.6,25.6,4.1,12.1,3.9,14.3,5.8,6.4,9.7,0.7,1.6,15.8,6.2,2.0,1.6,3.0,2.6,4.9,3.8,1.8,1.9,0.5352,0.4707,0.6698,0.3435,2.0192,0.5269,0.5648,0.6877,0.3083,0.7953,2.3561,0.7349,0.303,0.5502,0.8532,0.4512,0.8538,0.5346,0.7854,0.4894,0.7136,3.3768,0.9003,8.6053,0.7112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325,184,9.8,5.4,5711
18,INDIANA,IN,18001,Adams,18001030700,"Census Tract 307, Adams County, Indiana",82.71318743852,6776,436,2160,164,2023,175,1738,555,136,73,18311,2080,1012,202,1043,114,2544,289,760,185,73,41,344,626,112,100,169,85,2,5,245,94,572,116,226,114,26.3,8.3,5.5,2.9,18311.0,2080.0,28.4,4.7,15.4,1.6,37.5,3.5,11.4,2.8,3.6,2.0,5.1,9.2,1.9,1.7,7.8,3.9,0.1,0.2,12.1,4.6,28.3,5.4,3.3,1.7,0.8105,0.5552,0.8365,0.9429,3.1451,0.8317,0.4983,0.9874,0.2571,0.101,1.8438,0.3767,0.2425,0.7754,1.0179,0.5548,0.697,0.3298,0.996,0.9741,0.8252,3.8221,0.9734,9.8289,0.8556,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0,2,4,2490,450,37.5,6.5,3860
18,INDIANA,IN,18003,Allen,18003000100,"Census Tract 1, Allen County, Indiana",0.730778730318,2611,239,1171,39,1160,44,231,150,36,31,22404,2864,199,101,389,93,661,185,285,112,136,79,673,331,55,64,9,17,0,11,24,35,105,77,0,11,8.8,5.7,2.4,2.1,22404.0,2864.0,11.6,5.9,14.9,3.6,25.3,6.7,10.9,4.4,11.7,6.9,25.8,12.5,2.3,2.7,0.8,1.5,0.0,2.5,2.1,3.1,9.1,6.6,0.0,0.4,0.3198,0.1343,0.6811,0.5309,1.6661,0.4025,0.4645,0.6611,0.2153,0.6837,2.0246,0.5136,0.7256,0.8093,1.5349,0.8093,0.3236,0.0,0.6532,0.6961,0.0,1.6729,0.2467,6.8985,0.4591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298,121,11.4,4.7,2657
18,INDIANA,IN,18003,Allen,18003000300,"Census Tract 3, Allen County, Indiana",0.511717969088,3271,271,1504,52,1283,112,337,187,69,50,27614,2697,87,57,305,47,775,147,331,121,132,84,355,366,10,44,0,15,6,11,14,16,68,57,0,11,10.3,5.4,3.5,2.5,27614.0,2697.0,3.8,2.4,9.3,1.7,23.7,4.0,10.1,3.7,10.3,6.5,10.9,11.2,0.3,1.5,0.0,1.0,0.4,0.7,1.1,1.3,5.3,4.3,0.0,0.3,0.3956,0.2773,0.4126,0.0904,1.1759,0.2502,0.1169,0.5362,0.1661,0.6013,1.4205,0.1601,0.4492,0.3834,0.8326,0.4385,0.0,0.3411,0.4525,0.514,0.0,1.3076,0.129,4.7366,0.143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,99,7.0,3.0,2028
18,INDIANA,IN,18003,Allen,18003000400,"Census Tract 4, Allen County, Indiana",1.208809686008,2463,223,1469,57,1216,104,273,135,62,53,27539,3284,187,115,232,35,419,92,277,109,65,61,282,313,0,44,49,50,11,16,9,17,166,87,0,11,11.2,5.2,3.7,3.1,27539.0,3284.0,10.7,6.1,9.4,1.5,17.0,3.4,11.2,4.0,5.3,5.0,11.4,12.7,0.0,1.9,3.3,3.4,0.7,1.1,0.7,1.5,13.7,6.6,0.0,0.4,0.4262,0.3052,0.4193,0.4757,1.6264,0.3892,0.1216,0.0944,0.2425,0.2179,0.6764,0.0226,0.4611,0.0,0.4611,0.2392,0.5236,0.4043,0.3316,0.8351,0.0,2.0946,0.4189,4.8585,0.1577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244,111,9.9,4.5,1972
