ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP
19,IOWA,IA,19153,Polk,19153011600,"Census Tract 116, Polk County, Iowa",1.978621011914,0,9,0,9,0,9,0,9,0,9,-999,-999,0,9,0,9,0,9,0,9,0,12,0,12,0,36,0,12,0,9,0,12,0,9,0,9,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,9,-999.0,-999.0,1790
19,IOWA,IA,19193,Woodbury,19193940200,"Census Tract 9402, Woodbury County, Iowa",1.23353025266,0,9,0,9,0,9,0,9,0,9,-999,-999,0,9,0,9,0,9,0,9,0,12,0,12,0,36,0,12,0,9,0,12,0,9,0,9,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,9,-999.0,-999.0,0
19,IOWA,IA,19049,Dallas,19049050805,"Census Tract 508.05, Dallas County, Iowa",2.003257022228,6258,283,2078,98,1989,86,114,147,78,48,61156,5422,48,49,633,81,2080,150,280,90,60,36,462,419,18,57,45,28,0,13,0,18,0,13,0,13,1.8,2.4,2.4,1.5,61156.0,5422.0,1.2,1.2,10.1,1.3,33.2,1.9,4.5,1.4,3.0,1.8,7.4,6.7,0.3,1.0,2.2,1.4,0.0,1.0,0.0,0.9,0.0,1.0,0.0,0.2,0.0061,0.281,0.0061,0.0219,0.3151,0.0195,0.0998,0.9842,0.0109,0.0633,1.1582,0.09,0.4611,0.3942,0.8553,0.472,0.4136,0.0,0.0,0.0,0.0,0.4136,0.0036,2.7422,0.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,10,14,0.2,0.2,3108
19,IOWA,IA,19113,Linn,19113010200,"Census Tract 102, Linn County, Iowa",65.7777459923,4613,270,1794,109,1679,104,229,110,57,34,30648,1658,172,59,658,56,1258,112,398,68,73,33,88,384,0,36,0,12,0,9,0,12,42,18,0,9,5.0,2.3,2.2,1.3,30648.0,1658.0,5.6,1.9,14.3,1.1,27.3,1.8,8.6,1.4,4.3,2.0,1.9,8.3,0.0,0.8,0.0,0.7,0.0,1.1,0.0,0.8,2.5,1.1,0.0,0.2,0.1326,0.2445,0.4197,0.3309,1.1277,0.2019,0.2762,0.8418,0.1484,0.1448,1.4112,0.1557,0.0693,0.0,0.0693,0.0365,0.0,0.0,0.0,0.2457,0.0,0.2457,0.0012,2.8539,0.0012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,77,2.4,1.7,2360
19,IOWA,IA,19155,Pottawattamie,19155021602,"Census Tract 216.02, Pottawattamie County, Iowa",109.595750386314,2792,175,1080,41,1026,51,68,32,25,18,38742,4632,37,21,421,37,786,98,319,82,45,19,69,231,0,36,0,12,7,10,7,11,7,7,0,9,2.5,1.2,1.6,1.2,38742.0,4632.0,2.0,1.1,15.1,1.7,28.2,3.0,11.4,2.8,4.4,1.9,2.5,8.3,0.0,1.4,0.0,1.2,0.6,0.9,0.7,1.1,0.7,0.6,0.0,0.3,0.0182,0.1253,0.1022,0.0487,0.2944,0.017,0.3151,0.8905,0.4221,0.1545,1.7822,0.3321,0.1156,0.0,0.1156,0.0608,0.0,0.32,0.3698,0.0377,0.0,0.7275,0.0146,2.9197,0.0024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,18,1.0,0.6,1916
19,IOWA,IA,19049,Dallas,19049050901,"Census Tract 509.01, Dallas County, Iowa",1.00094047735,3687,268,1588,96,1478,104,125,82,19,20,38376,3053,45,42,402,97,933,148,198,93,125,88,121,371,31,51,61,32,0,9,0,12,0,9,0,9,3.4,2.2,0.8,0.9,38376.0,3053.0,1.8,1.7,10.9,2.5,25.3,3.6,5.4,2.4,8.5,5.9,3.3,10.1,0.9,1.5,3.8,2.0,0.0,1.2,0.0,0.9,0.0,1.3,0.0,0.2,0.0511,0.0316,0.1083,0.0414,0.2324,0.0109,0.1253,0.7153,0.0231,0.5876,1.4513,0.174,0.1849,0.6083,0.7932,0.4453,0.5073,0.0,0.0,0.0,0.0,0.5073,0.0097,2.9842,0.0036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,112,5.0,3.0,2682
19,IOWA,IA,19013,Black Hawk,19013002901,"Census Tract 29.01, Black Hawk County, Iowa",3.047272969208,1272,98,556,31,518,40,45,32,23,19,32581,3970,46,22,326,56,233,40,184,48,15,13,30,135,0,36,0,12,0,9,0,12,0,9,0,9,3.5,2.4,3.6,3.0,32581.0,3970.0,4.6,2.1,25.6,4.2,18.3,2.8,14.5,3.5,2.9,2.6,2.4,10.7,0.0,2.9,0.0,2.3,0.0,3.5,0.0,2.5,0.0,3.8,0.0,0.7,0.0584,0.5109,0.3029,0.2287,1.1009,0.1934,0.9574,0.1119,0.7287,0.0572,1.8552,0.3844,0.1034,0.0,0.1034,0.0523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0595,0.0049,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,35,27,2.8,2.1,1293
19,IOWA,IA,19113,Linn,19113010600,"Census Tract 106, Linn County, Iowa",63.636471404744,6146,346,2442,58,2240,128,211,115,146,118,44272,5785,84,55,811,120,1442,149,559,155,84,44,400,510,18,58,0,18,40,49,0,18,25,26,0,13,3.4,1.9,4.1,3.1,44272.0,5785.0,2.1,1.3,13.2,1.8,23.5,2.0,9.1,2.4,3.8,2.0,6.5,8.3,0.3,1.0,0.0,0.8,1.6,2.0,0.0,0.8,1.1,1.2,0.0,0.2,0.0511,0.5985,0.045,0.0535,0.7481,0.0839,0.2202,0.5401,0.2056,0.1022,1.0681,0.0657,0.4173,0.3942,0.8115,0.4489,0.0,0.4793,0.0,0.0766,0.0,0.5559,0.0109,3.1836,0.0061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,99,2.3,1.6,2680
19,IOWA,IA,19153,Polk,19153011026,"Census Tract 110.26, Polk County, Iowa",2.561467849748,5342,347,2475,119,2342,125,214,163,47,59,72930,9339,49,48,538,89,1180,190,200,101,94,85,445,480,18,58,614,175,0,13,18,31,27,28,0,13,4.0,3.0,1.5,1.9,72930.0,9339.0,1.3,1.3,10.1,1.8,22.1,3.3,3.8,1.9,4.0,3.6,8.3,9.0,0.4,1.2,24.8,7.0,0.0,0.8,0.8,1.4,1.2,1.2,0.0,0.2,0.0766,0.1168,0.0012,0.0243,0.2189,0.0097,0.0998,0.3929,0.0049,0.1241,0.6217,0.0243,0.5061,0.4489,0.955,0.5134,0.9197,0.0,0.4161,0.0864,0.0,1.4222,0.1277,3.2178,0.0073,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,124,134,2.3,2.5,4565
19,IOWA,IA,19153,Polk,19153000802,"Census Tract 8.02, Polk County, Iowa",0.678934884268,3403,252,1752,48,1688,73,132,117,39,32,42806,4458,33,26,519,90,617,131,307,93,89,63,195,358,13,40,120,47,0,9,0,12,93,68,0,9,3.9,3.4,1.8,1.5,42806.0,4458.0,1.3,1.0,15.3,2.5,18.1,3.6,9.0,2.7,5.3,3.8,5.7,10.5,0.4,1.3,6.8,2.7,0.0,1.1,0.0,0.8,5.5,4.0,0.0,0.3,0.0706,0.1606,0.062,0.0243,0.3175,0.0207,0.3248,0.1046,0.1983,0.247,0.8747,0.0377,0.371,0.4489,0.8199,0.4538,0.6338,0.0,0.0,0.5937,0.0,1.2275,0.0864,3.2396,0.0085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,77,2.6,2.2,1515
