ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP
23,MAINE,ME,23015,Lincoln,23015990000,"Census Tract 9900, Lincoln County, Maine",0.0,0,10,0,10,0,10,0,10,0,10,-999,-999,0,10,0,10,0,10,0,10,0,14,0,14,0,40,0,14,0,10,0,14,0,10,0,10,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,10,-999.0,-999.0,0
23,MAINE,ME,23023,Sagadahoc,23023990000,"Census Tract 9900, Sagadahoc County, Maine",0.0,0,10,0,10,0,10,0,10,0,10,-999,-999,0,10,0,10,0,10,0,10,0,14,0,14,0,40,0,14,0,10,0,14,0,10,0,10,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,10,-999.0,-999.0,0
23,MAINE,ME,23029,Washington,23029990000,"Census Tract 9900, Washington County, Maine",0.0,0,10,0,10,0,10,0,10,0,10,-999,-999,0,10,0,10,0,10,0,10,0,14,0,14,0,40,0,14,0,10,0,14,0,10,0,10,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,10,-999.0,-999.0,0
23,MAINE,ME,23031,York,23031990100,"Census Tract 9901, York County, Maine",0.0,0,10,0,10,0,10,0,10,0,10,-999,-999,0,10,0,10,0,10,0,10,0,14,0,14,0,40,0,14,0,10,0,14,0,10,0,10,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,10,-999.0,-999.0,-999
23,MAINE,ME,23005,Cumberland,23005017102,"Census Tract 171.02, Cumberland County, Maine",11.92830661687,2928,153,2462,85,1358,83,181,86,97,73,47688,6326,40,26,916,135,394,88,258,78,19,19,19,215,0,40,0,14,111,54,0,14,19,21,0,10,6.2,3.0,6.6,4.9,47688.0,6326.0,1.6,1.0,31.3,4.9,13.5,2.9,8.8,2.6,1.4,1.4,0.6,7.4,0.0,1.4,0.0,0.6,4.5,2.2,0.0,1.0,1.4,1.5,0.0,0.3,0.1629,0.7514,0.0543,0.04,1.0086,0.2029,0.9571,0.1057,0.0486,0.0143,1.1257,0.0657,0.0057,0.0,0.0057,0.0029,0.0,0.3571,0.0,0.1029,0.0,0.46,0.0057,2.6,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,261,188,9.0,6.3,962
23,MAINE,ME,23005,Cumberland,23005001700,"Census Tract 17, Cumberland County, Maine",0.75103788836,4664,355,1973,53,1942,63,333,153,43,34,40673,3857,85,56,608,85,658,108,341,103,72,44,210,509,0,40,46,31,12,19,0,14,24,24,45,45,7.1,3.0,1.3,1.1,40673.0,3857.0,2.5,1.6,13.0,2.1,14.1,2.1,7.3,2.2,3.7,2.3,4.5,10.9,0.0,0.9,2.3,1.6,0.6,1.0,0.0,0.7,1.2,1.2,1.0,1.0,0.2086,0.0514,0.1086,0.0714,0.44,0.0257,0.0886,0.1314,0.0114,0.1143,0.3457,0.0029,0.4714,0.0,0.4714,0.2514,0.5486,0.1514,0.0,0.0857,0.56,1.3457,0.1114,2.6028,0.0029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,169,5.6,3.4,1915
23,MAINE,ME,23031,York,23031028001,"Census Tract 280.01, York County, Maine",19.585889590684,3576,227,1340,74,1322,75,66,45,166,66,40427,4972,32,27,486,103,673,108,362,111,93,53,171,328,0,40,0,14,8,13,0,14,11,17,5,4,1.8,1.3,7.5,3.1,40427.0,4972.0,1.2,1.0,13.6,2.9,18.8,2.8,10.1,3.0,7.0,4.0,4.8,9.2,0.0,1.2,0.0,1.1,0.6,1.0,0.0,1.1,0.8,1.3,0.1,0.1,0.0086,0.8257,0.1114,0.02,0.9657,0.1914,0.1114,0.4686,0.1086,0.4829,1.1715,0.0743,0.4943,0.0,0.4943,0.2657,0.0,0.1514,0.0,0.0486,0.2371,0.4371,0.0029,3.0686,0.0057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,103,4.5,2.9,2536
23,MAINE,ME,23031,York,23031027000,"Census Tract 270, York County, Maine",20.556891718954,3582,21,2919,151,1578,102,102,78,15,18,49397,5058,11,18,998,147,639,112,440,138,56,55,31,40,6,40,18,22,24,28,11,21,54,45,0,10,2.9,2.2,0.8,0.9,49397.0,5058.0,0.4,0.6,27.9,4.1,17.8,3.1,12.3,3.8,3.5,3.5,0.9,1.1,0.2,1.2,0.6,0.8,0.8,1.0,0.7,1.4,3.4,2.8,0.0,0.3,0.0286,0.02,0.0371,0.0,0.0857,0.0029,0.8943,0.3629,0.2171,0.0971,1.5714,0.2457,0.0114,0.4857,0.4971,0.2686,0.3171,0.1829,0.3571,0.3,0.0,1.1571,0.0629,3.3113,0.0086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,72,3.6,2.0,2107
23,MAINE,ME,23005,Cumberland,23005012000,"Census Tract 120, Cumberland County, Maine",33.185990454312,4503,17,2971,195,1865,127,238,167,118,76,40040,3642,81,55,761,157,722,134,372,103,63,40,140,148,14,45,11,19,50,40,19,23,9,13,5,4,5.3,3.7,4.1,2.6,40040.0,3642.0,2.4,1.7,16.9,3.5,16.0,3.0,8.3,2.3,3.4,2.2,3.1,3.3,0.3,1.1,0.4,0.7,1.7,1.4,1.0,1.2,0.5,0.7,0.1,0.1,0.1029,0.4371,0.1229,0.06,0.7229,0.1057,0.2914,0.22,0.0343,0.0886,0.6343,0.0171,0.2314,0.5657,0.7971,0.4543,0.2629,0.2286,0.44,0.0114,0.2371,1.18,0.0714,3.3343,0.0114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,104,3.4,2.3,1983
23,MAINE,ME,23001,Androscoggin,23001040000,"Census Tract 400, Androscoggin County, Maine",38.28006541541,3931,16,1642,94,1592,82,174,113,25,18,35678,3599,158,74,613,116,991,102,323,92,90,48,141,125,0,40,0,14,128,64,0,14,68,52,0,10,4.4,2.9,1.1,0.8,35678.0,3599.0,5.6,2.6,15.6,3.0,25.2,2.6,8.2,2.3,5.7,3.0,3.6,3.2,0.0,1.1,0.0,0.9,7.8,3.9,0.0,0.9,4.3,3.2,0.0,0.3,0.06,0.0343,0.2229,0.3114,0.6286,0.0686,0.2057,0.9486,0.0257,0.3229,1.5029,0.2114,0.3029,0.0,0.3029,0.1629,0.0,0.5086,0.0,0.4029,0.0,0.9115,0.0314,3.3459,0.0143,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,177,98,4.5,2.5,1181
