ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP
27,MINNESOTA,MN,27001,Aitkin,27001770100,"Census Tract 7701, Aitkin County, Minnesota",458.610664474912,2284,120,2999,71,1117,50,285,64,45,23,29334,2820,151,29,737,35,347,46,371,41,37,17,175,162,1,35,0,12,349,49,10,6,44,17,0,9,12.5,2.8,5.0,2.6,29334.0,2820.0,8.1,1.5,32.3,1.9,15.2,1.8,16.3,1.6,3.3,1.5,7.7,7.1,0.0,1.6,0.0,0.4,11.6,1.6,0.9,0.6,3.9,1.5,0.0,0.4,0.7143,0.731,0.6534,0.6609,2.7596,0.7662,0.9835,0.0848,0.8866,0.1163,2.0712,0.5184,0.3106,0.0,0.3106,0.1365,0.0,0.9165,0.3631,0.4165,0.0,1.6961,0.2398,6.8375,0.4429,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,2,102,39,4.5,1.7,954
27,MINNESOTA,MN,27001,Aitkin,27001770200,"Census Tract 7702, Aitkin County, Minnesota",461.794623729752,2199,160,2238,85,1113,93,247,73,97,31,27351,1671,129,34,605,67,394,71,435,63,76,33,151,220,3,33,67,26,245,47,21,15,33,22,13,29,11.3,3.1,10.2,3.2,27351.0,1671.0,7.8,2.0,27.5,2.4,17.9,3.0,19.8,2.5,6.8,2.9,6.9,10.0,0.1,1.6,3.0,1.2,10.9,2.1,1.9,1.3,3.0,2.0,0.6,1.3,0.6639,0.9617,0.7622,0.6324,3.0202,0.8271,0.952,0.1643,0.9632,0.4771,2.5566,0.8242,0.2708,0.1695,0.4403,0.2303,0.2993,0.906,0.5949,0.3429,0.4854,2.6285,0.5737,8.6456,0.7023,0,1,0,0,1,1,0,1,0,2,0,0,0,0,1,0,0,0,1,4,100,42,4.5,1.9,1349
27,MINNESOTA,MN,27001,Aitkin,27001770300,"Census Tract 7703, Aitkin County, Minnesota",33.722167598998,3451,225,1985,71,1554,104,583,180,72,39,22096,1801,355,94,918,64,773,103,679,116,226,61,225,317,13,33,267,66,104,29,67,55,181,59,230,65,17.9,4.9,5.0,2.7,22096.0,1801.0,14.5,3.6,26.6,2.2,22.4,2.6,20.7,3.6,14.5,3.9,6.5,9.2,0.4,1.0,13.5,3.3,5.2,1.5,4.3,3.5,11.6,3.6,6.7,1.8,0.8376,0.731,0.9107,0.8995,3.3788,0.9075,0.9437,0.4539,0.9677,0.8972,3.2625,0.9947,0.2551,0.3608,0.6159,0.3248,0.6257,0.7774,0.8485,0.8263,0.937,4.0149,0.9902,11.2721,0.9549,0,0,1,0,1,1,0,1,0,2,0,0,0,0,0,0,0,1,1,4,119,49,3.6,1.5,5725
27,MINNESOTA,MN,27001,Aitkin,27001770400,"Census Tract 7704, Aitkin County, Minnesota",460.131813690432,2995,177,3560,83,1493,84,463,101,78,33,29195,2651,235,54,914,59,456,77,567,77,87,34,264,244,0,36,35,17,667,96,24,15,88,28,0,9,15.5,3.1,5.9,2.4,29195.0,2651.0,10.1,2.2,30.5,2.3,15.2,2.4,18.9,2.2,5.8,2.3,8.8,8.1,0.0,1.2,1.0,0.5,18.7,2.6,1.6,1.0,5.9,1.8,0.0,0.3,0.7932,0.8062,0.6624,0.7787,3.0405,0.8346,0.9775,0.0848,0.9452,0.3721,2.3796,0.722,0.3586,0.0,0.3586,0.1673,0.1875,0.9767,0.5266,0.5789,0.0,2.2697,0.4459,8.0484,0.6105,0,0,0,0,0,1,0,1,0,2,0,0,0,0,1,0,0,0,1,3,207,46,6.9,1.6,2640
27,MINNESOTA,MN,27001,Aitkin,27001790501,"Census Tract 7905.01, Aitkin County, Minnesota",294.26292692509,1884,94,2284,71,913,68,214,58,45,28,26913,1917,144,37,679,48,306,36,328,52,41,19,53,130,9,36,0,12,343,51,13,14,38,14,0,9,11.4,3.1,6.4,3.8,26913.0,1917.0,9.6,2.4,36.0,2.0,16.2,1.7,17.4,2.5,4.5,2.1,2.8,6.9,0.5,2.0,0.0,0.6,15.0,2.1,1.4,1.6,4.2,1.4,0.0,0.5,0.6669,0.837,0.7787,0.7524,3.035,0.8301,0.991,0.108,0.9159,0.2198,2.2347,0.6334,0.048,0.4021,0.4501,0.2408,0.0,0.9534,0.4869,0.4444,0.0,1.8847,0.306,7.6045,0.5361,0,0,0,0,0,1,0,1,0,2,0,0,0,0,1,0,0,0,1,3,70,30,3.7,1.6,760
27,MINNESOTA,MN,27001,Aitkin,27001790502,"Census Tract 7905.02, Aitkin County, Minnesota",113.27445224971,3021,129,3533,88,1523,70,229,61,55,26,31844,1936,97,32,1207,57,379,58,427,63,60,26,88,181,1,34,58,27,331,63,8,7,52,24,17,20,7.6,2.0,4.3,2.0,31844.0,1936.0,3.8,1.2,40.0,2.1,12.5,1.8,14.2,2.0,3.9,1.7,2.9,6.0,0.0,1.2,1.6,0.8,9.4,1.7,0.5,0.5,3.4,1.6,0.6,0.7,0.4519,0.6514,0.5319,0.2641,1.8993,0.4759,0.997,0.0555,0.7791,0.1658,1.9974,0.4786,0.054,0.0,0.054,0.0225,0.2213,0.8857,0.2266,0.3767,0.4854,2.1957,0.4053,6.1464,0.3474,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,77,35,2.6,1.1,1230
27,MINNESOTA,MN,27003,Anoka,27003050107,"Census Tract 501.07, Anoka County, Minnesota",13.61764572461,2799,159,1059,50,1009,62,122,67,58,37,28552,2402,188,90,297,40,745,90,269,118,201,78,115,233,0,36,0,12,275,56,12,20,5,10,0,9,4.4,2.4,3.6,2.2,28552.0,2402.0,10.6,4.8,10.6,1.5,26.6,2.8,9.6,4.1,19.9,7.6,4.1,8.3,0.0,1.4,0.0,1.2,26.0,5.1,1.2,2.0,0.5,1.0,0.0,0.3,0.2053,0.5304,0.7044,0.7989,2.239,0.6008,0.2176,0.7817,0.3501,0.9662,2.3156,0.686,0.1193,0.0,0.1193,0.039,0.0,0.9962,0.4411,0.0308,0.0,1.4681,0.1767,6.142,0.3466,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,2,146,88,5.2,3.2,1699
27,MINNESOTA,MN,27003,Anoka,27003050108,"Census Tract 501.08, Anoka County, Minnesota",10.346946338858,5223,160,1808,74,1712,68,434,232,130,67,30433,2504,227,96,424,67,1476,115,563,168,183,64,602,347,59,67,86,38,1,2,38,42,10,14,0,12,8.4,4.5,4.4,2.2,30433.0,2504.0,7.0,3.0,8.1,1.3,28.3,2.0,10.8,3.2,10.7,3.7,11.5,6.6,1.3,1.5,4.8,2.1,0.1,0.1,2.2,2.5,0.6,0.8,0.0,0.2,0.5023,0.6694,0.6039,0.5664,2.342,0.6293,0.108,0.8717,0.4763,0.7569,2.2129,0.6236,0.4404,0.6189,1.0593,0.5559,0.3893,0.4158,0.6572,0.0398,0.0,1.5021,0.1842,7.1163,0.4805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,92,4.4,1.8,5055
27,MINNESOTA,MN,27003,Anoka,27003050109,"Census Tract 501.09, Anoka County, Minnesota",25.311118155244,5375,160,1878,60,1834,67,250,186,82,52,34248,2090,125,54,588,97,1201,109,420,128,101,63,294,249,10,49,10,20,56,51,34,30,37,32,22,10,4.7,3.5,2.4,1.5,34248.0,2090.0,3.4,1.5,10.9,1.8,22.3,1.9,7.8,2.4,5.5,3.5,5.5,4.6,0.2,1.0,0.5,1.1,3.0,2.7,1.9,1.7,2.0,1.7,0.4,0.2,0.2203,0.2667,0.4306,0.2206,1.1382,0.2338,0.2348,0.4434,0.1818,0.3346,1.1946,0.0977,0.1988,0.2446,0.4434,0.2318,0.147,0.688,0.5949,0.2135,0.3968,2.0402,0.3564,4.8164,0.1579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,99,3.1,1.8,1771
27,MINNESOTA,MN,27003,Anoka,27003050110,"Census Tract 501.10, Anoka County, Minnesota",9.533352204458,2682,146,1014,45,983,52,89,53,72,33,37322,2650,140,57,274,67,462,57,325,79,58,35,167,224,32,50,0,12,140,37,13,21,16,14,0,9,3.3,2.1,4.3,2.1,37322.0,2650.0,7.3,3.0,10.2,2.6,17.2,1.9,12.1,2.8,5.9,3.6,6.2,8.4,1.2,1.9,0.0,1.3,13.8,3.6,1.3,2.1,1.6,1.4,0.0,0.3,0.1271,0.6514,0.3353,0.5926,1.7064,0.4211,0.1995,0.1388,0.6041,0.3863,1.3287,0.1375,0.2393,0.6017,0.841,0.4426,0.0,0.9421,0.4599,0.1534,0.0,1.5554,0.2008,5.4315,0.2444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,102,51,3.8,1.9,2595
27,MINNESOTA,MN,27003,Anoka,27003050111,"Census Tract 501.11, Anoka County, Minnesota",9.733055741918,3751,136,1446,51,1411,62,53,47,82,48,40737,4336,78,44,413,56,829,106,323,113,38,33,162,215,0,36,0,12,9,15,12,21,9,14,5,4,1.4,1.3,3.7,2.2,40737.0,4336.0,3.0,1.7,11.0,1.4,22.1,2.7,8.6,3.0,2.7,2.3,4.3,5.7,0.0,1.1,0.0,0.9,0.6,1.0,0.9,1.5,0.6,1.0,0.1,0.1,0.0241,0.55,0.2408,0.1815,0.9964,0.188,0.2408,0.4194,0.2464,0.078,0.9846,0.0481,0.1313,0.0,0.1313,0.0435,0.0,0.4827,0.3631,0.0398,0.174,1.0596,0.0857,3.1719,0.0226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,69,3.5,1.8,988
27,MINNESOTA,MN,27003,Anoka,27003050114,"Census Tract 501.14, Anoka County, Minnesota",10.992638227028,3051,126,1073,45,1057,46,71,46,57,36,43837,3484,113,43,441,36,649,85,320,68,10,9,100,182,10,35,52,18,0,9,9,9,0,9,5,3,2.3,1.5,3.3,2.1,43837.0,3484.0,5.2,2.0,14.5,1.2,21.3,2.6,10.5,2.2,0.9,0.9,3.3,6.0,0.4,1.3,4.8,1.7,0.0,1.6,0.9,0.9,0.0,1.6,0.2,0.1,0.0669,0.4666,0.189,0.3991,1.1216,0.2308,0.4284,0.3556,0.4403,0.0128,1.2371,0.1097,0.0773,0.3608,0.4381,0.2266,0.3893,0.0,0.3631,0.0,0.2513,1.0037,0.0767,3.8005,0.0647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,51,3.5,1.7,912
27,MINNESOTA,MN,27003,Anoka,27003050115,"Census Tract 501.15, Anoka County, Minnesota",22.923136744952,5531,126,1973,84,1931,82,194,101,123,55,37830,2833,183,93,584,106,1342,97,397,111,128,57,799,431,66,83,0,17,0,12,72,39,30,29,5,9,3.5,1.8,3.8,1.8,37830.0,2833.0,4.9,2.4,10.6,1.9,24.3,1.7,7.2,2.0,6.6,3.0,14.4,7.8,1.3,1.6,0.0,0.9,0.0,0.9,3.7,2.0,1.6,1.5,0.1,0.2,0.1414,0.568,0.3173,0.3661,1.3928,0.3098,0.2176,0.6122,0.1375,0.4546,1.4219,0.1713,0.5289,0.6189,1.1478,0.6047,0.0,0.0,0.8177,0.1534,0.174,1.1451,0.0962,5.1076,0.2038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,109,3.9,2.0,2054
27,MINNESOTA,MN,27003,Anoka,27003050116,"Census Tract 501.16, Anoka County, Minnesota",33.655139519594,4649,32,1489,116,1445,101,282,136,74,47,35952,2655,72,76,390,111,1305,164,286,88,77,46,562,252,0,36,8,15,16,23,0,12,16,19,35,62,6.2,2.9,2.8,1.8,35952.0,2655.0,2.5,2.6,8.4,2.4,28.1,3.5,6.2,1.9,5.3,3.2,12.1,5.4,0.0,0.8,0.5,1.1,1.1,1.6,0.0,0.9,1.1,1.3,0.8,1.3,0.3481,0.3644,0.3728,0.1493,1.2346,0.2662,0.117,0.8597,0.0811,0.3151,1.3729,0.154,0.4636,0.0,0.4636,0.2476,0.147,0.5639,0.0,0.091,0.5454,1.3473,0.1436,4.4184,0.1135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,101,4.2,2.2,1707
