ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP
28,MISSISSIPPI,MS,28001,Adams,28001000100,"Census Tract 1, Adams County, Mississippi",217.047640459978,8525,557,2571,174,1997,188,2141,657,372,208,14449,2831,1725,327,995,155,1694,426,1066,285,230,114,4321,681,1416,358,68,77,975,235,107,97,85,69,2253,291,34.1,9.2,16.6,8.3,14449.0,2831.0,28.4,5.6,11.7,2.1,19.9,4.8,17.0,4.5,11.5,5.6,50.7,7.3,17.7,4.4,2.6,3.0,37.9,9.1,5.4,4.9,4.3,3.4,26.4,2.9,0.7988,0.872,0.8752,0.9117,3.4577,0.9192,0.1903,0.1948,0.5137,0.5525,1.4513,0.1646,0.5784,0.9985,1.5769,0.9056,0.6164,0.939,0.863,0.3796,0.9741,3.7721,0.9726,10.258,0.9131,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,2,4,967,330,15.4,4.9,5217
28,MISSISSIPPI,MS,28001,Adams,28001000200,"Census Tract 2, Adams County, Mississippi",83.901598969766,3758,504,2014,125,1444,180,1143,377,169,98,15321,2010,594,173,638,101,643,219,814,221,89,60,3235,520,0,52,0,18,438,144,0,18,99,40,0,13,30.4,9.6,11.3,6.4,15321.0,2010.0,20.8,5.9,17.0,2.8,17.1,5.4,21.7,4.8,6.2,4.1,86.1,7.6,0.0,1.4,0.0,0.9,21.7,6.8,0.0,1.3,6.9,2.6,0.0,0.3,0.7332,0.718,0.8402,0.6743,2.9657,0.7942,0.6575,0.0837,0.8064,0.1781,1.7257,0.3125,0.8691,0.0,0.8691,0.4825,0.0,0.7012,0.0,0.5747,0.0,1.2759,0.1052,6.8364,0.4451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,637,245,17.0,5.6,1485
28,MISSISSIPPI,MS,28001,Adams,28001000300,"Census Tract 3, Adams County, Mississippi",1.13710706969,1831,319,1187,97,718,122,789,289,76,59,13507,2801,286,103,327,99,399,186,317,88,96,63,1804,320,5,50,0,18,43,40,0,18,182,86,0,13,43.1,13.0,11.3,7.4,13507.0,2801.0,21.9,7.1,17.9,5.5,21.8,9.4,17.3,4.4,13.4,8.5,98.5,3.4,0.3,3.0,0.0,1.6,3.6,3.3,0.0,2.6,25.3,10.0,0.0,0.7,0.9116,0.718,0.9132,0.7321,3.2749,0.8765,0.7245,0.3014,0.5335,0.6514,2.2108,0.628,0.9696,0.516,1.4856,0.86,0.0,0.3247,0.0,0.9863,0.0,1.311,0.1143,8.2823,0.6723,1,0,1,0,2,0,0,0,0,0,1,0,1,0,0,0,1,0,1,4,243,106,13.3,5.6,1553
28,MISSISSIPPI,MS,28001,Adams,28001000400,"Census Tract 4, Adams County, Mississippi",1.468011155566,2896,411,1359,120,1099,133,1583,368,187,107,11147,2274,422,142,411,94,852,276,459,152,248,81,2870,411,7,50,103,70,15,18,70,58,219,77,19,8,55.0,10.3,21.9,10.1,11147.0,2274.0,24.2,7.8,14.2,3.5,29.4,8.6,16.0,5.4,22.6,6.8,99.1,2.1,0.3,1.9,7.6,5.1,1.1,1.3,6.4,5.3,19.9,7.0,0.7,0.3,0.9878,0.9558,0.968,0.8052,3.7168,0.9802,0.3912,0.8767,0.4558,0.9315,2.6552,0.8872,0.9833,0.516,1.4993,0.8691,0.796,0.1845,0.9117,0.9543,0.5875,3.434,0.9116,11.3053,0.9863,1,1,1,0,3,0,0,0,1,1,1,0,1,0,0,1,1,0,2,7,561,214,19.5,7.1,2595
28,MISSISSIPPI,MS,28001,Adams,28001000500,"Census Tract 5, Adams County, Mississippi",7.83314278101,3630,485,1750,142,1477,183,1596,455,149,102,15991,3157,646,233,584,96,780,221,697,168,177,84,2642,524,197,182,199,96,106,55,29,36,94,56,0,13,44.0,10.7,9.2,5.7,15991.0,3157.0,25.8,8.6,16.1,3.1,21.5,5.4,19.2,4.6,12.0,5.5,72.8,10.7,5.9,5.4,11.4,5.4,6.1,3.1,2.0,2.5,6.4,3.8,0.0,0.4,0.9238,0.593,0.8143,0.8432,3.1743,0.846,0.5708,0.2785,0.6646,0.5723,2.0862,0.5564,0.7702,0.9802,1.7504,0.9756,0.8645,0.4085,0.4429,0.5305,0.0,2.2464,0.4695,9.2573,0.8095,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,673,267,18.5,6.8,2352
28,MISSISSIPPI,MS,28001,Adams,28001000600,"Census Tract 6, Adams County, Mississippi",2.505784219308,2604,422,1144,103,920,129,757,376,72,89,15944,2879,408,169,384,61,708,209,308,175,174,89,1619,445,0,52,45,59,0,13,14,24,31,27,0,13,29.1,13.0,6.3,7.6,15944.0,2879.0,22.8,7.5,14.7,3.1,27.2,6.7,11.8,6.4,18.9,9.3,62.2,13.8,0.0,2.1,3.9,5.2,0.0,3.2,1.5,2.7,3.4,2.9,0.0,0.5,0.7012,0.3491,0.8158,0.758,2.6241,0.7104,0.4247,0.7458,0.1814,0.8615,2.2134,0.6311,0.6819,0.0,0.6819,0.3212,0.6865,0.0,0.344,0.2988,0.0,1.3293,0.1204,6.8487,0.4497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289,167,11.1,5.9,4036
28,MISSISSIPPI,MS,28001,Adams,28001000700,"Census Tract 7, Adams County, Mississippi",1.293767183986,1574,241,1077,75,758,94,379,111,16,18,29190,9529,167,98,533,112,238,86,284,129,82,35,767,273,19,51,67,39,0,13,0,18,97,48,136,103,26.4,6.9,3.0,3.3,29190.0,9529.0,13.2,6.8,33.9,6.9,15.1,5.0,19.7,8.1,10.8,4.5,48.7,15.7,1.3,3.5,6.2,3.6,0.0,3.4,0.0,2.4,12.8,5.9,8.6,6.4,0.6341,0.0945,0.1385,0.3181,1.1852,0.2424,0.997,0.0441,0.7043,0.5114,2.2568,0.6601,0.5495,0.8037,1.3532,0.8006,0.7702,0.0,0.0,0.8216,0.9132,2.505,0.5716,7.3002,0.5335,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,2,135,68,9.4,4.3,4210
28,MISSISSIPPI,MS,28001,Adams,28001000800,"Census Tract 8, Adams County, Mississippi",143.79304892888,3080,391,1630,135,1295,136,940,322,74,52,26301,4671,370,140,606,110,596,238,400,139,99,66,2019,421,0,52,61,62,250,94,47,43,105,57,28,14,30.9,9.0,4.8,3.3,26301.0,4671.0,16.7,5.9,19.7,3.7,19.4,7.3,13.0,4.5,7.6,5.1,65.6,10.9,0.0,1.8,3.7,3.8,15.3,5.6,3.6,3.3,8.1,4.4,0.9,0.4,0.7454,0.2378,0.2359,0.4673,1.6864,0.4009,0.8341,0.1689,0.2439,0.2785,1.5254,0.2073,0.7169,0.0,0.7169,0.344,0.6728,0.5899,0.6925,0.6372,0.6073,3.1997,0.8506,7.1284,0.5076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,431,141,14.0,4.8,3887
28,MISSISSIPPI,MS,28001,Adams,28001000900,"Census Tract 9, Adams County, Mississippi",3.363250351764,3649,322,1918,122,1633,164,602,249,46,32,27092,4112,225,134,1108,136,694,172,471,104,281,106,862,420,18,57,276,115,14,26,0,18,86,57,171,108,17.3,6.6,3.1,2.2,27092.0,4112.0,8.4,4.8,30.4,4.0,19.0,4.4,13.6,3.3,17.2,6.3,23.6,11.3,0.5,1.7,14.4,5.9,0.7,1.3,0.0,1.1,5.3,3.4,4.7,2.9,0.3841,0.1021,0.2055,0.1446,0.8363,0.1402,0.9954,0.1492,0.2973,0.8037,2.2456,0.6524,0.2451,0.618,0.8631,0.4764,0.9072,0.1555,0.0,0.4497,0.8387,2.3511,0.5168,6.2961,0.3567,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,2,353,158,10.2,4.4,4925
28,MISSISSIPPI,MS,28003,Alcorn,28003950100,"Census Tract 9501, Alcorn County, Mississippi",33.68664080957,5691,494,2639,162,2291,200,832,266,158,83,22742,2210,535,175,1029,168,1335,210,1156,231,138,93,178,690,0,72,27,28,443,140,14,24,85,69,20,9,14.7,4.6,5.9,3.0,22742.0,2210.0,13.4,4.2,18.1,2.8,23.5,3.1,20.4,3.9,6.0,4.0,3.1,12.1,0.0,1.3,1.0,1.1,16.8,5.4,0.6,1.1,3.7,2.9,0.4,0.2,0.2973,0.3201,0.4125,0.3288,1.3587,0.2973,0.7549,0.4444,0.747,0.1659,2.1122,0.5701,0.003,0.0,0.003,0.003,0.481,0.6128,0.1903,0.3155,0.5327,2.1323,0.4009,5.6062,0.2378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,652,265,11.5,4.6,3402
