ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP
30,MONTANA,MT,30067,Park,30067980600,"Census Tract 9806, Park County, Montana",145.203259070638,0,10,14,18,0,10,0,10,0,10,-999,-999,0,10,0,10,0,10,0,10,0,14,0,14,0,40,0,14,10,16,0,14,0,10,0,10,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,100.7,71.4,51.9,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,10,-999.0,-999.0,71
30,MONTANA,MT,30101,Toole,30101980000,"Census Tract 9800, Toole County, Montana",0.136601729294,577,88,0,10,0,10,0,10,0,10,7035,2706,102,49,22,18,0,10,0,10,0,14,167,114,0,40,0,14,0,10,0,14,0,10,577,88,-999.0,-999.0,-999.0,-999.0,7035.0,2706.0,19.8,8.6,3.8,3.0,0.0,1.7,-999.0,-999.0,0.0,-999.0,28.9,19.3,0.0,6.9,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,100.0,0.0,-999.0,-999.0,1.0,0.9851,-999.0,-999.0,0.0074,0.0,-999.0,0.0,-999.0,-999.0,0.9033,0.0,0.9033,0.5353,0.0,-999.0,0.0,-999.0,1.0,-999.0,-999.0,-999.0,-999.0,-999,-999,1,1,-999,0,0,-999,0,-999,1,0,1,0,-999,0,-999,1,-999,-999,0,10,-999.0,-999.0,255
30,MONTANA,MT,30031,Gallatin,30031000504,"Census Tract 5.04, Gallatin County, Montana",20.507579543718,2478,174,1123,53,993,69,103,76,22,19,52792,7961,25,22,522,62,491,91,239,75,7,14,110,245,0,40,0,14,112,49,0,14,12,9,10,5,4.2,3.0,1.6,1.3,52792.0,7961.0,1.4,1.2,21.1,2.3,19.8,3.4,9.7,3.0,0.7,1.4,4.4,9.9,0.0,1.7,0.0,1.3,10.0,4.2,0.0,1.4,1.2,0.9,0.4,0.2,0.041,0.1493,0.0074,0.0446,0.2423,0.0037,0.6654,0.3829,0.1679,0.0223,1.2385,0.0858,0.0929,0.0,0.0929,0.0669,0.0,0.4776,0.0,0.1604,0.3123,0.9503,0.0299,2.524,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,68,5.3,2.7,2480
30,MONTANA,MT,30043,Jefferson,30043962201,"Census Tract 9622.01, Jefferson County, Montana",57.859951506096,4239,254,1546,56,1480,72,72,40,122,64,39859,2677,64,33,626,82,1096,135,391,94,61,38,151,355,0,40,0,14,24,16,0,14,15,18,0,10,1.7,0.9,5.4,2.9,39859.0,2677.0,2.2,1.1,14.8,2.1,25.9,2.8,9.2,2.2,4.1,2.6,3.6,8.4,0.0,1.0,0.0,0.9,1.6,1.0,0.0,1.0,1.0,1.2,0.0,0.2,0.0,0.75,0.0632,0.0706,0.8838,0.1045,0.2751,0.829,0.1343,0.3123,1.5507,0.1828,0.0558,0.0,0.0558,0.0409,0.0,0.153,0.0,0.1007,0.0,0.2537,0.0,2.744,0.0037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,79,3.5,1.8,1935
30,MONTANA,MT,30017,Custer,30017961800,"Census Tract 9618, Custer County, Montana",0.332684402198,1562,116,699,42,653,49,100,64,20,23,33303,4424,33,28,249,44,387,73,212,60,15,12,130,168,0,40,0,14,0,10,6,13,3,6,0,10,6.7,4.2,2.2,2.5,33303.0,4424.0,3.1,2.6,15.9,2.8,24.8,4.3,13.6,4.0,2.3,2.0,8.3,10.8,0.0,2.7,0.0,2.0,0.0,3.2,0.9,2.1,0.5,0.8,0.0,0.6,0.1679,0.2612,0.2528,0.119,0.8009,0.0634,0.3532,0.7658,0.4478,0.145,1.7118,0.2612,0.487,0.0,0.487,0.2677,0.0,0.0,0.342,0.041,0.0,0.383,0.0037,3.3827,0.0075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,41,5.4,2.6,1452
30,MONTANA,MT,30031,Gallatin,30031001200,"Census Tract 12, Gallatin County, Montana",244.950580645904,5246,280,2396,97,2068,102,350,130,57,30,42015,4241,91,36,735,83,1286,121,383,65,94,55,253,393,0,56,0,19,351,88,21,21,36,34,8,4,6.7,2.4,2.0,1.1,42015.0,4241.0,2.5,1.0,14.0,1.6,24.5,1.9,7.3,1.3,4.5,2.7,4.8,7.5,0.0,1.1,0.0,0.8,14.6,3.6,1.0,1.0,1.7,1.6,0.2,0.1,0.1679,0.2201,0.0446,0.0855,0.5181,0.0261,0.2342,0.7472,0.056,0.342,1.3794,0.1119,0.1375,0.0,0.1375,0.0892,0.0,0.6754,0.3792,0.2425,0.223,1.5201,0.1231,3.5551,0.0112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,612,231,11.7,4.2,3630
30,MONTANA,MT,30031,Gallatin,30031000102,"Census Tract 1.02, Gallatin County, Montana",656.573964931022,2196,182,1128,44,958,69,153,81,25,18,45589,6691,70,58,433,52,418,87,207,79,71,48,98,263,7,39,0,14,68,27,0,14,13,14,0,10,7.0,3.7,2.2,1.5,45589.0,6691.0,4.2,3.5,19.7,2.6,19.0,3.6,9.4,3.4,7.4,5.0,4.5,12.0,0.3,1.9,0.0,1.3,6.0,2.4,0.0,1.5,1.4,1.5,0.0,0.5,0.1828,0.2612,0.026,0.2156,0.6856,0.0448,0.5799,0.3234,0.1455,0.6134,1.6622,0.2201,0.1041,0.6283,0.7324,0.4275,0.0,0.3022,0.0,0.1791,0.0,0.4813,0.0075,3.5615,0.0149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,105,10.7,4.6,1267
30,MONTANA,MT,30031,Gallatin,30031000502,"Census Tract 5.02, Gallatin County, Montana",38.484431520622,5939,370,2593,73,2355,146,277,127,75,59,51074,6156,8,9,1047,126,1385,199,321,104,46,38,641,519,1,54,103,70,88,43,6,9,3,5,17,36,4.7,2.1,2.4,1.8,51074.0,6156.0,0.2,0.2,17.6,2.2,23.3,3.0,5.4,1.8,2.0,1.6,10.8,8.7,0.0,1.0,4.0,2.7,3.4,1.7,0.3,0.4,0.1,0.2,0.3,0.6,0.0746,0.306,0.0186,0.0037,0.4029,0.0112,0.4461,0.6431,0.0224,0.1041,1.2157,0.0746,0.6357,0.0,0.6357,0.3494,0.6468,0.2276,0.1599,0.0261,0.2602,1.3206,0.0672,3.5749,0.0187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,150,3.5,2.5,4952
30,MONTANA,MT,30049,Lewis and Clark,30049000600,"Census Tract 6, Lewis and Clark County, Montana",139.744591079756,2442,193,1074,49,960,60,102,57,40,33,41898,6225,85,51,417,76,522,94,296,96,19,23,128,273,0,40,0,14,119,40,6,13,10,13,26,43,4.2,2.3,3.1,2.5,41898.0,6225.0,4.8,2.7,17.1,2.8,21.4,3.5,12.3,3.7,2.0,2.4,5.2,11.2,0.0,1.7,0.0,1.3,11.1,3.7,0.6,1.4,1.0,1.3,1.1,1.8,0.041,0.4254,0.0483,0.2974,0.8121,0.0672,0.4275,0.513,0.3358,0.1041,1.3804,0.1157,0.1784,0.0,0.1784,0.1152,0.0,0.5149,0.2454,0.1007,0.4796,1.3406,0.0709,3.7115,0.0224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,84,6.4,3.5,1689
30,MONTANA,MT,30111,Yellowstone,30111001801,"Census Tract 18.01, Yellowstone County, Montana",5.921404288046,6333,406,2238,43,2211,57,329,177,0,14,60125,11068,113,83,1216,121,1851,278,381,115,39,32,638,515,9,56,0,19,0,14,0,19,47,60,83,63,5.2,2.8,0.0,0.7,60125.0,11068.0,2.6,1.9,19.2,2.5,29.2,4.0,6.0,1.9,1.8,1.5,10.1,8.1,0.2,1.0,0.0,0.9,0.0,1.0,0.0,0.9,2.1,2.7,1.3,1.0,0.0933,0.0,0.0037,0.0929,0.1899,0.0,0.5428,0.9368,0.0299,0.0855,1.595,0.1978,0.5985,0.5651,1.1636,0.6914,0.0,0.0,0.0,0.3097,0.5242,0.8339,0.0149,3.7824,0.0261,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,92,55,1.5,0.9,2774
30,MONTANA,MT,30069,Petroleum,30069000100,"Census Tract 1, Petroleum County, Montana",1655.62385677223,432,57,296,20,187,27,35,21,7,8,32565,5855,4,6,84,28,86,33,58,24,7,9,8,79,0,40,0,14,57,18,3,10,1,2,0,10,8.4,4.8,3.0,3.3,32565.0,5855.0,1.2,1.8,19.4,5.6,19.9,7.2,13.4,5.4,3.7,4.9,1.9,18.3,0.0,9.8,0.0,4.8,19.3,5.6,1.6,5.8,0.5,1.1,0.0,2.3,0.2724,0.4142,0.2751,0.0335,0.9952,0.1231,0.5651,0.3941,0.4254,0.2862,1.6708,0.2276,0.0074,0.0,0.0074,0.0074,0.0,0.8284,0.5204,0.041,0.0,1.3898,0.0896,4.0632,0.0299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,26,11.8,5.7,293
30,MONTANA,MT,30047,Lake,30047000200,"Census Tract 2, Lake County, Montana",109.647252145992,1733,211,1691,49,802,95,140,91,9,11,38946,6033,24,15,528,84,245,78,270,83,6,15,58,291,0,40,0,14,146,61,26,19,8,9,25,19,8.1,5.2,1.2,1.4,38946.0,6033.0,1.7,1.1,30.5,5.1,14.1,4.2,15.6,4.4,0.7,1.9,3.3,16.8,0.0,2.3,0.0,0.8,8.6,3.5,3.2,2.4,1.0,1.1,1.4,1.1,0.2575,0.0933,0.0967,0.052,0.4995,0.0187,0.9628,0.0855,0.6567,0.0223,1.7273,0.2649,0.0409,0.0,0.0409,0.0297,0.0,0.3881,0.7844,0.1007,0.5576,1.8308,0.2351,4.0985,0.0336,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,120,76,6.9,4.3,773
30,MONTANA,MT,30105,Valley,30105100100,"Census Tract 1001, Valley County, Montana",3265.330874508628,1493,197,1259,125,789,133,97,44,40,40,30583,2967,36,18,360,71,260,90,255,80,10,13,123,262,0,40,0,14,80,43,0,14,12,14,0,10,6.5,3.0,4.7,4.5,30583.0,2967.0,3.3,1.7,24.1,5.0,17.4,5.6,17.1,5.0,1.3,1.7,8.2,17.5,0.0,2.8,0.0,1.1,6.4,3.1,0.0,1.8,1.5,1.8,0.0,0.7,0.1343,0.6903,0.4015,0.1338,1.3599,0.2948,0.8104,0.2156,0.7425,0.0632,1.8317,0.347,0.4758,0.0,0.4758,0.2602,0.0,0.3134,0.0,0.194,0.0,0.5074,0.0112,4.1748,0.0373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,87,11.5,5.4,501
