ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP
31,NEBRASKA,NE,31109,Lancaster,31109000600,"Census Tract 6, Lancaster County, Nebraska",0.412334542084,6130,366,9,14,0,13,0,13,634,141,4417,590,0,13,0,13,24,23,216,75,0,18,1319,529,147,89,9,19,0,13,0,18,0,13,6130,366,-999.0,-999.0,21.7,4.5,4417.0,590.0,0.0,19.8,0.0,0.3,0.4,0.4,3.5,1.2,0.0,-999.0,21.5,8.5,2.4,1.5,100.0,144.4,0.0,77.5,0.0,-999.0,-999.0,-999.0,100.0,0.0,-999.0,0.9981,0.9981,0.0,-999.0,-999.0,0.0,0.0075,0.0114,0.0,0.0189,0.0,0.6836,0.7269,1.4105,0.7382,1.0,0.0,0.0,-999.0,0.9944,-999.0,-999.0,-999.0,-999.0,-999,1,1,0,-999,0,0,0,0,0,0,0,0,1,0,0,-999,1,-999,-999,226,103,3.7,1.7,4258
31,NEBRASKA,NE,31109,Lancaster,31109003500,"Census Tract 35, Lancaster County, Nebraska",0.30243755762,15,14,0,9,0,9,0,9,0,9,13540,3101,0,9,4,8,0,9,0,9,0,12,2,17,0,36,0,12,0,9,0,12,0,9,15,14,-999.0,-999.0,-999.0,-999.0,13540.0,3101.0,0.0,60.1,26.7,73.3,0.0,60.0,-999.0,-999.0,0.0,-999.0,13.3,114.0,0.0,240.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,100.0,0.0,-999.0,-999.0,0.9774,0.0,-999.0,-999.0,0.9473,0.0,-999.0,0.0,-999.0,-999.0,0.5009,0.0,0.5009,0.2448,0.0,-999.0,0.0,-999.0,0.9944,-999.0,-999.0,-999.0,-999.0,-999,-999,1,0,-999,1,0,-999,0,-999,0,0,0,0,-999,0,-999,1,-999,-999,0,9,-999.0,-999.0,272
31,NEBRASKA,NE,31109,Lancaster,31109003601,"Census Tract 36.01, Lancaster County, Nebraska",0.075004946724,1277,155,0,9,0,9,0,9,0,9,3925,1514,249,74,49,37,0,9,0,9,0,12,679,206,9,36,0,12,0,9,0,12,0,9,1277,155,-999.0,-999.0,-999.0,-999.0,3925.0,1514.0,23.1,6.3,3.8,2.8,0.0,0.7,-999.0,-999.0,0.0,-999.0,53.2,14.8,0.7,2.8,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,100.0,0.0,-999.0,-999.0,1.0,0.9266,-999.0,-999.0,0.0169,0.0,-999.0,0.0,-999.0,-999.0,0.9171,0.4708,1.3879,0.7213,0.0,-999.0,0.0,-999.0,0.9944,-999.0,-999.0,-999.0,-999.0,-999,-999,1,1,-999,0,0,-999,0,-999,1,0,1,0,-999,0,-999,1,-999,-999,0,9,-999.0,-999.0,1795
31,NEBRASKA,NE,31109,Lancaster,31109983200,"Census Tract 9832, Lancaster County, Nebraska",5.902698032248,121,48,0,9,0,9,0,9,0,9,19189,18039,17,33,0,9,0,9,0,9,0,12,50,67,0,36,0,12,0,9,0,12,0,9,121,48,-999.0,-999.0,-999.0,-999.0,19189.0,18039.0,17.7,33.4,0.0,15.2,0.0,7.4,-999.0,-999.0,0.0,-999.0,41.3,53.1,0.0,29.8,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,100.0,0.0,-999.0,-999.0,0.8983,0.8832,-999.0,-999.0,0.0,0.0,-999.0,0.0,-999.0,-999.0,0.8701,0.0,0.8701,0.467,0.0,-999.0,0.0,-999.0,0.9944,-999.0,-999.0,-999.0,-999.0,-999,-999,0,0,-999,0,0,-999,0,-999,0,0,0,0,-999,0,-999,1,-999,-999,0,9,-999.0,-999.0,3835
31,NEBRASKA,NE,31055,Douglas,31055006804,"Census Tract 68.04, Douglas County, Nebraska",1.018203869974,1497,77,598,15,556,27,0,9,6,10,82971,15645,0,9,319,38,391,43,87,37,11,14,151,123,0,36,0,12,0,9,0,12,0,9,0,9,0.0,1.3,0.7,1.3,82971.0,15645.0,0.0,1.9,21.3,2.8,26.1,2.5,5.8,2.5,2.0,2.6,10.1,8.3,0.0,2.5,0.0,2.1,0.0,3.3,0.0,2.3,0.0,3.5,0.0,0.6,0.0,0.0777,0.0019,0.0,0.0796,0.0,0.7778,0.6704,0.0549,0.0452,1.5483,0.2045,0.3974,0.0,0.3974,0.1846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0253,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,21,1.7,1.4,1869
31,NEBRASKA,NE,31055,Douglas,31055007509,"Census Tract 75.09, Douglas County, Nebraska",11.807684104948,5239,320,1734,144,1722,145,23,26,39,35,64537,10047,38,30,665,77,1751,186,259,79,54,42,219,464,0,52,0,18,0,13,11,20,0,13,0,13,0.4,0.5,1.4,1.3,64537.0,10047.0,1.2,0.9,12.7,1.4,33.4,2.9,4.9,1.6,3.1,2.4,4.2,8.9,0.0,1.0,0.0,1.1,0.0,1.1,0.6,1.2,0.0,1.2,0.0,0.2,0.0057,0.1932,0.0132,0.0339,0.246,0.0114,0.339,0.9247,0.0265,0.1111,1.4013,0.1345,0.1092,0.0,0.1092,0.0452,0.0,0.0,0.3315,0.0,0.0,0.3315,0.019,2.088,0.0019,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,54,73,1.0,1.4,2918
31,NEBRASKA,NE,31055,Douglas,31055007514,"Census Tract 75.14, Douglas County, Nebraska",1.97995808314,4402,201,1375,42,1368,43,41,40,10,16,69249,10680,18,20,450,67,1480,116,137,48,44,29,298,317,8,36,0,12,0,9,0,12,27,34,0,9,0.9,0.9,0.5,0.8,69249.0,10680.0,0.7,0.7,10.2,1.6,33.6,2.1,3.1,1.1,3.2,2.1,6.8,7.2,0.2,0.9,0.0,0.9,0.0,1.4,0.0,0.9,2.0,2.5,0.0,0.2,0.0114,0.0455,0.0113,0.0207,0.0889,0.0019,0.226,0.9303,0.0057,0.1224,1.2844,0.0928,0.2599,0.226,0.4859,0.2335,0.0,0.0,0.0,0.277,0.0,0.277,0.0171,2.1362,0.0038,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,43,28,1.0,0.6,2197
31,NEBRASKA,NE,31153,Sarpy,31153010701,"Census Tract 107.01, Sarpy County, Nebraska",71.119833573098,2319,143,903,50,835,53,59,54,0,9,43645,4629,23,15,322,46,607,67,113,45,42,36,171,237,0,36,0,12,4,7,0,12,0,9,0,9,2.5,2.3,0.0,1.5,43645.0,4629.0,1.5,1.0,13.9,1.9,26.2,2.4,4.9,1.9,5.0,4.3,7.4,10.2,0.0,1.6,0.0,1.4,0.4,0.7,0.0,1.5,0.0,2.4,0.0,0.4,0.0588,0.0,0.0923,0.0603,0.2114,0.0095,0.3936,0.6798,0.0265,0.2618,1.3617,0.1174,0.2919,0.0,0.2919,0.113,0.0,0.392,0.0,0.0,0.0,0.392,0.0228,2.257,0.0057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,42,2.2,1.7,2616
31,NEBRASKA,NE,31055,Douglas,31055007316,"Census Tract 73.16, Douglas County, Nebraska",1.00056016688,3133,143,1130,39,1091,59,0,9,28,21,43790,2870,39,39,215,34,1042,68,235,67,72,46,241,229,0,36,0,12,0,9,0,12,0,9,0,9,0.0,0.6,1.6,1.2,43790.0,2870.0,2.0,2.0,6.9,1.1,33.3,1.5,7.5,2.2,6.6,4.3,7.7,7.3,0.0,1.3,0.0,1.1,0.0,1.8,0.0,1.2,0.0,1.8,0.0,0.3,0.0,0.2386,0.0885,0.0942,0.4213,0.0417,0.0904,0.9209,0.1269,0.435,1.5732,0.2178,0.307,0.0,0.307,0.1281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3015,0.0076,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,21,18,0.7,0.6,1344
31,NEBRASKA,NE,31055,Douglas,31055007453,"Census Tract 74.53, Douglas County, Nebraska",0.951303976434,3343,154,1185,21,1185,21,84,85,35,31,40284,3459,34,24,400,104,899,94,178,69,47,32,455,301,0,36,0,12,0,9,0,12,0,9,0,9,2.5,2.5,1.8,1.6,40284.0,3459.0,1.5,1.1,12.0,3.3,26.9,2.5,5.4,2.1,4.0,2.8,13.6,9.0,0.0,1.2,0.0,1.1,0.0,1.7,0.0,1.1,0.0,1.7,0.0,0.3,0.0588,0.2822,0.1356,0.0603,0.5369,0.0664,0.307,0.7363,0.0398,0.1827,1.2658,0.0777,0.5066,0.0,0.5066,0.2486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3093,0.0095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,23,0.7,0.7,1428
31,NEBRASKA,NE,31055,Douglas,31055007460,"Census Tract 74.60, Douglas County, Nebraska",1.00186326113,4371,139,1312,28,1312,28,18,20,28,25,48025,3288,9,13,339,65,1438,116,130,50,61,48,503,256,0,36,0,12,8,13,0,12,0,9,0,9,0.4,0.5,1.1,1.0,48025.0,3288.0,0.3,0.5,7.8,1.5,32.9,2.4,3.0,1.2,4.6,3.7,11.5,5.8,0.0,0.9,0.0,1.0,0.6,1.0,0.0,1.0,0.0,1.5,0.0,0.2,0.0057,0.1364,0.0546,0.0094,0.2061,0.0076,0.1168,0.9171,0.0038,0.2298,1.2675,0.0814,0.4539,0.0,0.4539,0.209,0.0,0.4167,0.0,0.0,0.0,0.4167,0.0304,2.3442,0.0114,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,25,26,0.6,0.6,4167
