ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP
33,NEW HAMPSHIRE,NH,33011,Hillsborough,33011980101,"Census Tract 9801.01, Hillsborough County, New Hampshire",0.900292566296,0,11,0,11,0,11,0,11,0,11,-999,-999,0,11,0,11,0,11,0,11,0,15,0,15,0,44,0,15,0,11,0,15,0,11,0,11,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,11,-999.0,-999.0,3583
33,NEW HAMPSHIRE,NH,33015,Rockingham,33015980011,"Census Tract 9800.11, Rockingham County, New Hampshire",1.49251782171,0,11,0,11,0,11,0,11,0,11,-999,-999,0,11,0,11,0,11,0,11,0,15,0,15,0,44,0,15,0,11,0,15,0,11,0,11,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,11,-999.0,-999.0,2905
33,NEW HAMPSHIRE,NH,33015,Rockingham,33015064000,"Census Tract 640, Rockingham County, New Hampshire",12.216885815404,2358,148,948,52,901,55,82,79,16,13,69656,9919,43,38,356,62,482,95,126,35,50,33,95,211,0,44,0,15,16,25,8,15,0,11,0,11,3.5,3.3,1.1,0.9,69656.0,9919.0,2.4,2.1,15.1,2.8,20.4,3.8,5.3,1.5,5.5,3.7,4.0,9.0,0.0,1.9,0.0,1.6,1.7,2.6,0.9,1.7,0.0,3.3,0.0,0.5,0.2131,0.0515,0.0137,0.0962,0.3745,0.0206,0.3677,0.5979,0.0069,0.354,1.3265,0.1203,0.2131,0.0,0.2131,0.1271,0.0,0.4089,0.4639,0.0,0.0,0.8728,0.0722,2.7869,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,21,0.7,0.9,1443
33,NEW HAMPSHIRE,NH,33015,Rockingham,33015004000,"Census Tract 40, Rockingham County, New Hampshire",25.349890904186,5385,22,2040,101,1982,89,97,69,116,69,46223,4077,103,69,747,79,1062,80,435,126,104,70,153,102,8,62,0,22,0,16,0,22,0,16,5,8,1.8,1.3,3.4,2.0,46223.0,4077.0,2.7,1.8,13.9,1.5,19.7,1.5,8.1,2.3,5.2,3.6,2.8,1.9,0.2,1.2,0.0,1.1,0.0,1.5,0.0,1.1,0.0,1.5,0.1,0.1,0.0722,0.3849,0.1753,0.11,0.7424,0.0893,0.2543,0.5086,0.1203,0.323,1.2062,0.079,0.1031,0.4055,0.5086,0.2577,0.0,0.0,0.0,0.0,0.354,0.354,0.0034,2.8112,0.0034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,107,4.8,2.0,3830
33,NEW HAMPSHIRE,NH,33013,Merrimack,33013030000,"Census Tract 300, Merrimack County, New Hampshire",30.862886921386,2811,17,1025,46,960,42,27,21,33,17,45993,4515,59,29,328,40,702,63,208,54,52,25,134,82,6,43,0,15,0,11,0,15,25,17,0,11,1.0,0.7,2.0,1.0,45993.0,4515.0,3.1,1.5,11.7,1.4,25.0,2.2,7.4,1.9,5.4,2.7,4.8,2.9,0.2,1.6,0.0,1.5,0.0,2.9,0.0,1.6,2.6,1.8,0.0,0.4,0.0172,0.134,0.1924,0.1581,0.5017,0.0412,0.1306,0.921,0.0928,0.3471,1.4915,0.1615,0.2887,0.4055,0.6942,0.3986,0.0,0.0,0.0,0.3677,0.0,0.3677,0.0069,3.0551,0.0069,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,88,42,3.1,1.5,1167
33,NEW HAMPSHIRE,NH,33015,Rockingham,33015069300,"Census Tract 693, Rockingham County, New Hampshire",0.863015576502,2183,170,1095,48,1067,66,169,79,12,23,70902,12705,74,64,258,55,289,79,134,53,21,26,170,252,0,44,38,33,0,11,7,14,32,25,0,11,7.7,3.6,0.9,1.6,70902.0,12705.0,4.3,3.6,11.8,2.4,13.2,3.5,6.2,2.5,2.0,2.5,7.8,11.6,0.0,2.1,3.5,3.0,0.0,2.7,0.7,1.4,3.0,2.3,0.0,0.5,0.6151,0.0378,0.0103,0.2749,0.9381,0.1409,0.1375,0.079,0.0378,0.055,0.3093,0.0069,0.5945,0.0,0.5945,0.3093,0.4674,0.0,0.3918,0.4158,0.0,1.275,0.1409,3.1169,0.0103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,21,0.9,1.0,2348
33,NEW HAMPSHIRE,NH,33011,Hillsborough,33011002903,"Census Tract 29.03, Hillsborough County, New Hampshire",13.677252537472,8354,318,2634,77,2577,108,85,76,118,93,71477,6844,0,16,978,113,2446,172,536,179,128,86,608,473,59,79,0,22,0,16,0,22,50,43,0,16,1.0,0.9,2.6,2.0,71477.0,6844.0,0.0,0.6,11.7,1.4,29.3,1.7,6.4,2.2,5.0,3.3,7.3,5.7,0.8,1.0,0.0,0.9,0.0,1.1,0.0,0.9,1.9,1.6,0.0,0.2,0.0172,0.2165,0.0069,0.0,0.2406,0.0069,0.1306,0.9966,0.0412,0.3093,1.4777,0.1581,0.5498,0.7079,1.2577,0.7079,0.0,0.0,0.0,0.2337,0.0,0.2337,0.0,3.2097,0.0137,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,64,51,0.8,0.6,3506
33,NEW HAMPSHIRE,NH,33011,Hillsborough,33011015100,"Census Tract 151, Hillsborough County, New Hampshire",18.496778860614,5191,211,1925,72,1885,73,75,67,69,48,63374,9636,29,23,848,75,1367,133,355,94,125,62,429,318,0,64,0,22,0,16,0,22,56,54,0,16,1.4,1.3,2.5,1.7,63374.0,9636.0,0.8,0.6,16.3,1.4,26.3,2.3,6.8,1.8,6.6,3.3,8.3,6.1,0.0,1.3,0.0,1.2,0.0,1.5,0.0,1.2,3.0,2.9,0.0,0.3,0.0447,0.1924,0.0241,0.0137,0.2749,0.0103,0.4605,0.9725,0.055,0.5189,2.0069,0.5086,0.6392,0.0,0.6392,0.3505,0.0,0.0,0.0,0.4158,0.0,0.4158,0.0137,3.3368,0.0172,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,31,31,0.6,0.6,2679
33,NEW HAMPSHIRE,NH,33011,Hillsborough,33011018000,"Census Tract 180, Hillsborough County, New Hampshire",19.835328857274,5298,42,1723,74,1715,73,56,41,84,50,50185,5659,127,65,578,93,1522,132,307,85,135,72,254,127,7,62,0,22,0,16,0,22,44,35,0,16,1.1,0.8,2.9,1.7,50185.0,5659.0,3.6,1.8,10.9,1.8,28.7,2.5,5.8,1.6,7.9,4.2,4.8,2.4,0.1,1.3,0.0,1.3,0.0,1.7,0.0,1.3,2.6,2.0,0.0,0.3,0.0241,0.2749,0.1134,0.2027,0.6151,0.0584,0.11,0.9931,0.0172,0.6323,1.7526,0.3333,0.2887,0.3368,0.6255,0.3402,0.0,0.0,0.0,0.3677,0.0,0.3677,0.0069,3.3609,0.0206,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,120,94,2.3,1.8,2126
33,NEW HAMPSHIRE,NH,33015,Rockingham,33015051000,"Census Tract 510, Rockingham County, New Hampshire",26.010064706172,5039,16,1746,114,1683,92,159,107,101,71,51699,5172,72,44,599,126,1115,113,404,128,52,36,322,186,0,64,10,23,0,16,0,22,30,25,41,67,3.2,2.1,3.3,2.4,51699.0,5172.0,2.1,1.3,11.9,2.5,22.1,2.2,8.0,2.5,3.1,2.2,6.4,3.7,0.0,1.3,0.6,1.3,0.0,1.7,0.0,1.3,1.8,1.5,0.8,1.3,0.1684,0.3574,0.0859,0.0619,0.6736,0.079,0.1443,0.7663,0.1168,0.1375,1.1649,0.0687,0.4708,0.0,0.4708,0.2405,0.2371,0.0,0.0,0.2165,0.6082,1.0618,0.1031,3.3711,0.0241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,85,2.5,1.7,2110
