ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP
35,NEW MEXICO,NM,35039,Rio Arriba,35039000100,"Census Tract 1, Rio Arriba County, New Mexico",121.091300754116,3037,592,1691,106,983,178,-999,-999,-999,-999,-999,-999,192,145,460,244,635,298,410,180,135,117,2866,606,80,104,0,17,761,181,21,36,69,55,5,4,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,10.0,7.1,15.1,7.4,20.9,8.9,13.5,5.9,13.7,11.7,94.4,7.8,2.8,3.6,0.0,1.0,45.0,10.3,2.1,3.7,7.0,5.6,0.2,0.1,-999.0,-999.0,-999.0,0.3702,-999.0,-999.0,0.4547,0.3783,0.3891,0.7545,1.9766,0.4718,0.9215,0.5614,1.4829,0.7746,0.0,0.9012,0.4286,0.6613,0.505,2.4961,0.5867,-999.0,-999.0,-999,-999,-999,0,-999,0,0,0,0,0,1,0,1,0,1,0,0,0,1,-999,181,154,6.0,5.0,1194
35,NEW MEXICO,NM,35039,Rio Arriba,35039000200,"Census Tract 2, Rio Arriba County, New Mexico",147.99818812791,3664,711,1824,103,1213,158,-999,-999,-999,-999,-999,-999,517,327,785,297,971,346,955,369,123,73,3385,723,45,70,0,17,598,147,14,24,67,59,5,9,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,20.7,11.3,21.4,8.1,26.5,7.9,26.1,9.7,10.1,5.9,92.4,8.3,1.3,2.1,0.0,0.9,32.8,8.1,1.2,2.0,5.5,4.9,0.1,0.2,-999.0,-999.0,-999.0,0.7425,-999.0,-999.0,0.7545,0.7082,0.9556,0.5272,2.9455,0.9819,0.9175,0.3119,1.2294,0.6439,0.0,0.7923,0.2938,0.5706,0.4608,2.1175,0.4052,-999.0,-999.0,-999,-999,-999,0,-999,0,0,1,0,1,1,0,1,0,0,0,0,0,0,-999,598,426,16.3,9.5,2385
35,NEW MEXICO,NM,35039,Rio Arriba,35039000300,"Census Tract 3, Rio Arriba County, New Mexico",135.190342313346,5834,928,2911,179,1923,279,-999,-999,-999,-999,-999,-999,353,179,890,289,1757,453,434,169,364,173,5258,984,88,118,22,38,1571,267,24,42,89,85,13,7,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,9.8,5.1,15.3,5.5,30.1,6.1,7.4,3.0,18.9,8.6,90.1,8.9,1.7,2.2,0.8,1.3,54.0,8.1,1.2,2.2,4.6,4.5,0.2,0.1,-999.0,-999.0,-999.0,0.3682,-999.0,-999.0,0.4688,0.8592,0.0343,0.9296,2.2919,0.7177,0.8893,0.3823,1.2716,0.66,0.4628,0.9637,0.2938,0.5,0.505,2.7253,0.6935,-999.0,-999.0,-999,-999,-999,0,-999,0,0,0,1,1,0,0,0,0,1,0,0,0,1,-999,454,350,7.8,5.7,4071
35,NEW MEXICO,NM,35039,Rio Arriba,35039000400,"Census Tract 4, Rio Arriba County, New Mexico",1570.61124659475,4159,741,2803,125,1412,217,-999,-999,-999,-999,-999,-999,291,140,930,302,910,365,463,264,150,106,3573,778,7,47,0,17,1384,230,18,34,115,93,15,24,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,9.2,4.8,22.4,6.6,21.9,7.9,11.1,6.2,10.6,7.4,85.9,10.8,0.2,1.2,0.0,0.6,49.4,8.0,1.3,2.4,8.1,6.5,0.4,0.6,-999.0,-999.0,-999.0,0.34,-999.0,-999.0,0.7827,0.4266,0.2137,0.5533,1.9763,0.4698,0.8511,0.0664,0.9175,0.4527,0.0,0.9395,0.3099,0.7238,0.5734,2.5466,0.6149,-999.0,-999.0,-999,-999,-999,0,-999,0,0,0,0,0,0,0,0,0,1,0,0,0,1,-999,283,271,6.8,6.7,2558
35,NEW MEXICO,NM,35039,Rio Arriba,35039000500,"Census Tract 5, Rio Arriba County, New Mexico",1774.599501964796,3662,618,3184,138,1417,206,-999,-999,-999,-999,-999,-999,221,83,941,212,537,232,786,275,28,25,2780,649,27,53,0,17,809,143,6,13,101,72,178,59,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,7.8,2.9,25.7,5.3,14.7,5.8,22.2,6.8,2.0,1.8,75.9,12.3,0.8,1.5,0.0,0.5,25.4,4.5,0.4,1.0,7.1,5.0,4.9,1.4,-999.0,-999.0,-999.0,0.2877,-999.0,-999.0,0.8712,0.1107,0.881,0.0402,1.9031,0.4113,0.7243,0.1911,0.9154,0.4487,0.0,0.6976,0.1449,0.6714,0.8873,2.4012,0.5302,-999.0,-999.0,-999,-999,-999,0,-999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-999,249,122,7.0,3.5,3209
35,NEW MEXICO,NM,35039,Rio Arriba,35039940700,"Census Tract 9407, Rio Arriba County, New Mexico",2.549623398694,3510,308,1587,127,1189,109,-999,-999,-999,-999,-999,-999,593,108,684,115,732,110,663,105,82,24,2948,331,138,65,41,17,458,57,35,14,71,21,68,34,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,25.3,3.8,19.5,3.1,20.9,2.5,19.3,2.5,6.9,1.9,84.0,5.9,4.3,2.0,2.6,1.1,28.9,2.8,2.9,1.2,6.0,1.7,1.9,1.0,-999.0,-999.0,-999.0,0.8249,-999.0,-999.0,0.674,0.3783,0.754,0.3179,2.1242,0.6149,0.829,0.6761,1.5051,0.7867,0.5976,0.7419,0.5352,0.6109,0.7907,3.2763,0.877,-999.0,-999.0,-999,-999,-999,0,-999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-999,410,102,11.9,2.6,7556
35,NEW MEXICO,NM,35039,Rio Arriba,35039940800,"Census Tract 9408, Rio Arriba County, New Mexico",57.621687961896,5247,462,2236,72,1690,81,-999,-999,-999,-999,-999,-999,321,96,1027,154,1033,187,928,161,152,62,4086,507,62,72,3,17,714,72,37,17,77,23,10,8,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,8.5,2.3,19.6,2.6,19.7,3.1,17.7,2.5,9.0,3.7,77.9,6.8,1.3,1.5,0.1,0.8,31.9,3.0,2.2,1.0,4.6,1.4,0.2,0.2,-999.0,-999.0,-999.0,0.3078,-999.0,-999.0,0.6801,0.3099,0.6754,0.4588,2.1242,0.6149,0.7626,0.3119,1.0745,0.5634,0.3984,0.7762,0.4487,0.5,0.505,2.6283,0.6552,-999.0,-999.0,-999,-999,-999,0,-999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-999,533,126,10.2,2.3,2335
35,NEW MEXICO,NM,35039,Rio Arriba,35039941000,"Census Tract 9410, Rio Arriba County, New Mexico",2024.798719607826,3653,338,1140,99,749,104,-999,-999,-999,-999,-999,-999,412,145,398,73,1319,172,614,123,121,41,3491,351,158,89,0,17,335,68,51,27,59,29,21,17,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,20.2,6.6,10.9,2.0,36.1,3.3,16.9,3.3,16.2,5.0,95.6,3.8,4.8,2.7,0.0,1.5,29.4,5.2,6.8,3.6,7.9,3.5,0.6,0.5,-999.0,-999.0,-999.0,0.7284,-999.0,-999.0,0.1952,0.9819,0.6452,0.8531,2.6754,0.9234,0.9336,0.7284,1.662,0.8853,0.0,0.746,0.833,0.7137,0.6338,2.9265,0.7823,-999.0,-999.0,-999,-999,-999,0,-999,0,1,0,0,1,1,0,1,0,0,0,0,0,0,-999,463,187,12.7,5.0,4191
35,NEW MEXICO,NM,35039,Rio Arriba,35039944100,"Census Tract 9441, Rio Arriba County, New Mexico",26.408583746492,6541,495,2668,59,1822,87,-999,-999,-999,-999,-999,-999,769,127,968,134,1424,196,1027,147,175,34,6010,508,150,84,1,17,1140,89,58,16,115,26,339,138,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,17.2,2.6,14.8,2.1,21.8,2.5,15.7,1.9,9.6,1.9,91.9,3.5,2.4,1.4,0.0,0.6,42.7,3.3,3.2,0.9,6.3,1.5,5.2,2.1,-999.0,-999.0,-999.0,0.6318,-999.0,-999.0,0.4406,0.4225,0.5645,0.4889,1.9165,0.4274,0.9135,0.5111,1.4246,0.7324,0.0,0.873,0.5654,0.623,0.8934,2.9548,0.7883,-999.0,-999.0,-999,-999,-999,0,-999,0,0,0,0,0,1,0,1,0,0,0,0,0,0,-999,989,178,15.1,2.3,4791
35,NEW MEXICO,NM,35043,Sandoval,35043940300,"Census Tract 9403, Sandoval County, New Mexico",0.763581184034,0,12,0,12,0,12,0,12,0,12,-999,-999,0,12,0,12,0,12,0,12,0,17,0,17,0,48,0,17,0,12,0,17,0,12,0,12,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,12,-999.0,-999.0,0
35,NEW MEXICO,NM,35049,Santa Fe,35049980000,"Census Tract 9800, Santa Fe County, New Mexico",0.68133103328,877,116,0,12,0,12,0,12,0,12,1543,1642,301,114,5,9,0,12,0,12,0,17,728,125,33,54,0,17,0,12,0,17,0,12,877,116,-999.0,-999.0,-999.0,-999.0,1543.0,1642.0,37.8,13.2,0.6,1.0,0.0,1.4,-999.0,-999.0,0.0,-999.0,83.0,9.2,3.8,6.2,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,100.0,0.0,-999.0,-999.0,1.0,0.9537,-999.0,-999.0,0.006,0.0,-999.0,0.0,-999.0,-999.0,0.8068,0.6439,1.4507,0.7485,0.0,-999.0,0.0,-999.0,1.0,-999.0,-999.0,-999.0,-999.0,-999,-999,1,1,-999,0,0,-999,0,-999,0,0,0,0,-999,0,-999,1,-999,-999,0,12,-999.0,-999.0,885
35,NEW MEXICO,NM,35001,Bernalillo,35001003731,"Census Tract 37.31, Bernalillo County, New Mexico",2.719628356416,3892,235,1392,60,1358,68,159,124,47,48,59813,6551,7,11,692,164,802,137,337,105,40,48,1193,348,22,52,0,17,26,40,9,17,0,12,0,12,4.1,3.2,2.5,2.5,59813.0,6551.0,0.3,0.4,17.8,4.3,20.6,3.3,8.7,2.8,2.9,3.6,30.7,8.8,0.6,1.4,0.0,1.2,1.9,2.9,0.7,1.3,0.0,2.4,0.0,0.3,0.0349,0.1068,0.0123,0.006,0.16,0.0103,0.5996,0.3602,0.0665,0.0845,1.1108,0.0363,0.0785,0.1509,0.2294,0.0785,0.0,0.2984,0.2173,0.0,0.0,0.5157,0.0161,2.0159,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,164,4.7,4.3,1816
35,NEW MEXICO,NM,35001,Bernalillo,35001003806,"Census Tract 38.06, Bernalillo County, New Mexico",38.02820335877,3496,250,1731,77,1583,102,237,126,80,77,45989,4663,96,70,742,164,468,76,337,90,0,17,689,368,0,48,0,17,160,71,0,17,17,18,0,12,6.8,3.6,4.2,4.0,45989.0,4663.0,3.3,2.4,21.2,4.7,13.4,2.0,9.7,2.7,0.0,1.1,19.7,10.4,0.0,1.4,0.0,1.0,9.2,4.1,0.0,1.1,1.1,1.1,0.0,0.3,0.1027,0.2669,0.0758,0.0926,0.538,0.0698,0.7485,0.0905,0.129,0.0,0.968,0.0222,0.0181,0.0,0.0181,0.006,0.0,0.4637,0.0,0.127,0.0,0.5907,0.0242,2.1148,0.0021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,97,3.7,2.8,1725
35,NEW MEXICO,NM,35049,Santa Fe,35049010602,"Census Tract 106.02, Santa Fe County, New Mexico",9.915828320576,3143,197,1637,54,1553,82,204,149,41,34,50627,6202,10,15,1195,93,328,61,456,142,14,23,541,300,10,48,0,17,0,12,16,25,0,12,0,12,6.5,4.7,2.7,2.3,50627.0,6202.0,0.4,0.6,38.0,2.5,10.4,1.8,14.5,4.6,0.9,1.5,17.2,9.5,0.3,1.6,0.0,1.0,0.0,2.0,1.0,1.7,0.0,2.1,0.0,0.4,0.0924,0.1232,0.0512,0.008,0.2748,0.0205,0.9779,0.0423,0.4577,0.0161,1.494,0.1573,0.006,0.0845,0.0905,0.0241,0.0,0.0,0.2616,0.0,0.0,0.2616,0.006,2.1209,0.0041,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,163,124,5.2,4.0,1098
