ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP
38,NORTH DAKOTA,ND,38017,Cass,38017010307,"Census Tract 103.07, Cass County, North Dakota",1.25350523963,2185,115,807,46,804,47,45,31,12,12,68545,8979,20,14,306,33,544,57,104,33,64,31,106,169,0,36,7,13,0,9,0,12,0,9,0,9,2.1,1.4,1.0,1.0,68545.0,8979.0,1.3,0.9,14.0,1.6,24.9,2.3,4.8,1.5,8.0,3.8,4.9,7.7,0.0,1.7,0.9,1.7,0.0,2.4,0.0,1.6,0.0,2.5,0.0,0.4,0.0147,0.1471,0.0,0.0196,0.1814,0.0098,0.3431,0.7255,0.0294,0.6618,1.7598,0.3431,0.2157,0.0,0.2157,0.098,0.1961,0.0,0.0,0.0,0.0,0.1961,0.0,2.353,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,1.0,1.0,1653
38,NORTH DAKOTA,ND,38097,Traill,38097970300,"Census Tract 9703, Traill County, North Dakota",514.190806451444,1534,117,693,35,603,39,9,11,0,9,41847,13626,36,21,280,55,368,73,133,45,16,15,59,166,0,36,4,12,31,32,0,12,9,9,0,9,0.6,0.7,0.0,2.4,41847.0,13626.0,3.3,1.9,18.3,3.8,24.0,4.4,8.7,3.0,2.7,2.5,3.8,10.8,0.0,2.6,0.6,1.7,4.5,4.6,0.0,2.1,1.5,1.4,0.0,0.6,0.0,0.0,0.1225,0.098,0.2205,0.0147,0.598,0.6373,0.1765,0.1176,1.5294,0.201,0.1324,0.0,0.1324,0.0539,0.1765,0.3824,0.0,0.1961,0.0,0.755,0.0147,2.6373,0.0049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,91,8.3,5.9,881
38,NORTH DAKOTA,ND,38015,Burleigh,38015011104,"Census Tract 111.04, Burleigh County, North Dakota",4.69318757111,6295,266,2229,97,2171,110,66,55,32,32,56590,5068,67,44,769,133,1912,173,213,84,65,42,284,377,33,55,53,34,0,13,0,18,0,13,0,13,1.0,0.9,0.9,0.9,56590.0,5068.0,1.6,1.1,12.2,2.1,30.4,2.4,3.4,1.3,3.0,2.0,4.5,6.0,0.6,0.9,2.4,1.5,0.0,0.9,0.0,0.8,0.0,0.9,0.0,0.2,0.0049,0.1127,0.0098,0.0294,0.1568,0.0,0.2598,0.9118,0.0196,0.1373,1.3285,0.098,0.1814,0.7598,0.9412,0.5539,0.3333,0.0,0.0,0.0,0.0,0.3333,0.0049,2.7598,0.0098,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,12,19,0.2,0.3,2629
38,NORTH DAKOTA,ND,38017,Cass,38017040600,"Census Tract 406, Cass County, North Dakota",254.172116875162,3058,216,1190,84,1152,84,94,48,38,24,43449,4815,56,29,350,66,858,93,219,49,52,27,122,303,0,36,1,9,37,22,8,11,8,9,0,9,3.1,1.6,2.2,1.4,43449.0,4815.0,2.8,1.4,11.4,2.0,28.1,2.3,7.2,1.5,4.5,2.4,4.0,9.9,0.0,1.3,0.1,0.8,3.1,1.8,0.7,1.0,0.7,0.8,0.0,0.3,0.0539,0.4461,0.0833,0.0784,0.6617,0.049,0.2206,0.8725,0.0833,0.2696,1.446,0.1422,0.1471,0.0,0.1471,0.0686,0.1225,0.2941,0.3529,0.0637,0.0,0.8332,0.0196,3.088,0.0147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,81,5.8,2.6,2129
38,NORTH DAKOTA,ND,38015,Burleigh,38015011002,"Census Tract 110.02, Burleigh County, North Dakota",51.342642796678,6849,351,2574,129,2477,116,137,106,44,38,38918,3866,196,133,681,108,2087,205,329,118,51,44,158,491,0,52,0,18,382,113,26,32,0,13,0,13,2.0,1.6,1.2,1.0,38918.0,3866.0,4.4,2.9,9.9,1.5,30.5,2.6,4.9,1.8,2.1,1.8,2.3,7.2,0.0,0.8,0.0,0.7,14.8,4.4,1.0,1.3,0.0,0.8,0.0,0.2,0.0098,0.201,0.2304,0.1471,0.5883,0.0392,0.1422,0.9167,0.0343,0.0735,1.1667,0.0539,0.049,0.0,0.049,0.0147,0.0,0.8529,0.4461,0.0,0.0,1.299,0.1225,3.103,0.0196,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,14,22,0.2,0.3,2903
38,NORTH DAKOTA,ND,38015,Burleigh,38015011105,"Census Tract 111.05, Burleigh County, North Dakota",53.331721767364,5881,293,2087,102,2047,110,126,119,41,32,49821,5667,79,50,485,67,1828,203,173,77,51,52,546,433,0,52,57,30,9,16,30,29,29,29,0,13,2.1,2.0,1.2,1.0,49821.0,5667.0,2.1,1.3,8.2,1.2,31.1,3.1,3.0,1.3,2.5,2.6,9.3,7.3,0.0,1.0,2.7,1.5,0.4,0.7,1.5,1.4,1.4,1.4,0.0,0.2,0.0147,0.201,0.0196,0.049,0.2843,0.0196,0.1029,0.9363,0.0049,0.1029,1.147,0.0392,0.4853,0.0,0.4853,0.2255,0.3529,0.1569,0.5588,0.1863,0.0,1.2549,0.0931,3.1715,0.0245,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,248,183,4.2,3.1,3703
38,NORTH DAKOTA,ND,38017,Cass,38017000100,"Census Tract 1, Cass County, North Dakota",2.090085570498,5070,234,1970,62,1934,69,120,75,17,19,49795,5830,60,37,956,89,1333,168,344,92,165,74,165,329,9,52,0,18,0,13,0,18,16,19,15,11,2.4,1.5,0.7,0.7,49795.0,5830.0,1.7,1.1,18.9,1.7,26.3,3.1,6.8,1.9,8.5,3.8,3.3,6.5,0.2,1.1,0.0,0.9,0.0,1.0,0.0,1.0,0.8,1.0,0.3,0.2,0.0245,0.0882,0.0245,0.0343,0.1715,0.0049,0.6225,0.8186,0.0735,0.6961,2.2107,0.6324,0.0784,0.4657,0.5441,0.2745,0.0,0.0,0.0,0.0882,0.2843,0.3725,0.0098,3.2988,0.0294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,42,0.7,0.8,3012
38,NORTH DAKOTA,ND,38073,Ransom,38073969000,"Census Tract 9690, Ransom County, North Dakota",556.908824394252,1586,122,745,42,628,52,82,50,1,2,41942,7995,84,36,265,45,376,44,160,45,35,21,54,161,0,36,0,12,17,12,5,7,13,12,0,9,5.2,3.2,0.1,0.2,41942.0,7995.0,7.6,3.2,16.7,2.6,23.7,2.1,10.1,2.7,5.6,3.4,3.4,10.1,0.0,2.4,0.0,1.7,2.3,1.6,0.8,1.2,2.1,1.8,0.0,0.6,0.1471,0.0196,0.1176,0.4804,0.7647,0.0784,0.5098,0.5882,0.3039,0.4216,1.8235,0.3971,0.0931,0.0,0.0931,0.0294,0.0,0.2745,0.4069,0.2843,0.0,0.9657,0.0392,3.647,0.0343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,46,2.2,2.9,596
38,NORTH DAKOTA,ND,38101,Ward,38101010302,"Census Tract 103.02, Ward County, North Dakota",1.548744697664,6268,483,2885,123,2595,168,404,223,116,86,42669,5192,54,51,694,154,1433,207,540,192,78,61,615,724,0,52,376,170,0,13,31,40,18,28,0,13,6.4,3.4,3.0,2.3,42669.0,5192.0,1.4,1.3,11.1,2.7,22.9,2.8,8.9,3.0,3.0,2.4,9.8,11.5,0.0,0.9,13.0,5.9,0.0,0.7,1.2,1.5,0.7,1.1,0.0,0.2,0.2353,0.6176,0.1029,0.0245,0.9803,0.1225,0.201,0.5294,0.201,0.1373,1.0687,0.0294,0.5049,0.0,0.5049,0.2353,0.6618,0.0,0.4951,0.0637,0.0,1.2206,0.0833,3.7745,0.0392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,526,256,8.7,4.2,2800
38,NORTH DAKOTA,ND,38035,Grand Forks,38035011100,"Census Tract 111, Grand Forks County, North Dakota",2.74766978637,4990,250,1927,107,1805,115,266,272,10,16,45436,5388,69,39,728,101,1321,136,483,122,85,51,174,371,7,36,0,12,9,14,30,35,42,34,10,5,5.3,5.3,0.4,0.6,45436.0,5388.0,2.1,1.2,14.6,1.9,26.5,2.4,9.7,2.4,4.7,2.8,3.5,7.4,0.2,0.8,0.0,0.7,0.5,0.7,1.7,1.9,2.3,1.9,0.2,0.1,0.1667,0.0441,0.0441,0.049,0.3039,0.0245,0.3775,0.8382,0.2598,0.3088,1.7843,0.3725,0.1078,0.4657,0.5735,0.2941,0.0,0.1961,0.6324,0.3088,0.2549,1.3922,0.1422,4.0539,0.0441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,36,0.9,0.7,1255
38,NORTH DAKOTA,ND,38101,Ward,38101011200,"Census Tract 112, Ward County, North Dakota",355.698404187632,3378,221,1433,93,1234,92,100,49,33,17,42208,3748,129,50,450,59,849,107,263,55,22,14,108,311,11,35,0,12,209,54,16,13,8,10,0,9,3.0,1.5,1.7,0.9,42208.0,3748.0,5.7,2.2,13.3,1.7,25.1,2.7,7.8,1.5,1.8,1.2,3.2,9.2,0.4,1.2,0.0,0.9,14.6,3.7,1.3,1.1,0.6,0.8,0.0,0.3,0.0441,0.3382,0.1078,0.25,0.7401,0.0637,0.3039,0.7402,0.1225,0.0588,1.2254,0.0784,0.0735,0.6422,0.7157,0.3922,0.0,0.848,0.5049,0.0539,0.0,1.4068,0.1471,4.088,0.049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,33,2.2,1.0,2399
38,NORTH DAKOTA,ND,38003,Barnes,38003967900,"Census Tract 9679, Barnes County, North Dakota",622.91936634033,1755,147,937,52,756,56,173,100,14,11,35184,5087,57,24,339,53,418,91,186,47,15,19,26,209,0,36,0,12,76,36,3,9,2,3,0,9,9.9,5.5,1.5,1.1,35184.0,5087.0,4.6,2.0,19.3,3.2,23.8,4.8,10.6,2.6,2.0,2.5,1.5,11.9,0.0,2.2,0.0,1.4,8.1,4.0,0.4,1.3,0.3,0.4,0.0,0.5,0.5588,0.299,0.4608,0.1814,1.5,0.2794,0.652,0.6078,0.402,0.0637,1.7255,0.3284,0.0049,0.0,0.0049,0.0049,0.0,0.6029,0.2549,0.0245,0.0,0.8823,0.0343,4.1127,0.0539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,110,8.4,6.0,749
38,NORTH DAKOTA,ND,38035,Grand Forks,38035010900,"Census Tract 109, Grand Forks County, North Dakota",0.697134960344,1589,96,700,26,672,38,80,59,26,23,39537,3473,12,12,194,31,336,40,178,54,37,24,63,141,2,35,72,28,0,9,0,12,34,25,0,9,5.0,3.7,2.7,2.4,39537.0,3473.0,1.1,1.0,12.2,1.9,21.1,2.2,11.2,3.4,5.5,3.6,4.0,8.9,0.1,2.4,10.3,4.0,0.0,2.8,0.0,1.9,5.1,3.7,0.0,0.6,0.1373,0.5441,0.1961,0.0098,0.8873,0.1029,0.2598,0.3529,0.4657,0.4069,1.4853,0.1569,0.1471,0.3824,0.5295,0.2647,0.6176,0.0,0.0,0.6569,0.0,1.2745,0.1078,4.1766,0.0588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,25,2.5,1.6,384
38,NORTH DAKOTA,ND,38077,Richland,38077970700,"Census Tract 9707, Richland County, North Dakota",343.777718065936,2049,106,911,54,798,58,70,35,20,12,37955,3568,69,25,304,46,495,62,180,43,44,20,39,147,2,35,0,12,85,27,7,12,11,9,0,9,3.5,1.7,1.7,1.0,37955.0,3568.0,4.7,1.7,14.8,2.5,24.2,2.8,8.8,2.1,5.5,2.5,1.9,7.2,0.1,1.8,0.0,1.4,9.3,2.8,0.9,1.6,1.4,1.1,0.0,0.4,0.0637,0.3382,0.2892,0.1863,0.8774,0.098,0.3922,0.6618,0.1863,0.4069,1.6472,0.2794,0.0098,0.3824,0.3922,0.1765,0.0,0.6667,0.4265,0.1863,0.0,1.2795,0.1127,4.1963,0.0637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,53,4.8,2.5,1018
