ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP
40,OKLAHOMA,OK,40109,Oklahoma,40109107101,"Census Tract 1071.01, Oklahoma County, Oklahoma",9.178317515786,4,6,4,6,4,6,0,9,4,6,-999,-999,0,9,0,9,0,9,0,9,0,12,0,8,0,36,0,12,0,9,0,12,0,9,0,9,0.0,100.0,100.0,100.0,-999.0,-999.0,0.0,100.0,0.0,100.0,0.0,225.0,0.0,100.0,0.0,317.5,0.0,212.5,0.0,900.0,0.0,317.5,0.0,100.0,0.0,317.5,0.0,100.0,0.0,225.0,0.0,1.0,-999.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.0,-999.0,0,1,-999,0,-999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-999,0,9,0.0,100.0,11210
40,OKLAHOMA,OK,40109,Oklahoma,40109106402,"Census Tract 1064.02, Oklahoma County, Oklahoma",0.943091200792,2162,142,1089,32,1031,55,83,79,8,12,93294,19737,62,65,526,75,354,67,110,45,49,42,265,200,0,36,0,12,0,9,0,12,16,19,0,9,3.9,3.6,0.6,0.9,93294.0,19737.0,3.6,3.6,24.3,3.4,16.4,2.9,5.1,2.0,4.8,4.1,12.3,9.2,0.0,1.8,0.0,1.2,0.0,1.8,0.0,1.2,1.6,1.9,0.0,0.4,0.0555,0.0134,0.0019,0.0852,0.156,0.0105,0.9464,0.0746,0.0124,0.1397,1.1731,0.0861,0.0201,0.0,0.0201,0.0086,0.0,0.0,0.0,0.1541,0.0,0.1541,0.0077,1.5033,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,83,83,3.8,3.7,1584
40,OKLAHOMA,OK,40109,Oklahoma,40109108529,"Census Tract 1085.29, Oklahoma County, Oklahoma",0.978126096272,2764,171,1098,20,1024,56,37,40,26,29,65520,8149,0,9,609,93,502,100,211,75,14,16,403,257,0,36,0,12,24,37,0,12,0,9,0,9,1.3,1.4,1.6,1.8,65520.0,8149.0,0.0,1.0,22.0,2.8,18.2,3.4,7.6,2.7,1.4,1.6,14.6,9.3,0.0,1.3,0.0,1.2,2.2,3.3,0.0,1.2,0.0,1.9,0.0,0.3,0.0057,0.0584,0.0163,0.0,0.0804,0.001,0.8967,0.1254,0.045,0.0239,1.091,0.0708,0.0574,0.0,0.0574,0.0249,0.0,0.4431,0.0,0.0,0.0,0.4431,0.0172,1.6719,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,28,0.7,1.0,3507
40,OKLAHOMA,OK,40143,Tulsa,40143004101,"Census Tract 41.01, Tulsa County, Oklahoma",0.997699923264,2273,114,1029,24,956,35,46,30,23,19,85359,10494,16,14,531,47,465,60,158,45,9,14,318,175,0,36,0,12,6,8,0,12,7,10,0,9,2.0,1.3,2.1,1.7,85359.0,10494.0,0.9,0.8,23.4,2.1,20.5,2.4,7.0,2.1,0.9,1.5,14.0,7.7,0.0,1.7,0.0,1.2,0.6,0.8,0.0,1.3,0.7,1.1,0.0,0.4,0.0124,0.088,0.0029,0.0153,0.1186,0.0057,0.9273,0.2191,0.0297,0.0172,1.1933,0.089,0.0478,0.0,0.0478,0.0211,0.0,0.2756,0.0,0.067,0.0,0.3426,0.0124,1.7023,0.0019,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,56,40,2.5,1.8,929
40,OKLAHOMA,OK,40109,Oklahoma,40109100300,"Census Tract 1003, Oklahoma County, Oklahoma",0.810443155978,2758,199,1370,36,1238,87,87,70,61,54,55738,7219,59,54,312,67,517,76,225,82,49,52,561,318,0,36,0,12,8,13,10,17,26,24,0,9,3.2,2.5,3.5,3.0,55738.0,7219.0,2.8,2.5,11.3,2.3,18.7,2.4,8.2,2.8,4.0,4.3,20.3,11.5,0.0,1.4,0.0,0.9,0.6,0.9,0.8,1.4,2.1,2.0,0.0,0.3,0.0335,0.2679,0.0268,0.0565,0.3847,0.0393,0.2239,0.1426,0.0565,0.0947,0.5177,0.0191,0.1818,0.0,0.1818,0.0584,0.0,0.2756,0.1809,0.2316,0.0,0.6881,0.0392,1.7723,0.0029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285,119,10.4,4.2,2025
40,OKLAHOMA,OK,40109,Oklahoma,40109108106,"Census Tract 1081.06, Oklahoma County, Oklahoma",7.492922053874,6014,344,2216,105,2127,98,231,135,51,39,69090,7735,61,49,1027,227,1578,251,357,120,80,72,727,489,0,52,0,18,49,51,0,18,9,14,0,13,3.8,2.3,1.7,1.4,69090.0,7735.0,1.4,1.2,17.1,3.8,26.2,3.9,5.9,2.0,3.8,3.4,12.1,8.1,0.0,0.9,0.0,0.8,2.2,2.3,0.0,0.9,0.4,0.6,0.0,0.2,0.0498,0.0612,0.0134,0.022,0.1464,0.0086,0.6383,0.6909,0.0163,0.089,1.4345,0.1789,0.0182,0.0,0.0182,0.0067,0.0,0.4431,0.0,0.0431,0.0,0.4862,0.023,2.0853,0.0038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,115,2.0,1.9,2807
40,OKLAHOMA,OK,40109,Oklahoma,40109108101,"Census Tract 1081.01, Oklahoma County, Oklahoma",18.831643966908,4253,322,1431,41,1347,80,157,104,26,25,73862,11575,71,62,482,74,1307,162,311,84,23,23,955,500,0,36,0,12,57,39,0,12,6,10,0,9,3.7,2.4,1.3,1.2,73862.0,11575.0,2.6,2.3,11.3,1.6,30.7,3.0,7.3,1.9,1.7,1.8,22.5,11.6,0.0,0.9,0.0,0.9,4.0,2.7,0.0,0.9,0.4,0.7,0.0,0.2,0.045,0.0411,0.0086,0.0517,0.1464,0.0086,0.2239,0.9062,0.0373,0.0287,1.1961,0.0919,0.2344,0.0,0.2344,0.0804,0.0,0.51,0.0,0.0431,0.0,0.5531,0.0278,2.13,0.0048,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,142,71,3.3,1.7,2445
40,OKLAHOMA,OK,40109,Oklahoma,40109100600,"Census Tract 1006, Oklahoma County, Oklahoma",0.212729460634,809,72,462,14,407,37,78,63,34,43,50085,8617,26,28,96,22,121,26,59,22,21,15,214,111,0,36,0,12,0,9,0,12,9,14,0,9,9.7,7.4,6.3,7.6,50085.0,8617.0,4.1,4.4,11.9,2.7,15.0,2.9,7.4,2.9,5.2,3.8,26.5,13.6,0.0,4.7,0.0,2.7,0.0,4.2,0.0,3.1,2.2,3.5,0.0,1.1,0.2718,0.6239,0.0402,0.1139,1.0498,0.2088,0.2593,0.0517,0.0402,0.1703,0.5215,0.0201,0.3665,0.0,0.3665,0.1397,0.0,0.0,0.0,0.2421,0.0,0.2421,0.0096,2.1799,0.0057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,68,13.0,8.0,440
40,OKLAHOMA,OK,40109,Oklahoma,40109108107,"Census Tract 1081.07, Oklahoma County, Oklahoma",2.335805516522,2785,163,1139,27,1085,57,49,40,16,26,61750,9453,14,22,622,135,565,76,218,74,30,40,464,247,0,36,9,17,23,25,0,12,9,15,0,9,1.8,1.5,1.1,1.9,61750.0,9453.0,0.7,1.1,22.3,4.6,20.3,2.5,7.9,2.7,2.8,3.7,16.7,8.8,0.0,1.4,0.8,1.5,2.0,2.2,0.0,1.2,0.8,1.4,0.0,0.3,0.0086,0.0306,0.0201,0.0124,0.0717,0.0,0.9014,0.2048,0.0488,0.0517,1.2067,0.0957,0.0947,0.0,0.0947,0.0344,0.4057,0.4268,0.0,0.0766,0.0,0.9091,0.0584,2.2822,0.0067,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,51,60,1.8,2.2,934
40,OKLAHOMA,OK,40109,Oklahoma,40109103800,"Census Tract 1038, Oklahoma County, Oklahoma",1.107038218134,1114,121,871,70,748,77,99,43,0,9,76944,10614,0,9,7,9,49,29,54,48,5,12,281,172,0,36,683,81,0,9,0,12,54,35,0,9,8.9,3.6,0.0,2.4,76944.0,10614.0,0.0,2.1,0.6,0.8,4.4,2.6,5.2,4.4,0.7,1.6,25.2,15.2,0.0,3.3,78.4,6.9,0.0,2.3,0.0,1.7,7.2,4.4,0.0,0.8,0.2354,0.0,0.0077,0.0,0.2431,0.0172,0.0077,0.0124,0.0134,0.0144,0.0479,0.0019,0.3158,0.0,0.3158,0.111,0.9952,0.0,0.0,0.6995,0.0,1.6947,0.2421,2.3015,0.0077,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,21,19,2.0,1.9,6031
