ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP
41,OREGON,OR,41041,Lincoln,41041990100,"Census Tract 9901, Lincoln County, Oregon",0.0,0,12,0,12,0,12,0,12,0,12,-999,-999,0,12,0,12,0,12,0,12,0,17,0,17,0,48,0,17,0,12,0,17,0,12,0,12,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,12,-999.0,-999.0,1
41,OREGON,OR,41045,Malheur,41045940000,"Census Tract 9400, Malheur County, Oregon",30.308011242942,0,12,0,12,0,12,0,12,0,12,-999,-999,0,12,0,12,0,12,0,12,0,17,0,17,0,48,0,17,0,12,0,17,0,12,0,12,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,12,-999.0,-999.0,0
41,OREGON,OR,41051,Multnomah,41051980000,"Census Tract 9800, Multnomah County, Oregon",1.574730134468,0,12,0,12,0,12,0,12,0,12,-999,-999,0,12,0,12,0,12,0,12,0,17,0,17,0,48,0,17,0,12,0,17,0,12,0,12,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,12,-999.0,-999.0,13459
41,OREGON,OR,41067,Washington,41067032109,"Census Tract 321.09, Washington County, Oregon",0.62105858057,3286,165,1053,39,1034,43,63,48,54,33,54937,4641,19,24,330,87,978,94,138,53,29,26,406,274,15,47,0,17,0,12,0,17,8,13,0,12,1.9,1.4,3.4,2.0,54937.0,4641.0,0.9,1.1,10.0,2.7,29.8,2.4,4.2,1.6,2.8,2.5,12.4,8.3,0.5,1.5,0.0,1.6,0.0,3.0,0.0,1.6,0.8,1.2,0.0,0.4,0.0073,0.1833,0.0595,0.0255,0.2756,0.0182,0.1468,0.966,0.0061,0.0898,1.2087,0.1092,0.2391,0.2828,0.5219,0.2561,0.0,0.0,0.0,0.0485,0.0,0.0485,0.0012,2.0547,0.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,24,17,0.7,0.5,1343
41,OREGON,OR,41051,Multnomah,41051002802,"Census Tract 28.02, Multnomah County, Oregon",0.37942050489,3324,166,1383,32,1357,50,126,69,92,48,49200,4317,23,26,416,54,593,79,142,67,39,34,436,278,0,48,120,54,0,12,0,17,40,32,0,12,3.8,2.1,4.1,2.2,49200.0,4317.0,0.9,1.0,12.5,1.7,17.8,2.2,4.3,2.0,2.9,2.5,13.1,8.3,0.0,1.6,8.7,4.0,0.0,2.3,0.0,1.3,2.9,2.4,0.0,0.4,0.0498,0.2585,0.0874,0.0255,0.4212,0.0388,0.2876,0.2816,0.0073,0.0983,0.6748,0.034,0.2803,0.0,0.2803,0.1189,0.5813,0.0,0.0,0.2779,0.0,0.8592,0.0231,2.2355,0.0012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,95,4.9,2.8,1781
41,OREGON,OR,41017,Deschutes,41017001901,"Census Tract 19.01, Deschutes County, Oregon",13.650862851874,1938,129,733,28,701,44,93,51,0,12,37746,5824,42,29,427,45,439,75,136,52,23,15,134,182,3,46,0,17,6,9,0,17,0,12,0,12,4.8,2.5,0.0,3.6,37746.0,5824.0,3.0,2.0,22.0,2.1,22.7,3.6,7.0,2.7,3.3,2.2,6.9,9.4,0.2,2.5,0.0,2.3,0.8,1.2,0.0,2.4,0.0,4.5,0.0,0.6,0.0934,0.0,0.2451,0.1371,0.4756,0.0449,0.7731,0.6323,0.0631,0.1274,1.5959,0.2488,0.0473,0.159,0.2063,0.0886,0.0,0.3252,0.0,0.0,0.0,0.3252,0.0036,2.603,0.0024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,56,3.0,2.9,925
41,OREGON,OR,41051,Multnomah,41051006200,"Census Tract 62, Multnomah County, Oregon",0.684507880536,3153,186,1309,54,1269,64,217,90,84,51,57151,8020,16,39,469,70,592,79,228,100,72,38,450,263,0,48,0,17,0,12,0,17,0,12,22,41,6.9,2.9,4.7,2.7,57151.0,8020.0,0.7,1.6,14.9,2.1,18.8,2.2,7.3,3.2,5.7,3.1,14.3,8.3,0.0,1.6,0.0,1.3,0.0,2.4,0.0,1.3,0.0,2.5,0.7,1.3,0.176,0.3422,0.0449,0.017,0.5801,0.0765,0.4078,0.3471,0.0716,0.3762,1.2027,0.1056,0.3362,0.0,0.3362,0.1541,0.0,0.0,0.0,0.0,0.4976,0.4976,0.0061,2.6166,0.0036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,40,1.5,1.3,1919
41,OREGON,OR,41051,Multnomah,41051002501,"Census Tract 25.01, Multnomah County, Oregon",0.516771658166,4710,199,1748,44,1722,50,131,67,63,39,65676,5657,45,38,783,77,1202,101,235,78,70,43,661,301,36,59,0,17,0,12,0,17,25,23,5,12,2.8,1.4,2.5,1.5,65676.0,5657.0,1.3,1.1,16.6,1.7,25.5,1.9,5.0,1.6,4.1,2.5,14.0,6.4,0.8,1.4,0.0,1.0,0.0,1.8,0.0,1.0,1.5,1.3,0.1,0.3,0.0194,0.0837,0.017,0.04,0.1601,0.0012,0.5073,0.8167,0.017,0.2027,1.5437,0.216,0.3192,0.3762,0.6954,0.3483,0.0,0.0,0.0,0.1189,0.1614,0.2803,0.0024,2.6795,0.0049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,53,1.3,1.1,2141
41,OREGON,OR,41051,Multnomah,41051002701,"Census Tract 27.01, Multnomah County, Oregon",0.35243776662,3270,185,1264,21,1217,51,104,91,109,47,63405,8612,13,14,418,52,875,63,260,94,69,39,417,261,7,48,0,17,0,12,0,17,5,8,0,12,3.2,2.8,5.9,2.5,63405.0,8612.0,0.6,0.6,12.8,1.6,26.8,1.2,8.0,2.7,5.7,3.2,12.8,8.0,0.2,1.5,0.0,1.3,0.0,2.5,0.0,1.4,0.4,0.6,0.0,0.4,0.0279,0.5267,0.0243,0.0133,0.5922,0.0789,0.3058,0.8726,0.108,0.3762,1.6626,0.2767,0.2609,0.159,0.4199,0.2087,0.0,0.0,0.0,0.0182,0.0,0.0182,0.0,2.6929,0.0061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,61,2.1,1.8,1345
41,OREGON,OR,41017,Deschutes,41017000100,"Census Tract 1, Deschutes County, Oregon",1334.624206891194,1811,177,807,47,741,54,26,20,41,23,59016,7871,29,27,586,88,235,80,194,58,10,16,90,240,0,48,0,17,40,27,0,17,0,12,7,4,1.4,1.1,4.9,2.6,59016.0,7871.0,2.0,1.8,32.4,5.7,13.0,4.2,10.7,3.0,1.3,2.2,5.0,13.3,0.0,2.7,0.0,2.1,5.0,3.3,0.0,2.3,0.0,4.3,0.4,0.2,0.0036,0.3689,0.0388,0.0813,0.4926,0.0522,0.9563,0.0728,0.2573,0.0303,1.3167,0.1383,0.0158,0.0,0.0158,0.0109,0.0,0.5291,0.0,0.0,0.3398,0.8689,0.0243,2.694,0.0073,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,87,54,4.8,2.7,916
