ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP
46,SOUTH DAKOTA,SD,46103,Pennington,46103011004,"Census Tract 110.04, Pennington County, South Dakota",24.098746292184,7291,506,2849,85,2722,136,181,207,41,42,42715,3837,109,78,1277,164,1843,338,362,136,47,52,264,701,0,52,0,18,0,13,23,26,37,40,0,13,2.5,2.8,1.1,1.1,42715.0,3837.0,2.1,1.5,17.5,2.5,25.3,4.3,5.0,1.9,1.7,1.9,3.6,9.6,0.0,0.7,0.0,0.6,0.0,0.7,0.8,1.0,1.4,1.5,0.0,0.2,0.0226,0.1855,0.0633,0.0317,0.3031,0.0136,0.552,0.5656,0.0317,0.0181,1.1674,0.0452,0.1176,0.0,0.1176,0.0633,0.0,0.0,0.362,0.1403,0.0,0.5023,0.009,2.0904,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,100,1.8,1.4,2408
46,SOUTH DAKOTA,SD,46099,Minnehaha,46099001902,"Census Tract 19.02, Minnehaha County, South Dakota",2.794471526402,5168,210,2291,75,2217,102,147,114,83,71,50041,5165,12,19,1079,109,1106,111,317,110,60,60,29,299,0,52,104,56,15,24,0,18,14,23,0,13,2.8,2.2,2.8,2.4,50041.0,5165.0,0.3,0.5,20.9,2.0,21.4,2.0,6.1,2.2,2.7,2.7,0.6,5.8,0.0,1.1,4.5,2.5,0.7,1.1,0.0,0.8,0.6,1.0,0.0,0.3,0.0362,0.5566,0.0181,0.0,0.6109,0.0498,0.724,0.2579,0.0588,0.0498,1.0905,0.0362,0.0181,0.0,0.0181,0.0045,0.4932,0.1855,0.0,0.0181,0.0,0.6968,0.0181,2.4163,0.0045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,125,3.0,2.4,1792
46,SOUTH DAKOTA,SD,46099,Minnehaha,46099010403,"Census Tract 104.03, Minnehaha County, South Dakota",12.597921771062,2254,157,786,68,770,67,0,9,0,9,43779,4476,42,30,210,47,710,85,158,75,33,26,46,227,0,36,70,42,0,9,11,15,6,8,0,9,0.0,0.9,0.0,1.5,43779.0,4476.0,2.9,2.0,9.3,1.9,31.5,3.1,7.0,3.1,4.3,3.4,2.0,10.1,0.0,1.8,8.9,5.3,0.0,2.5,1.4,2.0,0.8,1.1,0.0,0.4,0.0,0.0,0.0588,0.0724,0.1312,0.0,0.1493,0.8824,0.0814,0.1538,1.2669,0.0679,0.0498,0.0,0.0498,0.0362,0.6652,0.0,0.5339,0.0543,0.0,1.2534,0.0814,2.7013,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,61,3.1,2.7,1000
46,SOUTH DAKOTA,SD,46083,Lincoln,46083010105,"Census Tract 101.05, Lincoln County, South Dakota",18.790237616224,860,178,290,47,265,45,34,33,22,20,44466,8643,27,18,78,34,247,103,32,24,15,25,14,253,0,36,0,12,0,9,0,12,6,9,0,9,4.0,3.8,4.6,4.3,44466.0,8643.0,5.1,3.5,9.1,4.5,28.7,10.4,3.7,2.6,5.7,9.6,1.6,29.5,0.0,4.5,0.0,4.4,0.0,6.7,0.0,4.8,2.3,3.3,0.0,1.0,0.0814,0.7511,0.0543,0.2398,1.1266,0.2081,0.1267,0.8054,0.009,0.3032,1.2443,0.0633,0.0407,0.0,0.0407,0.0271,0.0,0.0,0.0,0.3167,0.0,0.3167,0.0,2.7283,0.0136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,26,3.3,3.0,271
46,SOUTH DAKOTA,SD,46099,Minnehaha,46099001600,"Census Tract 16, Minnehaha County, South Dakota",0.724320788266,3215,224,1445,37,1401,52,75,42,41,34,52806,8237,26,23,483,106,796,127,160,59,61,53,181,281,18,39,6,14,7,10,0,12,10,16,0,9,2.3,1.3,2.2,1.8,52806.0,8237.0,1.2,1.0,15.0,3.3,24.8,3.6,5.0,1.9,4.4,3.8,5.6,8.8,0.6,1.3,0.4,1.0,0.5,0.7,0.0,0.9,0.7,1.2,0.0,0.3,0.0136,0.4299,0.0045,0.0226,0.4706,0.0271,0.4299,0.5249,0.0317,0.181,1.1675,0.0543,0.2489,0.6516,0.9005,0.4977,0.1538,0.1493,0.0,0.0407,0.0,0.3438,0.0045,2.8824,0.0181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,48,2.1,1.5,2517
46,SOUTH DAKOTA,SD,46099,Minnehaha,46099010402,"Census Tract 104.02, Minnehaha County, South Dakota",74.437420413526,2404,155,1017,44,932,56,94,39,19,16,41405,4806,91,30,298,50,652,69,177,44,55,22,98,210,0,36,0,12,33,17,3,9,18,12,0,9,4.0,1.6,1.3,1.1,41405.0,4806.0,5.5,1.8,12.4,1.8,27.1,2.3,7.4,1.8,5.9,2.3,4.1,8.7,0.0,1.6,0.0,1.2,3.2,1.7,0.3,1.1,1.9,1.3,0.0,0.4,0.0814,0.2579,0.0769,0.267,0.6832,0.0588,0.2715,0.6923,0.095,0.3122,1.371,0.1267,0.1448,0.0,0.1448,0.0724,0.0,0.2941,0.2217,0.2489,0.0,0.7647,0.0362,2.9637,0.0226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,55,6.3,2.3,1041
46,SOUTH DAKOTA,SD,46083,Lincoln,46083010106,"Census Tract 101.06, Lincoln County, South Dakota",11.120681233288,1397,169,442,62,442,62,41,38,5,8,54623,16184,42,34,234,53,314,51,118,33,4,11,77,243,8,34,0,12,21,16,4,12,9,10,0,9,2.9,2.7,0.6,1.0,54623.0,16184.0,4.5,3.6,16.8,3.5,22.5,2.4,8.5,2.4,0.9,2.6,5.5,17.4,0.6,2.6,0.0,2.9,4.8,3.4,0.9,2.7,2.0,2.2,0.0,0.6,0.0452,0.0724,0.0,0.1719,0.2895,0.009,0.5113,0.371,0.1674,0.0045,1.0542,0.0226,0.2398,0.6516,0.8914,0.4842,0.0,0.4027,0.4072,0.2534,0.0,1.0633,0.0588,3.2984,0.0271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,59,6.0,4.1,427
46,SOUTH DAKOTA,SD,46099,Minnehaha,46099010502,"Census Tract 105.02, Minnehaha County, South Dakota",7.300021247552,3826,157,1403,48,1403,48,112,94,8,14,35620,3587,19,21,349,50,1197,112,192,59,143,53,130,235,10,38,67,36,0,9,14,16,24,27,0,9,2.9,2.4,0.4,0.6,35620.0,3587.0,0.8,0.8,9.1,1.3,31.3,2.6,5.0,1.6,10.2,3.8,3.4,6.2,0.3,1.1,4.8,2.6,0.0,1.4,1.0,1.2,1.7,1.9,0.0,0.2,0.0452,0.0407,0.1765,0.0045,0.2669,0.0045,0.1267,0.8778,0.0317,0.7059,1.7421,0.2805,0.0995,0.4751,0.5746,0.267,0.5113,0.0,0.4208,0.2127,0.0,1.1448,0.0679,3.7284,0.0317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,53,2.0,1.4,3045
46,SOUTH DAKOTA,SD,46079,Lake,46079960100,"Census Tract 9601, Lake County, South Dakota",410.332144910926,2524,180,1126,84,1003,91,64,53,31,29,34327,4146,98,60,562,80,544,116,226,75,13,12,12,256,13,38,13,15,23,15,3,9,11,11,0,9,2.5,2.1,2.3,2.1,34327.0,4146.0,5.2,3.2,22.3,2.8,21.6,4.3,9.0,2.8,1.3,1.3,0.5,10.1,0.6,1.6,1.2,1.4,2.0,1.3,0.3,1.0,1.1,1.1,0.0,0.4,0.0226,0.457,0.2262,0.2534,0.9592,0.1448,0.7873,0.2941,0.2217,0.009,1.3121,0.1086,0.0136,0.6516,0.6652,0.3439,0.2896,0.2398,0.2217,0.1086,0.0,0.8597,0.0452,3.7962,0.0362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,49,3.6,2.0,1198
46,SOUTH DAKOTA,SD,46059,Hand,46059975600,"Census Tract 9756, Hand County, South Dakota",1399.03911436832,1468,117,760,43,622,58,171,78,6,9,37212,6789,49,31,296,35,368,65,190,45,30,20,41,161,0,36,0,12,94,39,0,12,0,9,0,9,11.6,5.4,0.8,1.2,37212.0,6789.0,4.8,3.0,20.2,2.6,25.1,4.0,12.9,2.9,4.8,3.3,2.8,11.0,0.0,2.6,0.0,1.7,12.4,5.1,0.0,2.0,0.0,3.2,0.0,0.6,0.5249,0.1131,0.1493,0.2127,1.0,0.1719,0.7014,0.552,0.629,0.2172,2.0996,0.5656,0.0679,0.0,0.0679,0.0452,0.0,0.7376,0.0,0.0,0.0,0.7376,0.0271,3.9051,0.0407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,42,4.6,2.9,506
