ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP
50,VERMONT,VT,50007,Chittenden,50007980000,"Census Tract 9800, Chittenden County, Vermont",1.141485080268,0,9,0,9,0,9,0,9,0,9,-999,-999,0,9,0,9,0,9,0,9,0,12,0,12,0,36,0,12,0,9,0,12,0,9,0,9,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,9,-999.0,-999.0,794
50,VERMONT,VT,50007,Chittenden,50007002800,"Census Tract 28, Chittenden County, Vermont",35.396354133748,5055,19,2084,89,2011,83,254,95,46,32,46648,4586,45,36,697,84,1174,88,384,91,169,104,158,101,0,52,0,18,66,91,3,14,35,30,0,13,5.0,1.9,1.5,1.0,46648.0,4586.0,1.3,1.0,13.8,1.7,23.2,1.7,7.6,1.8,8.4,5.2,3.1,2.0,0.0,1.1,0.0,0.9,3.2,4.3,0.1,0.7,1.7,1.5,0.0,0.3,0.1484,0.0549,0.0659,0.011,0.2802,0.0,0.1374,0.8846,0.044,0.6374,1.7034,0.3077,0.1648,0.0,0.1648,0.1044,0.0,0.3242,0.1593,0.1044,0.0,0.5879,0.0,2.7363,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,62,1.7,1.2,3592
50,VERMONT,VT,50007,Chittenden,50007003501,"Census Tract 35.01, Chittenden County, Vermont",41.25895045397,3839,33,1793,118,1451,97,60,59,61,36,63635,11570,26,23,643,92,872,76,263,89,30,25,100,88,0,36,0,12,41,33,47,36,23,25,0,9,1.6,1.6,2.9,1.7,63635.0,11570.0,0.9,0.9,16.7,2.4,22.7,2.0,6.9,2.3,2.1,1.8,2.6,2.3,0.0,1.0,0.0,0.7,2.3,1.8,3.2,2.5,1.6,1.8,0.0,0.2,0.0,0.3022,0.0,0.0055,0.3077,0.0055,0.2857,0.8407,0.0275,0.0275,1.1814,0.0934,0.0824,0.0,0.0824,0.044,0.0,0.2747,0.8132,0.0824,0.0,1.1703,0.1099,2.7418,0.0055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,107,4.7,2.8,1723
50,VERMONT,VT,50007,Chittenden,50007002101,"Census Tract 21.01, Chittenden County, Vermont",24.865643706296,2770,192,1253,74,1166,92,45,51,126,44,45080,9283,41,36,354,58,516,64,253,101,74,46,77,274,0,36,0,12,57,72,9,17,0,9,0,9,1.6,1.9,7.3,2.5,45080.0,9283.0,2.0,1.8,12.8,2.1,18.6,1.9,9.2,3.6,6.3,4.0,2.8,9.9,0.0,1.4,0.0,1.0,4.5,5.6,0.8,1.5,0.0,1.7,0.0,0.3,0.0,0.9176,0.0769,0.0385,1.033,0.2033,0.1154,0.3846,0.0934,0.4121,1.0055,0.0549,0.1099,0.0,0.1099,0.0659,0.0,0.3956,0.3681,0.0,0.0,0.7637,0.0165,2.9121,0.011,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,85,66,3.1,2.4,779
50,VERMONT,VT,50017,Orange,50017959600,"Census Tract 9596, Orange County, Vermont",43.320587643006,2571,39,1394,82,1200,70,170,74,46,32,42165,4473,61,48,475,81,507,68,301,79,40,25,94,79,0,36,0,12,79,33,16,18,13,15,0,9,6.7,2.9,2.9,2.0,42165.0,4473.0,3.2,2.5,18.5,3.1,19.7,2.6,11.7,3.1,3.3,2.1,3.7,3.1,0.0,1.5,0.0,0.9,5.7,2.4,1.3,1.6,1.1,1.2,0.0,0.4,0.2308,0.3022,0.1319,0.1099,0.7748,0.1044,0.4341,0.5549,0.2363,0.1044,1.3297,0.1648,0.2473,0.0,0.2473,0.1538,0.0,0.4725,0.511,0.0495,0.0,1.033,0.0495,3.3848,0.0165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,35,2.1,1.4,1876
50,VERMONT,VT,50027,Windsor,50027965400,"Census Tract 9654, Windsor County, Vermont",173.598742628128,3924,225,2590,82,1739,109,306,120,39,17,42718,3575,117,49,863,115,657,99,391,82,96,34,141,317,0,36,2,9,133,43,14,10,22,11,0,9,7.9,3.0,1.8,0.8,42718.0,3575.0,3.8,1.6,22.0,2.7,16.7,2.3,10.0,2.0,5.5,2.0,3.6,8.1,0.0,1.0,0.1,0.4,5.1,1.6,0.8,0.6,1.3,0.6,0.0,0.2,0.3242,0.0934,0.1099,0.1484,0.6759,0.0714,0.7143,0.2198,0.1484,0.2857,1.3682,0.1758,0.2198,0.0,0.2198,0.1374,0.2582,0.4341,0.3681,0.0659,0.0,1.1263,0.1044,3.3902,0.022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,48,1.8,1.2,2409
50,VERMONT,VT,50001,Addison,50001960200,"Census Tract 9602, Addison County, Vermont",47.443526112338,2736,23,1604,86,1175,84,81,39,75,45,42570,4902,101,52,496,65,406,56,378,111,22,19,66,47,0,36,0,12,135,62,14,17,15,13,5,3,3.0,1.4,4.4,2.6,42570.0,4902.0,4.9,2.5,18.1,2.4,14.8,2.0,13.8,4.1,1.9,1.6,2.4,1.8,0.0,1.4,0.0,0.8,8.4,3.8,1.2,1.5,1.3,1.1,0.2,0.1,0.033,0.6264,0.1154,0.2473,1.0221,0.1978,0.4066,0.1044,0.4176,0.0165,0.9451,0.0495,0.0769,0.0,0.0769,0.0385,0.0,0.6209,0.4725,0.0659,0.4011,1.5604,0.1923,3.6045,0.0275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,75,5.5,2.7,1993
50,VERMONT,VT,50007,Chittenden,50007002302,"Census Tract 23.02, Chittenden County, Vermont",10.360468403102,6606,365,3179,134,2726,158,555,250,50,59,41837,4858,159,95,1142,215,1296,240,550,151,137,70,305,521,35,73,34,32,126,78,16,27,0,13,0,13,8.5,3.8,1.2,1.5,41837.0,4858.0,3.4,2.0,17.3,3.1,19.6,3.5,8.3,2.3,5.0,2.6,4.6,7.9,0.6,1.2,1.1,1.0,4.0,2.5,0.6,1.0,0.0,0.7,0.0,0.2,0.3626,0.033,0.1429,0.1209,0.6594,0.0604,0.3187,0.5385,0.0549,0.2253,1.1374,0.0769,0.3736,0.7527,1.1263,0.6648,0.3956,0.3626,0.2692,0.0,0.0,1.0274,0.044,3.9505,0.033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269,152,4.1,2.2,5188
50,VERMONT,VT,50003,Bennington,50003970200,"Census Tract 9702, Bennington County, Vermont",47.747823909394,1918,252,1444,73,855,100,141,81,5,8,36806,5347,43,30,475,91,433,154,192,66,78,52,55,349,0,36,0,12,62,44,5,13,0,9,0,9,7.4,4.3,0.5,0.7,36806.0,5347.0,3.0,2.2,24.8,5.1,22.6,7.5,10.0,3.9,9.1,6.1,2.9,18.2,0.0,1.9,0.0,0.9,4.3,3.0,0.6,1.6,0.0,2.3,0.0,0.5,0.2912,0.011,0.2637,0.0934,0.6593,0.0549,0.8901,0.8242,0.1484,0.6978,2.5605,0.8022,0.1319,0.0,0.1319,0.0824,0.0,0.3846,0.2692,0.0,0.0,0.6538,0.011,4.0055,0.0385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,65,5.7,3.2,1770
50,VERMONT,VT,50007,Chittenden,50007002301,"Census Tract 23.01, Chittenden County, Vermont",6.42677203754,2442,159,1170,59,1009,71,173,92,48,30,50045,10197,56,35,274,37,472,65,158,79,31,19,206,243,11,35,72,43,4,6,5,12,7,11,0,9,7.1,3.7,3.1,1.9,50045.0,10197.0,3.3,2.0,11.2,1.7,19.3,2.3,6.5,3.2,3.1,1.9,8.4,10.0,0.5,1.5,6.2,3.7,0.3,0.5,0.5,1.3,0.7,1.1,0.0,0.4,0.2802,0.3571,0.044,0.1154,0.7967,0.1154,0.0714,0.511,0.0165,0.0879,0.6868,0.022,0.8022,0.6868,1.489,0.7912,0.7088,0.0769,0.2253,0.0385,0.0,1.0495,0.0659,4.022,0.044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,41,2.5,1.7,2130
