ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP
54,WEST VIRGINIA,WV,54039,Kanawha,54039013300,"Census Tract 133, Kanawha County, West Virginia",1.812568966468,2631,232,1108,58,1025,81,94,62,56,50,32211,3211,108,58,558,107,476,93,401,99,11,22,82,333,0,44,20,33,32,29,0,15,15,16,0,11,3.6,2.3,4.1,3.6,32211.0,3211.0,5.5,2.9,21.2,4.0,18.1,3.2,15.2,3.4,1.1,2.1,3.1,12.7,0.0,1.7,1.8,3.0,2.9,2.6,0.0,1.5,1.5,1.6,0.0,0.4,0.0104,0.2277,0.1325,0.089,0.4596,0.0476,0.6708,0.2692,0.2277,0.0186,1.1863,0.0828,0.3147,0.0,0.3147,0.2319,0.5714,0.2112,0.0,0.0311,0.0,0.8137,0.0331,2.7743,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353,266,13.4,9.7,977
54,WEST VIRGINIA,WV,54033,Harrison,54033031200,"Census Tract 312, Harrison County, West Virginia",44.819242942108,2309,190,1005,37,906,57,56,34,75,38,33557,2681,116,48,446,90,431,94,392,90,31,25,69,263,0,44,0,15,103,47,0,15,28,20,0,11,2.4,1.4,6.0,2.9,33557.0,2681.0,6.7,2.6,19.3,3.9,18.7,3.8,17.0,3.6,3.4,2.9,3.0,11.4,0.0,2.0,0.0,1.6,10.2,4.6,0.0,1.7,3.1,2.1,0.0,0.5,0.0062,0.4327,0.0994,0.1615,0.6998,0.0828,0.499,0.3292,0.3602,0.1077,1.2961,0.118,0.3043,0.0,0.3043,0.2236,0.0,0.4203,0.0,0.1325,0.0,0.5528,0.0124,2.853,0.0021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,55,4.7,2.3,1060
54,WEST VIRGINIA,WV,54107,Wood,54107010901,"Census Tract 109.01, Wood County, West Virginia",20.991341411394,4708,352,2080,91,1840,111,359,249,109,84,27770,2642,189,106,916,125,887,173,767,228,107,70,18,497,0,44,0,15,203,105,0,15,81,68,0,11,7.6,5.4,5.0,4.0,27770.0,2642.0,5.5,3.0,19.5,3.0,18.8,3.4,16.3,4.7,5.8,3.8,0.4,10.6,0.0,1.0,0.0,0.8,9.8,5.0,0.0,0.8,4.4,3.6,0.0,0.2,0.0766,0.3188,0.2754,0.089,0.7598,0.1097,0.5197,0.354,0.3043,0.3188,1.4968,0.1884,0.0435,0.0,0.0435,0.0373,0.0,0.4037,0.0,0.2091,0.0,0.6128,0.0166,2.9129,0.0041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294,147,6.2,3.1,5159
54,WEST VIRGINIA,WV,54039,Kanawha,54039001901,"Census Tract 19.01, Kanawha County, West Virginia",2.089392131306,3491,254,1583,64,1445,93,72,65,39,35,51293,6543,42,44,839,114,737,98,401,139,85,46,391,387,0,44,0,15,43,47,0,15,80,54,0,11,2.1,1.9,2.3,2.0,51293.0,6543.0,1.6,1.7,24.0,2.4,21.1,2.4,11.5,3.6,5.9,3.2,11.2,11.1,0.0,1.3,0.0,1.0,2.7,3.0,0.0,1.1,5.5,3.8,0.0,0.3,0.0041,0.0745,0.0021,0.0041,0.0848,0.0021,0.8737,0.5694,0.058,0.3292,1.8303,0.3872,0.7619,0.0,0.7619,0.5093,0.0,0.1988,0.0,0.3292,0.0,0.528,0.0104,3.205,0.0062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,43,1.9,1.2,2151
54,WEST VIRGINIA,WV,54011,Cabell,54011002000,"Census Tract 20, Cabell County, West Virginia",1.05856233983,2965,235,1488,56,1362,86,178,83,19,21,40975,4255,90,75,693,90,509,137,216,73,107,66,209,333,11,45,0,15,23,35,0,15,18,20,0,11,6.0,3.0,1.3,1.4,40975.0,4255.0,3.9,3.3,23.4,3.1,17.2,4.4,7.3,2.4,7.9,4.9,7.0,11.2,0.4,1.7,0.0,1.0,1.5,2.4,0.0,1.1,1.3,1.5,0.0,0.4,0.0476,0.029,0.0311,0.0435,0.1512,0.0041,0.8302,0.2112,0.0104,0.5611,1.6129,0.2381,0.6232,0.764,1.3872,0.7909,0.0,0.1449,0.0,0.0186,0.0,0.1635,0.0021,3.3148,0.0083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,94,5.3,3.1,1975
54,WEST VIRGINIA,WV,54037,Jefferson,54037972602,"Census Tract 9726.02, Jefferson County, West Virginia",12.645422355714,4612,473,1484,69,1451,84,31,24,179,85,39517,3673,138,74,573,138,1327,286,459,141,19,18,344,684,0,44,0,15,25,41,30,38,33,44,0,11,0.7,0.5,7.2,3.3,39517.0,3673.0,4.7,2.4,12.4,3.3,28.8,5.5,10.0,2.7,1.3,1.3,7.5,14.8,0.0,1.0,0.0,1.1,1.7,2.7,2.1,2.7,2.3,3.0,0.0,0.2,0.0,0.559,0.0414,0.0704,0.6708,0.0787,0.0766,0.9855,0.029,0.0248,1.1159,0.0745,0.6563,0.0,0.6563,0.4555,0.0,0.1594,0.7329,0.0683,0.0,0.9606,0.0455,3.4036,0.0104,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,72,44,1.6,1.0,1849
54,WEST VIRGINIA,WV,54033,Harrison,54033031300,"Census Tract 313, Harrison County, West Virginia",30.411796618848,3370,450,1319,58,1173,87,366,185,14,11,26783,3163,234,98,427,127,889,246,587,177,76,53,61,628,0,44,0,15,199,86,0,15,22,13,0,11,11.0,5.6,0.9,0.7,26783.0,3163.0,10.0,4.2,12.7,3.9,26.4,6.4,17.4,4.6,6.5,4.5,1.8,18.6,0.0,1.4,0.0,1.2,15.1,6.4,0.0,1.3,1.9,1.1,0.0,0.3,0.1905,0.0104,0.3188,0.3002,0.8199,0.1346,0.0828,0.9462,0.3789,0.4244,1.8323,0.3892,0.1677,0.0,0.1677,0.1304,0.0,0.5404,0.0,0.0559,0.0,0.5963,0.0145,3.4162,0.0124,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,236,126,7.0,3.7,2167
54,WEST VIRGINIA,WV,54107,Wood,54107000400,"Census Tract 4, Wood County, West Virginia",0.842771090336,2464,255,1143,43,1038,80,239,153,23,22,27915,3245,123,68,562,95,453,115,408,120,50,48,92,350,0,44,16,18,0,11,0,15,57,53,0,11,9.7,5.8,2.1,2.0,27915.0,3245.0,6.9,3.8,22.8,4.4,18.4,4.3,16.6,4.8,4.8,4.6,3.7,14.2,0.0,1.9,1.4,1.6,0.0,2.6,0.0,1.5,5.5,4.9,0.0,0.4,0.1449,0.0559,0.2712,0.1656,0.6376,0.0745,0.7847,0.3023,0.3333,0.2298,1.6501,0.2505,0.3872,0.0,0.3872,0.2857,0.5362,0.0,0.0,0.3292,0.0,0.8654,0.0352,3.5403,0.0145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,57,3.9,2.3,1512
54,WEST VIRGINIA,WV,54039,Kanawha,54039013701,"Census Tract 137.01, Kanawha County, West Virginia",11.527677915222,1982,223,970,41,785,72,98,91,33,33,31058,4943,142,48,293,43,419,116,242,77,74,43,105,304,0,44,0,15,106,51,6,14,5,7,0,11,5.0,4.5,3.2,3.2,31058.0,4943.0,9.8,3.2,14.8,2.4,21.1,5.3,12.2,3.4,9.4,5.5,5.3,15.4,0.0,2.4,0.0,1.6,10.9,5.1,0.8,1.8,0.6,0.9,0.0,0.6,0.0331,0.1449,0.1636,0.2836,0.6252,0.0725,0.1739,0.5694,0.087,0.6936,1.5239,0.1988,0.53,0.0,0.53,0.3706,0.0,0.4348,0.441,0.0021,0.0,0.8779,0.0414,3.557,0.0166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,38,3.5,1.9,1090
54,WEST VIRGINIA,WV,54079,Putnam,54079020700,"Census Tract 207, Putnam County, West Virginia",61.879033170652,4682,328,2001,91,1760,104,267,167,66,51,24568,2369,296,122,867,167,982,157,598,183,141,79,22,468,0,44,0,15,379,112,0,15,105,97,0,11,5.7,3.6,3.3,2.4,24568.0,2369.0,8.4,3.4,18.5,3.4,21.0,3.0,12.8,4.0,8.0,4.5,0.5,10.0,0.0,1.0,0.0,0.8,18.9,5.4,0.0,0.9,6.0,5.4,0.0,0.2,0.0414,0.1511,0.4203,0.2174,0.8302,0.1366,0.4224,0.5611,0.1242,0.5673,1.675,0.2629,0.0538,0.0,0.0538,0.0455,0.0,0.6667,0.0,0.3685,0.0,1.0352,0.0559,3.5942,0.0186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323,161,6.9,3.4,1968
