ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP
56,WYOMING,WY,56021,Laramie,56021980801,"Census Tract 9808.01, Laramie County, Wyoming",1.385724325122,0,12,0,12,0,12,0,12,0,12,-999,-999,0,12,0,12,0,12,0,12,0,17,0,17,0,48,0,17,0,12,0,17,0,12,0,12,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,12,-999.0,-999.0,1066
56,WYOMING,WY,56025,Natrona,56025001603,"Census Tract 16.03, Natrona County, Wyoming",18.911525767994,3753,347,1344,100,1344,100,61,59,127,97,55916,9704,83,67,527,71,996,186,309,117,42,31,609,449,0,48,0,17,18,17,0,17,0,12,0,12,1.6,1.6,6.1,4.5,55916.0,9704.0,3.3,2.6,14.0,2.3,26.5,4.3,8.2,3.1,3.1,2.3,16.2,11.9,0.0,1.3,0.0,1.3,1.3,1.2,0.0,1.3,0.0,2.4,0.0,0.3,0.0077,0.7385,0.0154,0.1077,0.8693,0.1077,0.3769,0.7308,0.0923,0.1231,1.3231,0.1231,0.6385,0.0,0.6385,0.2846,0.0,0.1692,0.0,0.0,0.0,0.1692,0.0,3.0001,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,344,152,9.2,3.8,1239
56,WYOMING,WY,56033,Sheridan,56033000500,"Census Tract 5, Sheridan County, Wyoming",1561.711045685502,7508,456,3814,217,3150,220,280,204,106,91,38858,4662,113,80,1661,247,1528,271,867,249,206,121,470,630,0,68,7,20,374,146,44,46,18,22,0,17,3.7,2.7,2.5,2.1,38858.0,4662.0,2.0,1.4,22.1,3.1,20.4,3.4,11.5,3.3,6.5,3.8,6.3,8.4,0.0,1.0,0.2,0.5,9.8,3.7,1.4,1.5,0.6,0.7,0.0,0.2,0.0615,0.2154,0.1385,0.0385,0.4539,0.0077,0.8615,0.2462,0.3231,0.4308,1.8616,0.3769,0.0846,0.0,0.0846,0.0615,0.2385,0.4615,0.4923,0.1231,0.0,1.3154,0.0769,3.7155,0.0077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,477,199,6.4,2.8,3988
56,WYOMING,WY,56037,Sweetwater,56037971200,"Census Tract 9712, Sweetwater County, Wyoming",13.476549768036,2484,237,1196,103,1038,103,84,105,109,76,38865,4840,25,30,450,79,615,106,209,79,72,52,345,367,0,48,0,17,70,71,0,17,0,12,0,12,3.4,4.2,8.1,5.4,38865.0,4840.0,1.4,1.7,18.1,3.4,24.8,3.6,8.4,3.2,6.9,5.0,13.9,14.7,0.0,2.2,0.0,1.4,5.9,5.7,0.0,1.6,0.0,3.1,0.0,0.5,0.0462,0.8615,0.1308,0.0231,1.0616,0.1538,0.6692,0.6,0.1,0.5,1.8692,0.3846,0.5385,0.0,0.5385,0.2385,0.0,0.3231,0.0,0.0,0.0,0.3231,0.0154,3.7924,0.0154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,65,2.9,2.6,2597
56,WYOMING,WY,56021,Laramie,56021001902,"Census Tract 19.02, Laramie County, Wyoming",995.571995064278,4326,409,2004,95,1700,139,224,142,103,71,37268,3286,20,27,754,114,904,204,593,129,64,53,305,547,0,48,0,17,121,61,32,41,34,33,0,12,5.2,3.3,4.6,3.0,37268.0,3286.0,0.6,0.9,17.4,2.9,20.9,4.3,13.8,3.0,3.8,3.1,7.1,12.6,0.0,1.2,0.0,0.8,6.0,3.0,1.9,2.4,2.0,1.9,0.0,0.3,0.1154,0.5462,0.2,0.0,0.8616,0.1,0.6154,0.3,0.5385,0.1538,1.6077,0.2231,0.1154,0.0,0.1154,0.0769,0.0,0.3308,0.6,0.3462,0.0,1.277,0.0615,3.8617,0.0231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,121,4.7,2.8,3384
56,WYOMING,WY,56021,Laramie,56021001901,"Census Tract 19.01, Laramie County, Wyoming",585.407314173812,5455,303,2097,93,2045,105,260,169,86,47,45021,4706,91,54,866,116,1188,174,544,126,97,71,678,458,7,66,14,27,100,75,8,20,35,37,8,6,4.8,3.1,3.0,1.6,45021.0,4706.0,2.3,1.3,15.9,2.0,21.8,3.0,10.0,2.4,4.7,3.5,12.4,8.4,0.1,1.3,0.7,1.3,4.8,3.5,0.4,1.0,1.7,1.8,0.1,0.1,0.0846,0.3,0.0462,0.0462,0.477,0.0154,0.5308,0.4077,0.2,0.2077,1.3462,0.1462,0.4385,0.3154,0.7539,0.3923,0.3308,0.2692,0.1923,0.2846,0.2154,1.2923,0.0692,3.8694,0.0308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262,137,4.8,2.5,1910
56,WYOMING,WY,56037,Sweetwater,56037970602,"Census Tract 9706.02, Sweetwater County, Wyoming",0.578291606438,3359,254,1177,84,1125,87,165,113,58,39,39532,6175,99,71,367,70,958,144,365,111,154,81,719,377,0,48,0,17,4,7,0,17,17,19,0,12,4.9,3.3,3.4,2.2,39532.0,6175.0,4.4,3.2,10.9,2.0,28.5,3.7,10.9,3.4,13.7,7.2,21.4,11.1,0.0,1.5,0.0,1.4,0.3,0.6,0.0,1.5,1.5,1.7,0.0,0.4,0.0923,0.3692,0.1077,0.2,0.7692,0.0769,0.2154,0.8769,0.2615,0.9,2.2538,0.6538,0.8077,0.0,0.8077,0.4154,0.0,0.0692,0.0,0.2231,0.0,0.2923,0.0077,4.123,0.0385,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,174,85,5.2,2.5,1207
56,WYOMING,WY,56021,Laramie,56021001200,"Census Tract 12, Laramie County, Wyoming",2.432913258338,4830,565,2297,79,1974,156,127,89,30,46,42715,6080,79,70,1189,108,1254,385,510,152,88,103,608,805,0,48,216,129,0,12,15,30,26,29,5,4,2.6,1.8,1.6,2.4,42715.0,6080.0,2.3,2.0,24.6,3.5,26.0,7.4,10.8,3.2,4.5,5.2,12.6,16.6,0.0,1.0,9.4,5.6,0.0,1.4,0.8,1.5,1.3,1.5,0.1,0.1,0.0231,0.1077,0.0692,0.0462,0.2462,0.0,0.9385,0.6846,0.2385,0.1923,2.0539,0.5154,0.4538,0.0,0.4538,0.2154,0.7769,0.0,0.3077,0.1846,0.2154,1.4846,0.1231,4.2385,0.0462,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,292,362,6.2,7.2,5280
56,WYOMING,WY,56001,Albany,56001963900,"Census Tract 9639, Albany County, Wyoming",4004.694817932746,2012,172,2189,106,944,100,222,110,16,23,36553,5418,77,47,636,98,223,65,282,66,4,13,162,241,0,48,0,17,313,87,20,23,7,8,0,12,11.1,5.5,1.7,2.4,36553.0,5418.0,4.9,3.0,31.6,4.7,11.1,3.1,14.0,3.2,0.4,1.5,8.1,12.0,0.0,2.5,0.0,0.8,14.3,4.0,2.1,2.5,0.7,0.9,0.0,0.6,0.5615,0.1154,0.2231,0.2538,1.1538,0.1846,0.9923,0.0231,0.5769,0.0,1.5923,0.2077,0.1692,0.0,0.1692,0.1,0.0,0.6,0.6615,0.1385,0.0,1.4,0.1077,4.3153,0.0538,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,71,61,3.5,2.9,979
56,WYOMING,WY,56029,Park,56029965300,"Census Tract 9653, Park County, Wyoming",6255.435658422566,7348,523,4219,209,3022,235,378,231,170,110,40455,4689,266,156,1830,246,1376,238,945,224,62,46,385,736,3,66,0,24,636,226,11,13,59,47,184,218,5.2,3.1,4.7,3.0,40455.0,4689.0,4.7,2.7,24.9,3.6,18.7,3.0,12.9,3.0,2.1,1.5,5.2,10.0,0.0,0.9,0.0,0.6,15.1,5.3,0.4,0.4,2.0,1.6,2.5,3.0,0.1154,0.5692,0.0923,0.2308,1.0077,0.1385,0.9538,0.1615,0.4923,0.0538,1.6614,0.2385,0.0462,0.0,0.0462,0.0385,0.0,0.6231,0.1923,0.3462,0.7308,1.8924,0.2385,4.6077,0.0615,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,616,255,8.4,3.4,3690
