"race_grp","weight_actual_division","Division"
"American Indian or Alaska Native",0.62619977237663,"East South Central"
"Asian",1.44539873631328,"East South Central"
"Black",0.925947851451376,"East South Central"
"Native Hawaiian or Other Pacific Islander",2.23375987037769,"East South Central"
"White",1.01564303524469,"East South Central"
"American Indian or Alaska Native",1.63544155689268,"Pacific"
"Asian",1.12930452698082,"Pacific"
"Black",0.852301048627634,"Pacific"
"Hispanic",0.920785329653045,"Pacific"
"Native Hawaiian or Other Pacific Islander",1.90991896231113,"Pacific"
"White",1.00774514113073,"Pacific"
"American Indian or Alaska Native",1.2312568932665,"Mountain"
"Asian",1.35228090464269,"Mountain"
"Black",0.801563472156211,"Mountain"
"Hispanic",0.760069708838625,"Mountain"
"White",1.0692137663515,"Mountain"
"American Indian or Alaska Native",0.890096483664558,"West South Central"
"Asian",1.65268656860812,"West South Central"
"Black",0.783220201655615,"West South Central"
"Hispanic",0.956506586155197,"West South Central"
"Native Hawaiian or Other Pacific Islander",1.96570312289313,"West South Central"
"White",1.02184054827852,"West South Central"
"Native Hawaiian or Other Pacific Islander",1.50742458744056,"Mountain"
"American Indian or Alaska Native",0.647717182024593,"New England"
"Asian",0.797846020951494,"New England"
"Black",0.892749598181005,"New England"
"Hispanic",0.705745359845166,"New England"
"White",1.05052587807398,"New England"
"Asian",1.15968078434271,"South Atlantic"
"Black",0.811142329335824,"South Atlantic"
"Hispanic",0.685386022375441,"South Atlantic"
"White",1.09622917339083,"South Atlantic"
"American Indian or Alaska Native",1.37870417320668,"South Atlantic"
"American Indian or Alaska Native",1.93967556584085,"East North Central"
"Asian",1.16174204338985,"East North Central"
"Black",0.718736410538997,"East North Central"
"Hispanic",0.78239799535101,"East North Central"
"Native Hawaiian or Other Pacific Islander",8.26897594732812,"East North Central"
"White",1.05904178721868,"East North Central"
"American Indian or Alaska Native",0.677760943445088,"West North Central"
"Asian",0.900518337646033,"West North Central"
"Black",0.745162752704099,"West North Central"
"Hispanic",0.756773031372291,"West North Central"
"Native Hawaiian or Other Pacific Islander",3.44797292267368,"West North Central"
"White",1.03202639143139,"West North Central"
"Native Hawaiian or Other Pacific Islander",1.91190330192841,"New England"
"Native Hawaiian or Other Pacific Islander",8.66052947078112,"South Atlantic"
"Hispanic",0.83532893473601,"East South Central"
"Asian",1.23314736633121,"Middle Atlantic"
"Black",0.632459959378263,"Middle Atlantic"
"Hispanic",0.70546789941825,"Middle Atlantic"
"White",1.10383582551091,"Middle Atlantic"
"American Indian or Alaska Native",0.171515587646411,"Middle Atlantic"
"Native Hawaiian or Other Pacific Islander",15.2785591641494,"Middle Atlantic"
