"state_name","race_grp","Race Categories Include Hispanic Individuals","Hispanic Rescaled","value","unknown_race","unknown_eth","value_adj","pop_share_agg","pop_weighted","pop_share_agg_adj","effective_demand"
"Alabama","American Indian or Alaska Native","",,0.002,0.253,,0.00270771417669166,0.00415135410509731,4570.424,0.00431217978528639,0.627922376040688
"Alabama","Asian","",,0.015,0.253,,0.0203078563251874,0.011772585307892,15802.689,0.0122286615644081,1.66067694475199
"Alabama","Black","",,0.173,0.253,,0.234217276283828,0.235456134409805,292936.086,0.244577831092979,0.957639027368705
"Alabama","Hispanic","",,,0.253,,,0.0244680494587979,42818.634,,
"Alabama","Native Hawaiian or Other Pacific Islander","",,0.000630398,0.253,,0.000853468800779033,0.000385599427778715,428.476,0.000400537756016455,2.13080736574549
"Alabama","White","",,0.548,0.253,,0.741913684413514,0.710938646096725,737468.257,0.738480789801309,1.0046485902675
"Alaska","American Indian or Alaska Native","Yes",,0.219065961,0.144962959,0.273491163,0.335545723302376,0.130978999886907,10538.407024234,0.13837016389793,2.42498609418353
"Alaska","Asian","Yes",,0.047183438,0.144962959,0.273491163,0.0722713869344713,0.0665053665118976,5206.140494779,0.0702582740155968,1.02865303691388
"Alaska","Black","Yes",,0.014925373,0.144962959,0.273491163,0.0215715405909618,0.0247416824545366,2020.220660981,0.0261378591934643,0.825298676195933
"Alaska","Hispanic","Yes",,0.032869508,0.144962959,0.273491163,0.032869508,0.0555727642000596,4823.479339005,0.0587087433654462,0.559874153588949
"Alaska","Native Hawaiian or Other Pacific Islander","Yes",,0.006259027,0.144962959,0.273491163,0.00958701996557146,0.010589499438943,865.349999931,0.011187066432243,0.856973543836306
"Alaska","White","Yes",,0.36543091,0.144962959,0.273491163,0.52815482120662,0.658195807936432,51581.532215415,0.69533789309532,0.759565711075404
"Arizona","American Indian or Alaska Native","",,0.026,0.144,,0.0386329866270431,0.0311534450630011,44664.873675892,0.0316476135303259,1.22072353386215
"Arizona","Asian","",,0.031,0.144,,0.0460624071322437,0.0302363726878337,43631.231580576,0.0307159941845378,1.49962286278304
"Arizona","Black","",,0.019,0.144,,0.0282317979197623,0.0357242480312759,51498.165008251,0.0362909204124602,0.777930060712074
"Arizona","Hispanic","",,0.102,0.144,,0.151560178306092,0.225401527460408,339147.612561554,0.228976937086295,0.661901500800378
"Arizona","Native Hawaiian or Other Pacific Islander","",,,0.144,,,0.00134034280146975,2027.634530656,,
"Arizona","White","",,0.495,0.144,,0.735512630014859,0.661869691706337,873034.767315493,0.672368534786381,1.0939129241801
"Arkansas","American Indian or Alaska Native","Yes",,0.002,0.098,,0.00229357798165138,0.00564485117353913,2263.97397397397,0.00572836145904482,0.400389884271343
"Arkansas","Asian","Yes",,0.012,0.098,,0.0137614678899083,0.0128678386026353,5410.06006006006,0.0130582062212865,1.0538559168621
"Arkansas","Black","Yes",,0.102,0.098,,0.104832453726997,0.133709826923364,53140.5515515516,0.13568793856493,0.772599649134125
"Arkansas","Hispanic","Yes",,0.102,0.098,,0.102,0.0485400768934263,19876.2762762763,0.0492581818629319,2.07072198246842
"Arkansas","Native Hawaiian or Other Pacific Islander","Yes",,0.001,0.098,,0.00114678899082569,0.00171348548870307,666.455455455455,0.00173883490146389,0.659515742328516
"Arkansas","White","Yes",,0.755,0.098,,0.775965711410617,0.78294553125093,292038.606606607,0.794528476990343,0.976636752341412
"California","American Indian or Alaska Native","",,0.003,0.137,,0.00463678516228748,0.00393262822135435,38379.977,0.00402680800073069,1.15147907758356
"California","Asian","",,0.118,0.137,,0.182380216383308,0.157851358890158,1624246.749,0.161631631348613,1.12836958249801
"California","Black","",,0.03,0.137,,0.0463678516228748,0.0539921649653093,563809.479,0.0552851857896201,0.838703008059357
"California","Hispanic","",,0.195,0.137,,0.301391035548686,0.319076143912075,3773118.039,0.326717476666266,0.922482135403333
"California","Native Hawaiian or Other Pacific Islander","",,0.004,0.137,,0.00618238021638331,0.00337256933015437,37297.001,0.00345333664848886,1.79026282279448
"California","White","",,0.297,0.137,,0.459041731066461,0.438386937538387,4025148.515,0.448885561546281,1.0226252978269
"Colorado","American Indian or Alaska Native","",,0.0046,0.12,,0.00534572922719349,0.00543815450743497,3027.05780173705,0.00553168718012943,0.966383140101645
"Colorado","Asian","",,0.0229,0.12,,0.0266124346310285,0.0299640126649256,19307.8781072177,0.0304793739304743,0.873129306780822
"Colorado","Black","",,0.0244,0.12,,0.0283556072051133,0.0339215255895089,21569.540481182,0.0345049534685665,0.821783667407198
"Colorado","Hispanic","",,0.0816,0.12,,0.094828588030215,0.160566087844693,105413.800838574,0.163327718710398,0.580603150395792
"Colorado","Native Hawaiian or Other Pacific Islander","",,0.0019,0.12,,0.00220801859384079,0.00101352422008878,730.037336527903,0.00103095616855877,2.14171917408234
"Colorado","White","",,0.7251,0.12,,0.842649622312609,0.752188169862944,446843.445742238,0.765125310541873,1.10132237256121
"Connecticut","American Indian or Alaska Native","",,0.002,0.069238583,,0.00233918128654971,0.00173596129174793,694.381,0.00175826194331538,1.33039408345434
"Connecticut","Asian","",,0.027,0.069238583,,0.0315789473684211,0.0363778556260783,15111.675,0.0368451758865845,0.857071424102473
"Connecticut","Black","",,0.056,0.069238583,,0.0654970760233918,0.0828031825344436,34091.466,0.0838668957238762,0.780964592263373
"Connecticut","Hispanic","",,0.069,0.069238583,,0.0807017543859649,0.106559027407208,44586.637,0.107927914923808,0.747737547259545
