"state_name","race_grp","state_pop"
"Alabama","White",2577364
"Alabama","Black",987766
"Alabama","Asian",51878
"Alabama","Hispanic",134954
"Alabama","Other",53697
"Alabama","Native Hawaiian or Other Pacific Islander",1433
"Alabama","American Indian or Alaska Native",15952
"Alaska","White",343828
"Alaska","American Indian or Alaska Native",74421
"Alaska","Asian",35315
"Alaska","Hispanic",35464
"Alaska","Black",13656
"Alaska","Other",33546
"Alaska","Native Hawaiian or Other Pacific Islander",6218
"Arizona","American Indian or Alaska Native",201979
"Arizona","White",3294092
"Arizona","Hispanic",1613305
"Arizona","Asian",192998
"Arizona","Other",108766
"Arizona","Black",239865
"Arizona","Native Hawaiian or Other Pacific Islander",9133
"Arkansas","White",1729350
"Arkansas","Black",341155
"Arkansas","Hispanic",150636
"Arkansas","Asian",36403
"Arkansas","Other",40036
"Arkansas","American Indian or Alaska Native",13957
"Arkansas","Native Hawaiian or Other Pacific Islander",6705
"California","Hispanic",11211973
"California","White",12040267
"California","Other",847922
"California","Asian",4795823
"California","Black",1687041
"California","American Indian or Alaska Native",114585
"California","Native Hawaiian or Other Pacific Islander",110953
"Colorado","White",3196329
"Colorado","Hispanic",882385
"Colorado","Other",101463
"Colorado","Asian",151996
"Colorado","American Indian or Alaska Native",23664
"Colorado","Black",169543
"Colorado","Native Hawaiian or Other Pacific Islander",5589
"Connecticut","White",1932813
"Connecticut","Hispanic",421289
"Connecticut","Black",273846
"Connecticut","Asian",129154
"Connecticut","Other",55097
"Connecticut","American Indian or Alaska Native",4330
"Connecticut","Native Hawaiian or Other Pacific Islander",783
"Delaware","White",496949
"Delaware","Black",160628
"Delaware","Asian",30159
"Delaware","Other",15206
"Delaware","Hispanic",61276
"Delaware","American Indian or Alaska Native",2636
"Delaware","Native Hawaiian or Other Pacific Islander",191
"District of Columbia","Black",236774
"District of Columbia","White",218659
"District of Columbia","Hispanic",55060
"District of Columbia","Other",13677
"District of Columbia","Asian",23191
"District of Columbia","American Indian or Alaska Native",1750
"District of Columbia","Native Hawaiian or Other Pacific Islander",92
"Florida","White",9632022
"Florida","Black",2437131
"Florida","Hispanic",4383796
"Florida","Asian",486614
"Florida","Native Hawaiian or Other Pacific Islander",9057
"Florida","Other",313815
"Florida","American Indian or Alaska Native",33777
"Georgia","Asian",341416
"Georgia","Black",2501919
"Georgia","Other",141077
"Georgia","Native Hawaiian or Other Pacific Islander",3793
"Georgia","White",4434373
"Georgia","Hispanic",686795
"Georgia","American Indian or Alaska Native",16694
"Hawaii","Native Hawaiian or Other Pacific Islander",99987
"Hawaii","White",249870
"Hawaii","Other",181840
"Hawaii","Asian",458489
"Hawaii","Hispanic",93440
"Hawaii","Black",18437
"Hawaii","American Indian or Alaska Native",1967
"Idaho","White",1136680
"Idaho","Other",28489
"Idaho","Hispanic",150833
"Idaho","American Indian or Alaska Native",12879
"Idaho","Black",6555
"Idaho","Asian",18396
"Idaho","Native Hawaiian or Other Pacific Islander",1153
"Illinois","White",6265258
"Illinois","Asian",574225
"Illinois","Hispanic",1564001
"Illinois","Other",161482
"Illinois","Black",1310885
"Illinois","American Indian or Alaska Native",8211
"Illinois","Native Hawaiian or Other Pacific Islander",2363
"Indiana","White",4166715
"Indiana","Hispanic",313191
"Indiana","Native Hawaiian or Other Pacific Islander",1677
"Indiana","Other",86406
"Indiana","Black",452809
"Indiana","Asian",122994
"Indiana","American Indian or Alaska Native",11008
"Iowa","White",2113628
"Iowa","Hispanic",125287
"Iowa","Black",84541
"Iowa","Other",28405
"Iowa","Asian",58555
"Iowa","American Indian or Alaska Native",7155
