"state_name","race_grp","value_adj"
"Alabama","American Indian or Alaska Native",0.00270771417669166
"Alabama","Asian",0.0203078563251874
"Alabama","Black",0.234217276283828
"Alabama","Hispanic",
"Alabama","Native Hawaiian or Other Pacific Islander",0.000853468800779033
"Alabama","White",0.741913684413514
"Alaska","American Indian or Alaska Native",0.335545723302376
"Alaska","Asian",0.0722713869344713
"Alaska","Black",0.0215715405909618
"Alaska","Hispanic",0.032869508
"Alaska","Native Hawaiian or Other Pacific Islander",0.00958701996557146
"Alaska","White",0.52815482120662
"Arizona","American Indian or Alaska Native",0.0386329866270431
"Arizona","Asian",0.0460624071322437
"Arizona","Black",0.0282317979197623
"Arizona","Hispanic",0.151560178306092
"Arizona","Native Hawaiian or Other Pacific Islander",
"Arizona","White",0.735512630014859
"Arkansas","American Indian or Alaska Native",0.00229357798165138
"Arkansas","Asian",0.0137614678899083
"Arkansas","Black",0.104832453726997
"Arkansas","Hispanic",0.102
"Arkansas","Native Hawaiian or Other Pacific Islander",0.00114678899082569
"Arkansas","White",0.775965711410617
"California","American Indian or Alaska Native",0.00463678516228748
"California","Asian",0.182380216383308
"California","Black",0.0463678516228748
"California","Hispanic",0.301391035548686
"California","Native Hawaiian or Other Pacific Islander",0.00618238021638331
"California","White",0.459041731066461
"Colorado","American Indian or Alaska Native",0.00534572922719349
"Colorado","Asian",0.0266124346310285
"Colorado","Black",0.0283556072051133
"Colorado","Hispanic",0.094828588030215
"Colorado","Native Hawaiian or Other Pacific Islander",0.00220801859384079
"Colorado","White",0.842649622312609
"Connecticut","American Indian or Alaska Native",0.00233918128654971
"Connecticut","Asian",0.0315789473684211
"Connecticut","Black",0.0654970760233918
"Connecticut","Hispanic",0.0807017543859649
"Connecticut","Native Hawaiian or Other Pacific Islander",
"Connecticut","White",0.819883040935672
"Delaware","American Indian or Alaska Native",
"Delaware","Asian",0.037037037037037
"Delaware","Black",0.119610636277303
"Delaware","Hispanic",0.03
"Delaware","Native Hawaiian or Other Pacific Islander",
"Delaware","White",0.81335232668566
"District of Columbia","American Indian or Alaska Native",
"District of Columbia","Asian",
"District of Columbia","Black",0.443363911131799
"District of Columbia","Hispanic",0.054330622
"District of Columbia","Native Hawaiian or Other Pacific Islander",
"District of Columbia","White",0.502305466868201
"Florida","American Indian or Alaska Native",0.00492845701110373
"Florida","Asian",
"Florida","Black",0.0749232373046058
"Florida","Hispanic",0.127761618
"Florida","Native Hawaiian or Other Pacific Islander",
"Florida","White",0.792386687684291
"Georgia","American Indian or Alaska Native",
"Georgia","Asian",0.0537634408602151
"Georgia","Black",0.23947091886608
"Georgia","Hispanic",0.03
"Georgia","Native Hawaiian or Other Pacific Islander",
"Georgia","White",0.676765640273705
"Hawaii","American Indian or Alaska Native",
"Hawaii","Asian",
"Hawaii","Black",
"Hawaii","Hispanic",
"Hawaii","Native Hawaiian or Other Pacific Islander",
"Hawaii","White",
"Idaho","American Indian or Alaska Native",0.00890404000340531
"Idaho","Asian",0.0174463637823192
"Idaho","Black",0.00465163370171066
"Idaho","Hispanic",0.040026298
"Idaho","Native Hawaiian or Other Pacific Islander",0.00484479136858611
"Idaho","White",0.924126873143979
"Illinois","American Indian or Alaska Native",0.0027652304873487
"Illinois","Asian",0.0594128410816139
"Illinois","Black",0.0942002363345292
"Illinois","Hispanic",0.110020963362405
"Illinois","Native Hawaiian or Other Pacific Islander",0.00192755585116297
"Illinois","White",0.731673172882941
"Indiana","American Indian or Alaska Native",
"Indiana","Asian",0.0214362272240086
"Indiana","Black",0.0561625889703215
"Indiana","Hispanic",0.029
"Indiana","Native Hawaiian or Other Pacific Islander",
"Indiana","White",0.89340118380567
"Iowa","American Indian or Alaska Native",0.00194198325039447
"Iowa","Asian",0.0185702148318971
"Iowa","Black",0.0161221429881544
"Iowa","Hispanic",0.0228
